Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1627133543649,24/07/2021 13:32:23,1627133544069,1,24/07/2021 14:32:24,53563,19,questionnaire-ht7m,,14556819,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Information sheet and consent ,9,bothFirst,178,Right,178,Right,,,,,No,137478
1,1627143803258,24/07/2021 16:23:23,1627143848142,1,24/07/2021 17:24:08,53563,19,questionnaire-ht7m,,14558434,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x754,,Information sheet and consent ,9,oneFirst,,,,,183,Right,183,Right,No,14870
1,1627152228978,24/07/2021 18:43:48,1627152233545,1,24/07/2021 19:43:53,53563,19,questionnaire-ht7m,,14560298,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Information sheet and consent ,9,bothFirst,168,Right,168,Right,,,,,No,148257
1,1627152440106,24/07/2021 18:47:20,1627152485758,1,24/07/2021 19:48:05,53563,19,questionnaire-ht7m,,14560386,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1536x754,,Information sheet and consent ,9,oneFirst,,,,,152,Right,152,Right,No,7397
1,1627178927507,25/07/2021 02:08:47,1627178927382,-4,24/07/2021 22:08:47,53563,19,questionnaire-ht7m,,14563869,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x868,,Information sheet and consent ,9,oneFirst,,,,,168,Right,168,Right,No,321353
1,1627207956520,25/07/2021 10:12:36,1627207956907,1,25/07/2021 11:12:36,53563,19,questionnaire-ht7m,,14565446,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x702,,Information sheet and consent ,9,bothFirst,173,Right,173,Right,,,,,No,33541
1,1627230577592,25/07/2021 16:29:37,1627230577457,-4,25/07/2021 12:29:37,53563,19,questionnaire-ht7m,,14569587,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1260x605,,Information sheet and consent ,9,bothFirst,188,Right,188,Right,,,,,No,15335
1,1627233342554,25/07/2021 17:15:42,1627233342269,-4,25/07/2021 13:15:42,53563,19,questionnaire-ht7m,,14570214,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,Information sheet and consent ,9,oneFirst,,,,,163,Right,163,Right,No,2709
1,1627301446887,26/07/2021 12:10:46,1627301446780,-4,26/07/2021 08:10:46,53563,19,questionnaire-ht7m,,14582907,17rab9de,4339358,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x969,,Information sheet and consent ,9,oneFirst,,,,,168,Right,168,Right,No,62764
1,1627401889951,27/07/2021 16:04:49,1627401889690,2,27/07/2021 18:04:49,53563,19,questionnaire-ht7m,,14622775,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x679,,Information sheet and consent ,9,bothFirst,188,Right,188,Right,,,,,No,74207
1,1627564717856,29/07/2021 13:18:37,1627564717777,1,29/07/2021 14:18:37,53563,19,questionnaire-ht7m,,14679765,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Information sheet and consent ,9,bothFirst,163,Right,163,Right,,,,,No,4497
