Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627133902780,24/07/2021 13:38:22,1627133903231,1,24/07/2021 14:38:23,53563,19,task-1iud,,14556961,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627133942834,24/07/2021 13:39:02,1627133943318,1,24/07/2021 14:39:03,53563,19,task-1iud,,14556961,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,40069,,,,,0,1,0,,,,,,instructions
3,1627133942926,24/07/2021 13:39:02,1627133943324,1,24/07/2021 14:39:03,53563,19,task-1iud,,14556961,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,40093,,,,,0,1,0,,,,,,
1,1627152642489,24/07/2021 18:50:42,1627152647056,1,24/07/2021 19:50:47,53563,19,task-1iud,,14560461,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Both eyes,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627152658054,24/07/2021 18:50:58,1627152662529,1,24/07/2021 19:51:02,53563,19,task-1iud,,14560461,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Both eyes,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15419.900000095367,,,,,0,1,0,,,,,,instructions
3,1627152658156,24/07/2021 18:50:58,1627152662535,1,24/07/2021 19:51:02,53563,19,task-1iud,,14560461,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Both eyes,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,15479,,,,,0,1,0,,,,,,
1,1627208228340,25/07/2021 10:17:08,1627208228734,1,25/07/2021 11:17:08,53563,19,task-1iud,,14565480,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x702,,Both eyes,6,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627208248700,25/07/2021 10:17:28,1627208249123,1,25/07/2021 11:17:29,53563,19,task-1iud,,14565480,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x702,,Both eyes,6,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,20361.5,,,,,0,1,0,,,,,,instructions
3,1627208248762,25/07/2021 10:17:28,1627208249127,1,25/07/2021 11:17:29,53563,19,task-1iud,,14565480,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x702,,Both eyes,6,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,END TASK,,,,,20393,,,,,0,1,0,,,,,,
1,1627235503815,25/07/2021 17:51:43,1627235503559,-4,25/07/2021 13:51:43,53563,19,task-1iud,,14570570,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627235505099,25/07/2021 17:51:45,1627235505035,-4,25/07/2021 13:51:45,53563,19,task-1iud,,14570570,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1411.6000000014901,,,,,0,1,0,,,,,,instructions
3,1627235505259,25/07/2021 17:51:45,1627235505038,-4,25/07/2021 13:51:45,53563,19,task-1iud,,14570570,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,END TASK,,,,,1479,,,,,0,1,0,,,,,,
1,1627402254257,27/07/2021 16:10:54,1627402254040,2,27/07/2021 18:10:54,53563,19,task-1iud,,14623215,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x679,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627402276921,27/07/2021 16:11:16,1627402276817,2,27/07/2021 18:11:16,53563,19,task-1iud,,14623215,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x679,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,22746.200000001118,,,,,0,1,0,,,,,,instructions
3,1627402277031,27/07/2021 16:11:17,1627402276820,2,27/07/2021 18:11:16,53563,19,task-1iud,,14623215,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x679,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,END TASK,,,,,22780,,,,,0,1,0,,,,,,
1,1627564997543,29/07/2021 13:23:17,1627564997463,1,29/07/2021 14:23:17,53563,19,task-1iud,,14679907,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
