Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627153787658,24/07/2021 19:09:47,1627153833304,1,24/07/2021 20:10:33,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1536x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627153791169,24/07/2021 19:09:51,1627153836863,1,24/07/2021 20:10:36,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,1,1,1,Screen 1,advancementZone,continue_button,3521.6999999999534,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627153833684,24/07/2021 19:10:33,1627153879339,1,24/07/2021 20:11:19,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,2,1,1,Screen 1,Zone1,screen_calibration,42466,,,Pixels per CM: 44.24146360888248,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627153833806,24/07/2021 19:10:33,1627153879343,1,24/07/2021 20:11:19,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,2,1,1,Screen 1,Zone1,screen_calibration,42479.786,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627153836970,24/07/2021 19:10:36,1627153882597,1,24/07/2021 20:11:22,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,3,1,1,Screen 2,advancementZone,continue_button,3182.899999999907,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627153839845,24/07/2021 19:10:39,1627153885540,1,24/07/2021 20:11:25,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,3,1,2,Screen 1,advancementZone,continue_button,2933.1999999999534,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627153841704,24/07/2021 19:10:41,1627153887391,1,24/07/2021 20:11:27,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,3,1,3,Screen 3,advancementZone,continue_button,1844,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627153842193,24/07/2021 19:10:42,1627153887890,1,24/07/2021 20:11:27,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,4,1,1,Screen 1,fixation,fixation,500.50500000000466,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627153842304,24/07/2021 19:10:42,1627153887931,1,24/07/2021 20:11:27,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,7,1,1,start,script,force_advance,33.37299999999959,,,,,0,1,0,,,,,1,task,D,,,0.198427369,0.077928646,0.049175128,0.024576889,D_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
10,1627153845587,24/07/2021 19:10:45,1627153891282,1,24/07/2021 20:11:31,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,7,1,2,Level1,Zone2,response_text_entry,3341,,,d,1,1,0,0,,,,,1,task,D,,,0.198427369,0.077928646,0.049175128,0.024576889,D_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
11,1627153845650,24/07/2021 19:10:45,1627153891296,1,24/07/2021 20:11:31,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,7,1,17,end,advancementZone,timelimit_screen,16.260999999998603,,,,,0,1,0,,,1,,1,task,D,,,0.198427369,0.077928646,0.049175128,0.024576889,D_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
12,1627153846088,24/07/2021 19:10:46,1627153891795,1,24/07/2021 20:11:31,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,6,2,1,Screen 1,fixation,fixation,500.6690000000017,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1627153846149,24/07/2021 19:10:46,1627153891849,1,24/07/2021 20:11:31,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,21,2,1,start,script,force_advance,49.93899999999849,,,,,0,1,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
14,1627153846291,24/07/2021 19:10:46,1627153891858,1,24/07/2021 20:11:31,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,21,2,3,Level2,Zone1,content_image,0,,,Could not set image to requested size.  Either the participants screen or the containing zone is too small.,,0,1,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
15,1627153848124,24/07/2021 19:10:48,1627153893821,1,24/07/2021 20:11:33,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,21,2,3,Level2,Zone2,response_text_entry,1962.1999999999534,,,u,1,1,0,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
16,1627153848364,24/07/2021 19:10:48,1627153893830,1,24/07/2021 20:11:33,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,21,2,17,end,advancementZone,timelimit_screen,16.65299999999843,,,,,0,1,0,,,1,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
17,1627153848629,24/07/2021 19:10:48,1627153894331,1,24/07/2021 20:11:34,53563,19,task-27g9,,14560723,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,8,3,1,Screen 1,fixation,fixation,500.57100000000355,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
