Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627999237964,03/08/2021 14:00:37,1627999237807,-4,03/08/2021 10:00:37,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627999252292,03/08/2021 14:00:52,1627999251914,-4,03/08/2021 10:00:51,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,1,1,1,Screen 1,advancementZone,continue_button,14044.299999952316,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627999262632,03/08/2021 14:01:02,1627999262219,-4,03/08/2021 10:01:02,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,2,1,1,Screen 1,Zone1,screen_calibration,10288.899999856949,,,Pixels per CM: 34.87881025509621,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627999262789,03/08/2021 14:01:02,1627999262220,-4,03/08/2021 10:01:02,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,2,1,1,Screen 1,Zone1,screen_calibration,10316.518000000002,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627999502949,03/08/2021 14:05:02,1627999502434,-4,03/08/2021 10:05:02,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,3,1,1,Screen 2,advancementZone,continue_button,240140.09999990463,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627999504125,03/08/2021 14:05:04,1627999504040,-4,03/08/2021 10:05:04,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,3,1,2,Screen 1,advancementZone,continue_button,1593.3999998569489,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627999504906,03/08/2021 14:05:04,1627999504816,-4,03/08/2021 10:05:04,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,3,1,3,Screen 3,advancementZone,continue_button,768.5999999046326,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627999505406,03/08/2021 14:05:05,1627999505314,-4,03/08/2021 10:05:05,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,4,1,1,Screen 1,fixation,fixation,500.0579999999609,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627999505673,03/08/2021 14:05:05,1627999505392,-4,03/08/2021 10:05:05,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,7,1,1,start,script,force_advance,66.54000000003725,,,,,0,1,0,,,,,1,task,D,,,0.238896108,0.093821988,0.059204266,0.029589281,D_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
10,1627999510858,03/08/2021 14:05:10,1627999510770,-4,03/08/2021 10:05:10,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,7,1,2,Level1,Zone2,response_text_entry,5355.200000047684,,,d,1,1,0,0,,,,,1,task,D,,,0.238896108,0.093821988,0.059204266,0.029589281,D_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
11,1627999510999,03/08/2021 14:05:10,1627999510788,-4,03/08/2021 10:05:10,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,7,1,17,end,advancementZone,timelimit_screen,16.581000000005588,,,,,0,1,0,,,1,,1,task,D,,,0.238896108,0.093821988,0.059204266,0.029589281,D_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
12,1627999511358,03/08/2021 14:05:11,1627999511279,-4,03/08/2021 10:05:11,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,6,2,1,Screen 1,fixation,fixation,500.070000000007,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1627999511498,03/08/2021 14:05:11,1627999511374,-4,03/08/2021 10:05:11,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,9,2,1,start,script,force_advance,83.19599999999627,,,,,0,1,0,,,,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
14,1627999513061,03/08/2021 14:05:13,1627999512970,-4,03/08/2021 10:05:12,53563,19,task-2cta,,14803364,j5hy0n0f,4408537,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1920x1080,1920x937,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,9,2,3,Level2,Zone2,response_text_entry,1578.7000000476837,,,h,1,1,0,0,,,,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
