Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627209469851,25/07/2021 10:37:49,1627209470266,1,25/07/2021 11:37:50,53563,19,task-2kgr,,14565704,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627209477647,25/07/2021 10:37:57,1627209478114,1,25/07/2021 11:37:58,53563,19,task-2kgr,,14565704,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7825.200000047684,,,,,0,1,0,,,,,,instructions
3,1627209477747,25/07/2021 10:37:57,1627209478117,1,25/07/2021 11:37:58,53563,19,task-2kgr,,14565704,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,END TASK,,,,,7851,,,,,0,1,0,,,,,,
1,1628427409963,08/08/2021 12:56:49,1628427410077,1,08/08/2021 13:56:50,53563,19,task-2kgr,,14953228,wm42dli6,4449420,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1366x768,1518x853,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628427412374,08/08/2021 12:56:52,1628427412536,1,08/08/2021 13:56:52,53563,19,task-2kgr,,14953228,wm42dli6,4449420,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1366x768,1518x853,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2397.199999988079,,,,,0,1,0,,,,,,instructions
3,1628427412530,08/08/2021 12:56:52,1628427412540,1,08/08/2021 13:56:52,53563,19,task-2kgr,,14953228,wm42dli6,4449420,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1366x768,1518x853,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,END TASK,,,,,2462,,,,,0,1,0,,,,,,
1,1628592291801,10/08/2021 10:44:51,1628592291784,1,10/08/2021 11:44:51,53563,19,task-2kgr,,15021822,iojzfi1n,4460944,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x577,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628592293476,10/08/2021 10:44:53,1628592293469,1,10/08/2021 11:44:53,53563,19,task-2kgr,,15021822,iojzfi1n,4460944,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x577,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1653.199999988079,,,,,0,1,0,,,,,,instructions
3,1628592293538,10/08/2021 10:44:53,1628592293473,1,10/08/2021 11:44:53,53563,19,task-2kgr,,15021822,iojzfi1n,4460944,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x577,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,END TASK,,,,,1689,,,,,0,1,0,,,,,,
END OF FILE
