Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1627148104942,24/07/2021 17:35:04,1627148149751,1,24/07/2021 18:35:49,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1627148106545,24/07/2021 17:35:06,1627148151376,1,24/07/2021 18:35:51,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1582,,,,,0,1,0,,,,,,Instructions,,,
3,1627148106974,24/07/2021 17:35:06,1627148151819,1,24/07/2021 18:35:51,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,5,1,1,Screen 2,fixation,fixation,450.4849999999997,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
4,1627148113395,24/07/2021 17:35:13,1627148158265,1,24/07/2021 18:35:58,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,5,1,2,Screen 1,advancementZone,click_painting,6431.900000095367,,,click,1,0,1,0,483,87,,,1,Task,Image4.PNG,1,
5,1627148113666,24/07/2021 17:35:13,1627148158510,1,24/07/2021 18:35:58,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,5,1,2,Screen 1,advancementZone,click_painting,6676.599999904633,,,click limit reached,1,0,1,0,,,,,1,Task,Image4.PNG,1,
6,1627148114088,24/07/2021 17:35:14,1627148158960,1,24/07/2021 18:35:58,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,2,2,1,Screen 2,fixation,fixation,450.16400000000067,,,,,0,1,0,,,,,1,Task,Image1.PNG,1,
7,1627148117745,24/07/2021 17:35:17,1627148162592,1,24/07/2021 18:36:02,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,2,2,2,Screen 1,advancementZone,click_painting,3622.7000000476837,,,click,1,0,1,0,496,119,,,1,Task,Image1.PNG,1,
8,1627148117965,24/07/2021 17:35:17,1627148162831,1,24/07/2021 18:36:02,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,2,2,2,Screen 1,advancementZone,click_painting,3861.2999999523163,,,click limit reached,1,0,1,0,,,,,1,Task,Image1.PNG,1,
9,1627148118487,24/07/2021 17:35:18,1627148163281,1,24/07/2021 18:36:03,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,4,3,1,Screen 2,fixation,fixation,450.0020000000004,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
10,1627148125450,24/07/2021 17:35:25,1627148170248,1,24/07/2021 18:36:10,53563,19,task-3u5y,,14559177,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Search Click on Location,8,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,4,3,2,Screen 1,advancementZone,click_painting,6960.799999952316,,,click,1,0,1,0,597.935736677116,244,,,1,Task,Image3.PNG,1,
