Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627565213743,29/07/2021 13:26:53,1627565213637,1,29/07/2021 14:26:53,53563,19,task-5ed1,,14680013,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627565222404,29/07/2021 13:27:02,1627565222356,1,29/07/2021 14:27:02,53563,19,task-5ed1,,14680013,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8675,,,,,0,1,0,,,,,,instructions
3,1627565222482,29/07/2021 13:27:02,1627565222359,1,29/07/2021 14:27:02,53563,19,task-5ed1,,14680013,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,8722,,,,,0,1,0,,,,,,
1,1628769695238,12/08/2021 12:01:35,1628769694706,1,12/08/2021 13:01:34,53563,19,task-5ed1,,15096841,e7e3oven,4482002,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x768,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628769702916,12/08/2021 12:01:42,1628769702433,1,12/08/2021 13:01:42,53563,19,task-5ed1,,15096841,e7e3oven,4482002,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x768,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7473,,,,,0,1,0,,,,,,instructions
3,1628769703000,12/08/2021 12:01:43,1628769702448,1,12/08/2021 13:01:42,53563,19,task-5ed1,,15096841,e7e3oven,4482002,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x768,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,7742,,,,,0,1,0,,,,,,
1,1629119997260,16/08/2021 13:19:57,1629119997353,1,16/08/2021 14:19:57,53563,19,task-5ed1,,15161825,kp2j1glc,4497128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x1080,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1629120000278,16/08/2021 13:20:00,1629120000409,1,16/08/2021 14:20:00,53563,19,task-5ed1,,15161825,kp2j1glc,4497128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x1080,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3020.7999999988824,,,,,0,1,0,,,,,,instructions
3,1629120000350,16/08/2021 13:20:00,1629120000414,1,16/08/2021 14:20:00,53563,19,task-5ed1,,15161825,kp2j1glc,4497128,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x1080,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,3060,,,,,0,1,0,,,,,,
1,1629225426873,17/08/2021 18:37:06,1629225420856,1,17/08/2021 19:37:00,53563,19,task-5ed1,,15201464,zdcx1bbs,4505777,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.73,1920x1080,1920x937,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1629225431105,17/08/2021 18:37:11,1629225425111,1,17/08/2021 19:37:05,53563,19,task-5ed1,,15201464,zdcx1bbs,4505777,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.73,1920x1080,1920x937,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4236.9000000003725,,,,,0,1,0,,,,,,instructions
3,1629225431183,17/08/2021 18:37:11,1629225425113,1,17/08/2021 19:37:05,53563,19,task-5ed1,,15201464,zdcx1bbs,4505777,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.73,1920x1080,1920x937,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,4257,,,,,0,1,0,,,,,,
END OF FILE
