Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627180879164,25/07/2021 02:41:19,1627180879039,-4,24/07/2021 22:41:19,53563,19,task-5v6u,,14563935,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x975,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627180900888,25/07/2021 02:41:40,1627180900816,-4,24/07/2021 22:41:40,53563,19,task-5v6u,,14563935,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x975,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,21678.900000095367,,,,,0,1,0,,,,,,instructions
3,1627180901030,25/07/2021 02:41:41,1627180900822,-4,24/07/2021 22:41:40,53563,19,task-5v6u,,14563935,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x975,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,21783,,,,,0,1,0,,,,,,
1,1627302623692,26/07/2021 12:30:23,1627302623550,-4,26/07/2021 08:30:23,53563,19,task-5v6u,,14583389,17rab9de,4339358,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x969,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627302640614,26/07/2021 12:30:40,1627302640513,-4,26/07/2021 08:30:40,53563,19,task-5v6u,,14583389,17rab9de,4339358,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x969,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,16927,,,,,0,1,0,,,,,,instructions
3,1627302640740,26/07/2021 12:30:40,1627302640516,-4,26/07/2021 08:30:40,53563,19,task-5v6u,,14583389,17rab9de,4339358,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1920x969,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,16966,,,,,0,1,0,,,,,,
1,1627663843425,30/07/2021 16:50:43,1627663844094,-4,30/07/2021 12:50:44,53563,19,task-5v6u,,14718591,gr8kvtsj,4384320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1280x1024,1280x1024,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627663852950,30/07/2021 16:50:52,1627663853661,-4,30/07/2021 12:50:53,53563,19,task-5v6u,,14718591,gr8kvtsj,4384320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1280x1024,1280x1024,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,9541.100000023842,,,,,0,1,0,,,,,,instructions
3,1627663853059,30/07/2021 16:50:53,1627663853664,-4,30/07/2021 12:50:53,53563,19,task-5v6u,,14718591,gr8kvtsj,4384320,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1280x1024,1280x1024,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,9570,,,,,0,1,0,,,,,,
1,1628066407134,04/08/2021 08:40:07,1628066405440,2,04/08/2021 10:40:05,53563,19,task-5v6u,,14854333,f6c2wa0u,4424285,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.107,1366x768,1366x768,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
