Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627154005135,24/07/2021 19:13:25,1627154009682,1,24/07/2021 20:13:29,53563,19,task-8nj6,,14560775,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627154008598,24/07/2021 19:13:28,1627154013137,1,24/07/2021 20:13:33,53563,19,task-8nj6,,14560775,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3417.7999997138977,,,,,0,1,0,,,,,,instructions
3,1627154008677,24/07/2021 19:13:28,1627154013142,1,24/07/2021 20:13:33,53563,19,task-8nj6,,14560775,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,3461,,,,,0,1,0,,,,,,
1,1627832319397,01/08/2021 15:38:39,1627832319299,1,01/08/2021 16:38:39,53563,19,task-8nj6,,14747800,k3fbxcf6,4392148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627832320779,01/08/2021 15:38:40,1627832320739,1,01/08/2021 16:38:40,53563,19,task-8nj6,,14747800,k3fbxcf6,4392148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1409,,,,,0,1,0,,,,,,instructions
3,1627832320857,01/08/2021 15:38:40,1627832320743,1,01/08/2021 16:38:40,53563,19,task-8nj6,,14747800,k3fbxcf6,4392148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,1444,,,,,0,1,0,,,,,,
1,1628276554093,06/08/2021 19:02:34,1628276553832,-4,06/08/2021 15:02:33,53563,19,task-8nj6,,14935767,ru56fx5k,4445309,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1898x959,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628276563114,06/08/2021 19:02:43,1628276562895,-4,06/08/2021 15:02:42,53563,19,task-8nj6,,14935767,ru56fx5k,4445309,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1898x959,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8940.900000095367,,,,,0,1,0,,,,,,instructions
3,1628276563239,06/08/2021 19:02:43,1628276562903,-4,06/08/2021 15:02:42,53563,19,task-8nj6,,14935767,ru56fx5k,4445309,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.164,1920x1080,1898x959,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,9072,,,,,0,1,0,,,,,,
1,1628360641937,07/08/2021 18:24:01,1628360642467,1,07/08/2021 19:24:02,53563,19,task-8nj6,,14947735,lx7fqe0b,4447985,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.67,1739x1087,1740x1088,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
