Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1628263546832,06/08/2021 15:25:46,1628263566445,1,06/08/2021 16:26:06,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1628263550326,06/08/2021 15:25:50,1628263570003,1,06/08/2021 16:26:10,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,1,1,1,Screen 1,advancementZone,continue_button,3412.0999999046326,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1628263565766,06/08/2021 15:26:05,1628263585425,1,06/08/2021 16:26:25,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,2,1,1,Screen 1,Zone1,screen_calibration,15393.700000286102,,,Pixels per CM: 44.24146360888248,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1628263565955,06/08/2021 15:26:05,1628263585428,1,06/08/2021 16:26:25,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,2,1,1,Screen 1,Zone1,screen_calibration,15416.686000000002,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1628263569686,06/08/2021 15:26:09,1628263589371,1,06/08/2021 16:26:29,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,3,1,1,Screen 2,advancementZone,continue_button,3782.199999809265,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1628263572310,06/08/2021 15:26:12,1628263591992,1,06/08/2021 16:26:31,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,3,1,2,Screen 1,advancementZone,continue_button,2603.5999999046326,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1628263574186,06/08/2021 15:26:14,1628263593873,1,06/08/2021 16:26:33,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,3,1,3,Screen 3,advancementZone,continue_button,1864.7999997138977,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1628263574686,06/08/2021 15:26:14,1628263594364,1,06/08/2021 16:26:34,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,4,1,1,Screen 1,fixation,fixation,500.02300000000105,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1628263574826,06/08/2021 15:26:14,1628263594484,1,06/08/2021 16:26:34,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,15,1,1,start,script,force_advance,99.97899999999936,,,,,0,1,0,,,,,1,task,O,,,0.204954585,0.080492088,0.050792731,0.025385339,O_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
10,1628263576864,06/08/2021 15:26:16,1628263596533,1,06/08/2021 16:26:36,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,15,1,2,Level1,Zone2,response_text_entry,1979,,,o,1,1,0,0,,,,,1,task,O,,,0.204954585,0.080492088,0.050792731,0.025385339,O_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
11,1628263576931,06/08/2021 15:26:16,1628263596548,1,06/08/2021 16:26:36,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,15,1,17,end,advancementZone,timelimit_screen,16.6150000000016,,,,,0,1,0,,,1,,1,task,O,,,0.204954585,0.080492088,0.050792731,0.025385339,O_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
12,1628263577338,06/08/2021 15:26:17,1628263597031,1,06/08/2021 16:26:37,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,6,2,1,Screen 1,fixation,fixation,500.0509999999995,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1628263577447,06/08/2021 15:26:17,1628263597126,1,06/08/2021 16:26:37,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,25,2,1,start,script,force_advance,83.28900000000067,,,,,0,1,0,,,,,1,task,Z,,,0.204954585,0.080492088,0.050792731,0.025385339,Z_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
14,1628263579275,06/08/2021 15:26:19,1628263598955,1,06/08/2021 16:26:38,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,25,2,3,Level2,Zone2,response_text_entry,1810.0999999046326,,,z,1,1,0,0,,,,,1,task,Z,,,0.204954585,0.080492088,0.050792731,0.025385339,Z_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
15,1628263579397,06/08/2021 15:26:19,1628263598967,1,06/08/2021 16:26:38,53563,19,task-cbqt,,14929459,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,25,2,17,end,advancementZone,timelimit_screen,16.635000000002037,,,,,0,1,0,,,1,,1,task,Z,,,0.204954585,0.080492088,0.050792731,0.025385339,Z_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
