Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627235829762,25/07/2021 17:57:09,1627235829658,-4,25/07/2021 13:57:09,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627237430084,25/07/2021 18:23:50,1627237429653,-4,25/07/2021 14:23:49,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,1,1,1,Screen 1,advancementZone,continue_button,35864.30000000447,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627237438224,25/07/2021 18:23:58,1627237438160,-4,25/07/2021 14:23:58,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,2,1,1,Screen 1,Zone1,screen_calibration,8496.70000000298,,,Pixels per CM: 46.46279947921175,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627237438474,25/07/2021 18:23:58,1627237438161,-4,25/07/2021 14:23:58,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,2,1,1,Screen 1,Zone1,screen_calibration,8502.065999999999,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627237440432,25/07/2021 18:24:00,1627237440345,-4,25/07/2021 14:24:00,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,3,1,1,Screen 2,advancementZone,continue_button,2133.7000000029802,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627237441089,25/07/2021 18:24:01,1627237440842,-4,25/07/2021 14:24:00,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,3,1,2,Screen 1,advancementZone,continue_button,488.6000000014901,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627237441495,25/07/2021 18:24:01,1627237441380,-4,25/07/2021 14:24:01,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,3,1,3,Screen 3,advancementZone,continue_button,529.7999999970198,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627237441995,25/07/2021 18:24:01,1627237441877,-4,25/07/2021 14:24:01,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,4,1,1,Screen 1,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627237442308,25/07/2021 18:24:02,1627237441918,-4,25/07/2021 14:24:01,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,21,1,1,start,script,force_advance,33.34799999999814,,,,,0,1,0,,,,,1,task,U,,,0.245423324,0.09638543,0.060821869,0.030397731,U_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
10,1627237447297,25/07/2021 18:24:07,1627237447227,-4,25/07/2021 14:24:07,53563,19,task-gepb,,14570623,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,21,1,2,Level1,Zone2,response_text_entry,5300.39999999851,,,u,1,1,0,0,,,,,1,task,U,,,0.245423324,0.09638543,0.060821869,0.030397731,U_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
