Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627241368371,25/07/2021 19:29:28,1627241368253,-4,25/07/2021 15:29:28,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627241370092,25/07/2021 19:29:30,1627241370031,-4,25/07/2021 15:29:30,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,1,1,1,Screen 1,advancementZone,continue_button,1734.3999999985099,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627241376946,25/07/2021 19:29:36,1627241376860,-4,25/07/2021 15:29:36,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,2,1,1,Screen 1,Zone1,screen_calibration,6819.89999999851,,,Pixels per CM: 42.11275463740465,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627241377117,25/07/2021 19:29:37,1627241376861,-4,25/07/2021 15:29:36,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,2,1,1,Screen 1,Zone1,screen_calibration,6825.673,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627241380525,25/07/2021 19:29:40,1627241380458,-4,25/07/2021 15:29:40,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,3,1,1,Screen 2,advancementZone,continue_button,3544.0999999940395,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627241382273,25/07/2021 19:29:42,1627241382194,-4,25/07/2021 15:29:42,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,3,1,2,Screen 1,advancementZone,continue_button,1727.2999999970198,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627241383132,25/07/2021 19:29:43,1627241383070,-4,25/07/2021 15:29:43,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,3,1,3,Screen 3,advancementZone,continue_button,868.6999999955297,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627241383632,25/07/2021 19:29:43,1627241383563,-4,25/07/2021 15:29:43,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,4,1,1,Screen 1,fixation,fixation,500.21999999999935,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627241383762,25/07/2021 19:29:43,1627241383605,-4,25/07/2021 15:29:43,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,7,1,1,start,script,force_advance,4.5,,,,,0,1,0,,,,,1,task,D,,,0.245423324,0.09638543,0.060821869,0.030397731,D_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
10,1627241387631,25/07/2021 19:29:47,1627241387580,-4,25/07/2021 15:29:47,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,7,1,2,Level1,Zone2,response_text_entry,3963.89999999851,,,D,1,1,0,0,,,,,1,task,D,,,0.245423324,0.09638543,0.060821869,0.030397731,D_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
11,1627241387763,25/07/2021 19:29:47,1627241387587,-4,25/07/2021 15:29:47,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,7,1,17,end,advancementZone,timelimit_screen,16.67399999999907,,,,,0,1,0,,,1,,1,task,D,,,0.245423324,0.09638543,0.060821869,0.030397731,D_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
12,1627241388138,25/07/2021 19:29:48,1627241388079,-4,25/07/2021 15:29:48,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,6,2,1,Screen 1,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1627241388278,25/07/2021 19:29:48,1627241388128,-4,25/07/2021 15:29:48,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,21,2,1,start,script,force_advance,33.34799999999814,,,,,0,1,0,,,,,1,task,U,,,0.245423324,0.09638543,0.060821869,0.030397731,U_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
14,1627241391690,25/07/2021 19:29:51,1627241391628,-4,25/07/2021 15:29:51,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,21,2,3,Level2,Zone2,response_text_entry,3490.89999999851,,,U,1,1,0,0,,,,,1,task,U,,,0.245423324,0.09638543,0.060821869,0.030397731,U_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
15,1627241391838,25/07/2021 19:29:51,1627241391633,-4,25/07/2021 15:29:51,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,21,2,17,end,advancementZone,timelimit_screen,16.67399999999907,,,,,0,1,0,,,1,,1,task,U,,,0.245423324,0.09638543,0.060821869,0.030397731,U_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
16,1627241392182,25/07/2021 19:29:52,1627241392131,-4,25/07/2021 15:29:52,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,8,3,1,Screen 1,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
17,1627241392322,25/07/2021 19:29:52,1627241392174,-4,25/07/2021 15:29:52,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,23,3,1,start,script,force_advance,16.67399999999907,,,,,0,1,0,,,,,1,task,V,,,0.245423324,0.09638543,0.060821869,0.030397731,V_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
18,1627241393539,25/07/2021 19:29:53,1627241393476,-4,25/07/2021 15:29:53,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,23,3,4,Level3,Zone2,response_text_entry,1292.7000000029802,,,V,1,1,0,0,,,,,1,task,V,,,0.245423324,0.09638543,0.060821869,0.030397731,V_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
19,1627241393680,25/07/2021 19:29:53,1627241393482,-4,25/07/2021 15:29:53,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,23,3,17,end,advancementZone,timelimit_screen,16.67399999999907,,,,,0,1,0,,,1,,1,task,V,,,0.245423324,0.09638543,0.060821869,0.030397731,V_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
20,1627241394041,25/07/2021 19:29:54,1627241393982,-4,25/07/2021 15:29:53,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,10,4,1,Screen 1,fixation,fixation,500.22000000000116,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
21,1627241394179,25/07/2021 19:29:54,1627241394020,-4,25/07/2021 15:29:54,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,25,4,1,start,script,force_advance,33.34799999999814,,,,,0,1,0,,,,,1,task,Z,,,0.245423324,0.09638543,0.060821869,0.030397731,Z_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
22,1627241395804,25/07/2021 19:29:55,1627241395620,-4,25/07/2021 15:29:55,53563,19,task-h3db,,14571374,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Visual Acuity With Height,9,bothFirst,188,Right,188,Right,,,,,188,188,25,4,5,Level4,Zone2,response_text_entry,1593.1000000014901,,,Z,1,1,0,0,,,,,1,task,Z,,,0.245423324,0.09638543,0.060821869,0.030397731,Z_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
