Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627135211683,24/07/2021 14:00:11,1627135212093,1,24/07/2021 15:00:12,53563,19,task-ihj6,,14557352,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627135214210,24/07/2021 14:00:14,1627135214691,1,24/07/2021 15:00:14,53563,19,task-ihj6,,14557352,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2574,,,,,0,1,0,,,,,,instructions
3,1627135214272,24/07/2021 14:00:14,1627135214710,1,24/07/2021 15:00:14,53563,19,task-ihj6,,14557352,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,2617,,,,,0,1,0,,,,,,
1,1627154737392,24/07/2021 19:25:37,1627154741922,1,24/07/2021 20:25:41,53563,19,task-ihj6,,14560888,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627154775852,24/07/2021 19:26:15,1627154780375,1,24/07/2021 20:26:20,53563,19,task-ihj6,,14560888,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,38388.699999809265,,,,,0,1,0,,,,,,instructions
3,1627154775947,24/07/2021 19:26:15,1627154780380,1,24/07/2021 20:26:20,53563,19,task-ihj6,,14560888,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,38458,,,,,0,1,0,,,,,,
1,1627209893827,25/07/2021 10:44:53,1627209894250,1,25/07/2021 11:44:54,53563,19,task-ihj6,,14565789,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627209899234,25/07/2021 10:44:59,1627209899688,1,25/07/2021 11:44:59,53563,19,task-ihj6,,14565789,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5411.100000023842,,,,,0,1,0,,,,,,instructions
3,1627209899314,25/07/2021 10:44:59,1627209899691,1,25/07/2021 11:44:59,53563,19,task-ihj6,,14565789,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,One eye,12,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,END TASK,,,,,5441,,,,,0,1,0,,,,,,
1,1627242476219,25/07/2021 19:47:56,1627242476090,-4,25/07/2021 15:47:56,53563,19,task-ihj6,,14571566,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,One eye,12,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627242479650,25/07/2021 19:47:59,1627242479562,-4,25/07/2021 15:47:59,53563,19,task-ihj6,,14571566,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,One eye,12,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3423.10000000149,,,,,0,1,0,,,,,,instructions
3,1627242479775,25/07/2021 19:47:59,1627242479565,-4,25/07/2021 15:47:59,53563,19,task-ihj6,,14571566,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,One eye,12,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,END TASK,,,,,3475,,,,,0,1,0,,,,,,
1,1627403533982,27/07/2021 16:32:13,1627403533844,2,27/07/2021 18:32:13,53563,19,task-ihj6,,14624589,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x788,,One eye,12,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627403535732,27/07/2021 16:32:15,1627403535625,2,27/07/2021 18:32:15,53563,19,task-ihj6,,14624589,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x788,,One eye,12,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1755.699999999255,,,,,0,1,0,,,,,,instructions
3,1627403535896,27/07/2021 16:32:15,1627403535629,2,27/07/2021 18:32:15,53563,19,task-ihj6,,14624589,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x788,,One eye,12,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,END TASK,,,,,1785,,,,,0,1,0,,,,,,
1,1627566210293,29/07/2021 13:43:30,1627566210191,1,29/07/2021 14:43:30,53563,19,task-ihj6,,14680462,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627566212246,29/07/2021 13:43:32,1627566212173,1,29/07/2021 14:43:32,53563,19,task-ihj6,,14680462,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1934,,,,,0,1,0,,,,,,instructions
3,1627566212308,29/07/2021 13:43:32,1627566212178,1,29/07/2021 14:43:32,53563,19,task-ihj6,,14680462,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,1987,,,,,0,1,0,,,,,,
1,1627618435931,30/07/2021 04:13:55,1627618435713,-4,30/07/2021 00:13:55,53563,19,task-ihj6,,14701385,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627618458400,30/07/2021 04:14:18,1627618458259,-4,30/07/2021 00:14:18,53563,19,task-ihj6,,14701385,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,22510.000000000004,,,,,0,1,0,,,,,,instructions
3,1627618458572,30/07/2021 04:14:18,1627618458267,-4,30/07/2021 00:14:18,53563,19,task-ihj6,,14701385,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,22554,,,,,0,1,0,,,,,,
1,1627832763785,01/08/2021 15:46:03,1627832763670,1,01/08/2021 16:46:03,53563,19,task-ihj6,,14747887,k3fbxcf6,4392148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627832770373,01/08/2021 15:46:10,1627832770296,1,01/08/2021 16:46:10,53563,19,task-ihj6,,14747887,k3fbxcf6,4392148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6599.699999988079,,,,,0,1,0,,,,,,instructions
3,1627832770454,01/08/2021 15:46:10,1627832770299,1,01/08/2021 16:46:10,53563,19,task-ihj6,,14747887,k3fbxcf6,4392148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,6629,,,,,0,1,0,,,,,,
