Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627134334240,24/07/2021 13:45:34,1627134334663,1,24/07/2021 14:45:34,53563,19,task-kiig,,14557178,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627134388464,24/07/2021 13:46:28,1627134388929,1,24/07/2021 14:46:28,53563,19,task-kiig,,14557178,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,54248,,,,,0,1,0,,,,,,instructions
3,1627134388545,24/07/2021 13:46:28,1627134388939,1,24/07/2021 14:46:28,53563,19,task-kiig,,14557178,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,54276,,,,,0,1,0,,,,,,
1,1627153218449,24/07/2021 19:00:18,1627153222946,1,24/07/2021 20:00:22,53563,19,task-kiig,,14560608,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,Both eyes,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627153221292,24/07/2021 19:00:21,1627153225814,1,24/07/2021 20:00:25,53563,19,task-kiig,,14560608,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,Both eyes,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2843.300000190735,,,,,0,1,0,,,,,,instructions
3,1627153221371,24/07/2021 19:00:21,1627153225819,1,24/07/2021 20:00:25,53563,19,task-kiig,,14560608,xxjvz9o8,4333569,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x768,,Both eyes,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,2873,,,,,0,1,0,,,,,,
1,1627208732501,25/07/2021 10:25:32,1627208732914,1,25/07/2021 11:25:32,53563,19,task-kiig,,14565561,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Both eyes,6,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627208738754,25/07/2021 10:25:38,1627208739167,1,25/07/2021 11:25:39,53563,19,task-kiig,,14565561,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Both eyes,6,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6223.399999976158,,,,,0,1,0,,,,,,instructions
3,1627208738816,25/07/2021 10:25:38,1627208739170,1,25/07/2021 11:25:39,53563,19,task-kiig,,14565561,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Both eyes,6,bothFirst,173,Right,173,Right,,,,,Spreadsheet1,,,END TASK,,,,,6256,,,,,0,1,0,,,,,,
1,1627237618051,25/07/2021 18:26:58,1627237617930,-4,25/07/2021 14:26:57,53563,19,task-kiig,,14570865,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627237619512,25/07/2021 18:26:59,1627237619432,-4,25/07/2021 14:26:59,53563,19,task-kiig,,14570865,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1466.7999999970198,,,,,0,1,0,,,,,,instructions
3,1627237619632,25/07/2021 18:26:59,1627237619434,-4,25/07/2021 14:26:59,53563,19,task-kiig,,14570865,emck5ui5,4336146,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1280x800,1280x688,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,END TASK,,,,,1504,,,,,0,1,0,,,,,,
1,1627402667392,27/07/2021 16:17:47,1627402667255,2,27/07/2021 18:17:47,53563,19,task-kiig,,14623740,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x736,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627402672298,27/07/2021 16:17:52,1627402672065,2,27/07/2021 18:17:52,53563,19,task-kiig,,14623740,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x788,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4790.699999999255,,,,,0,1,0,,,,,,instructions
3,1627402672489,27/07/2021 16:17:52,1627402672069,2,27/07/2021 18:17:52,53563,19,task-kiig,,14623740,w62tyqvu,4354253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x788,,Both eyes,6,bothFirst,188,Right,188,Right,,,,,Spreadsheet1,,,END TASK,,,,,4814,,,,,0,1,0,,,,,,
1,1627565351491,29/07/2021 13:29:11,1627565351383,1,29/07/2021 14:29:11,53563,19,task-kiig,,14680088,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627565354319,29/07/2021 13:29:14,1627565354257,1,29/07/2021 14:29:14,53563,19,task-kiig,,14680088,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2847.5,,,,,0,1,0,,,,,,instructions
3,1627565354390,29/07/2021 13:29:14,1627565354260,1,29/07/2021 14:29:14,53563,19,task-kiig,,14680088,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,2877,,,,,0,1,0,,,,,,
1,1627617274154,30/07/2021 03:54:34,1627617273373,-4,29/07/2021 23:54:33,53563,19,task-kiig,,14701340,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
