Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627565223624,29/07/2021 13:27:03,1627565223554,1,29/07/2021 14:27:03,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627565234753,29/07/2021 13:27:14,1627565234702,1,29/07/2021 14:27:14,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,1,1,1,Screen 1,advancementZone,continue_button,11112.79999999702,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627565254510,29/07/2021 13:27:34,1627565254450,1,29/07/2021 14:27:34,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,2,1,1,Screen 1,Zone1,screen_calibration,19732.80000000447,,,Pixels per CM: 51.05650933367498,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627565254635,29/07/2021 13:27:34,1627565254453,1,29/07/2021 14:27:34,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,2,1,1,Screen 1,Zone1,screen_calibration,19752.726,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627565262808,29/07/2021 13:27:42,1627565262777,1,29/07/2021 14:27:42,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,3,1,1,Screen 2,advancementZone,continue_button,8252.39999999851,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627565264112,29/07/2021 13:27:44,1627565264067,1,29/07/2021 14:27:44,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,3,1,2,Screen 1,advancementZone,continue_button,1279.1000000014901,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627565265308,29/07/2021 13:27:45,1627565265276,1,29/07/2021 14:27:45,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,3,1,3,Screen 3,advancementZone,continue_button,1198.8999999985099,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627565265815,29/07/2021 13:27:45,1627565265774,1,29/07/2021 14:27:45,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,4,1,1,Screen 1,fixation,fixation,501.41300000000047,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627565265918,29/07/2021 13:27:45,1627565265826,1,29/07/2021 14:27:45,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,13,1,1,start,script,force_advance,33.42199999999866,,,,,0,1,0,,,,,1,task,N,,,0.212787244,0.083568219,0.052733854,0.02635548,N_upper_100.png,0.691007093,0.26739649,0.559811076,0.43796919,0.34175789,0.167869185,0.132236967,0.105651343,0.065938801,0.042178289,0.033386528
10,1627565267543,29/07/2021 13:27:47,1627565267503,1,29/07/2021 14:27:47,53563,19,task-kna9,,14680022,wr2yc4aa,4372219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1472x678,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,13,1,2,Level1,Zone2,response_text_entry,1661.6999999955297,,,n,1,1,0,0,,,,,1,task,N,,,0.212787244,0.083568219,0.052733854,0.02635548,N_upper_100.png,0.691007093,0.26739649,0.559811076,0.43796919,0.34175789,0.167869185,0.132236967,0.105651343,0.065938801,0.042178289,0.033386528
