Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627209180659,25/07/2021 10:33:00,1627209181079,1,25/07/2021 11:33:01,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627209190867,25/07/2021 10:33:10,1627209191308,1,25/07/2021 11:33:11,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,1,1,1,Screen 1,advancementZone,continue_button,10195.700000047684,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627209204872,25/07/2021 10:33:24,1627209205344,1,25/07/2021 11:33:25,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,2,1,1,Screen 1,Zone1,screen_calibration,14023.800000071526,,,Pixels per CM: 49.25407212086165,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627209204934,25/07/2021 10:33:24,1627209205347,1,25/07/2021 11:33:25,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,2,1,1,Screen 1,Zone1,screen_calibration,14053.248,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627209213920,25/07/2021 10:33:33,1627209214397,1,25/07/2021 11:33:34,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,3,1,1,Screen 2,advancementZone,continue_button,8996.099999904633,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627209330399,25/07/2021 10:35:30,1627209330838,1,25/07/2021 11:35:30,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,3,1,2,Screen 1,advancementZone,continue_button,116430.80000007153,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627209333432,25/07/2021 10:35:33,1627209333904,1,25/07/2021 11:35:33,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,3,1,3,Screen 3,advancementZone,continue_button,3055.8000000715256,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627209333932,25/07/2021 10:35:33,1627209334395,1,25/07/2021 11:35:34,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,4,1,1,Screen 1,fixation,fixation,499.9799999999814,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627209333996,25/07/2021 10:35:33,1627209334433,1,25/07/2021 11:35:34,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,15,1,1,start,script,force_advance,33.33200000002398,,,,,0,1,0,,,,,1,task,O,,,0.225841676,0.088695103,0.05596906,0.02797238,O_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
10,1627209344547,25/07/2021 10:35:44,1627209345012,1,25/07/2021 11:35:45,53563,19,task-md11,,14565661,sabbngj0,4334877,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,173,Right,173,Right,,,,,173,173,15,1,2,Level1,Zone2,response_text_entry,10572.200000047684,,,o,1,1,0,0,,,,,1,task,O,,,0.225841676,0.088695103,0.05596906,0.02797238,O_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
