Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627134766845,24/07/2021 13:52:46,1627134767248,1,24/07/2021 14:52:47,53563,19,task-mf56,,14557282,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627134768144,24/07/2021 13:52:48,1627134768624,1,24/07/2021 14:52:48,53563,19,task-mf56,,14557282,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1357,,,,,0,1,0,,,,,,instructions
3,1627134768206,24/07/2021 13:52:48,1627134768632,1,24/07/2021 14:52:48,53563,19,task-mf56,,14557282,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,1384,,,,,0,1,0,,,,,,
1,1627617903037,30/07/2021 04:05:03,1627617902848,-4,30/07/2021 00:05:02,53563,19,task-mf56,,14701368,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627617911117,30/07/2021 04:05:11,1627617910982,-4,30/07/2021 00:05:10,53563,19,task-mf56,,14701368,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8103,,,,,0,1,0,,,,,,instructions
3,1627617911273,30/07/2021 04:05:11,1627617910989,-4,30/07/2021 00:05:10,53563,19,task-mf56,,14701368,zij8g8dv,4379880,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.1,1440x900,1440x820,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,8141,,,,,0,1,0,,,,,,
1,1628418489647,08/08/2021 10:28:09,1628418489334,1,08/08/2021 11:28:09,53563,19,task-mf56,,14951639,34qntcfb,4449101,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x1024,1422x1138,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628418494550,08/08/2021 10:28:14,1628418494287,1,08/08/2021 11:28:14,53563,19,task-mf56,,14951639,34qntcfb,4449101,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x1024,1422x1138,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4901.5,,,,,0,1,0,,,,,,instructions
3,1628418494622,08/08/2021 10:28:14,1628418494290,1,08/08/2021 11:28:14,53563,19,task-mf56,,14951639,34qntcfb,4449101,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x1024,1422x1138,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,4956,,,,,0,1,0,,,,,,
1,1628457530550,08/08/2021 21:18:50,1628457528141,1,08/08/2021 22:18:48,53563,19,task-mf56,,14961300,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
