Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1628431128332,08/08/2021 13:58:48,1628431138817,1,08/08/2021 14:58:58,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1628431130924,08/08/2021 13:58:50,1628431141374,1,08/08/2021 14:59:01,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,1,1,1,Screen 1,advancementZone,continue_button,2469.4000000953674,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1628431144290,08/08/2021 13:59:04,1628431154732,1,08/08/2021 14:59:14,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,2,1,1,Screen 1,Zone1,screen_calibration,13339.700000286102,,,Pixels per CM: 40.46135553839601,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1628431144371,08/08/2021 13:59:04,1628431154734,1,08/08/2021 14:59:14,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,2,1,1,Screen 1,Zone1,screen_calibration,13350.012,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1628431146233,08/08/2021 13:59:06,1628431156760,1,08/08/2021 14:59:16,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,3,1,1,Screen 2,advancementZone,continue_button,1878.9000000953674,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1628431148572,08/08/2021 13:59:08,1628431159118,1,08/08/2021 14:59:19,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,3,1,2,Screen 1,advancementZone,continue_button,2336.199999809265,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1628431151092,08/08/2021 13:59:11,1628431161557,1,08/08/2021 14:59:21,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,3,1,3,Screen 3,advancementZone,continue_button,2421.2999997138977,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1628431151525,08/08/2021 13:59:11,1628431162054,1,08/08/2021 14:59:22,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,4,1,1,Screen 1,fixation,fixation,500.0060000000012,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1628431151633,08/08/2021 13:59:11,1628431162169,1,08/08/2021 14:59:22,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,13,1,1,start,script,force_advance,99.99299999999857,,,,,0,1,0,,,,,1,task,N,,,0.225841676,0.088695103,0.05596906,0.02797238,N_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
10,1628431154316,08/08/2021 13:59:14,1628431164853,1,08/08/2021 14:59:24,53563,19,task-mobr,,14953744,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,13,1,2,Level1,Zone2,response_text_entry,2653.0999999046326,,,n,1,1,0,0,,,,,1,task,N,,,0.225841676,0.088695103,0.05596906,0.02797238,N_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
