Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1628265126404,06/08/2021 15:52:06,1628265146052,1,06/08/2021 16:52:26,53563,19,task-oqg8,,14930454,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628265128070,06/08/2021 15:52:08,1628265147747,1,06/08/2021 16:52:27,53563,19,task-oqg8,,14930454,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1453.8000001907349,,,,,0,1,0,,,,,,instructions
3,1628265128168,06/08/2021 15:52:08,1628265147750,1,06/08/2021 16:52:27,53563,19,task-oqg8,,14930454,qsx44hso,4443776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,1698,,,,,0,1,0,,,,,,
1,1628419622982,08/08/2021 10:47:02,1628419626056,1,08/08/2021 11:47:06,53563,19,task-oqg8,,14951747,olpy5lj3,4449137,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1360x768,1360x768,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628419629304,08/08/2021 10:47:09,1628419632426,1,08/08/2021 11:47:12,53563,19,task-oqg8,,14951747,olpy5lj3,4449137,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1360x768,1360x768,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6317.399999856949,,,,,0,1,0,,,,,,instructions
3,1628419629417,08/08/2021 10:47:09,1628419632431,1,08/08/2021 11:47:12,53563,19,task-oqg8,,14951747,olpy5lj3,4449137,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1360x768,1360x768,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,6375,,,,,0,1,0,,,,,,
1,1628447770007,08/08/2021 18:36:10,1628447766323,1,08/08/2021 19:36:06,53563,19,task-oqg8,,14958697,xxcxlrcr,4450348,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x577,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628447775024,08/08/2021 18:36:15,1628447771489,1,08/08/2021 19:36:11,53563,19,task-oqg8,,14958697,xxcxlrcr,4450348,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x577,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5125.899999856949,,,,,0,1,0,,,,,,instructions
3,1628447775180,08/08/2021 18:36:15,1628447771493,1,08/08/2021 19:36:11,53563,19,task-oqg8,,14958697,xxcxlrcr,4450348,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x577,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,5171,,,,,0,1,0,,,,,,
END OF FILE
