Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1627134389639,24/07/2021 13:46:29,1627134390059,1,24/07/2021 14:46:30,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1627134397465,24/07/2021 13:46:37,1627134397920,1,24/07/2021 14:46:37,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,1,1,1,Screen 1,advancementZone,continue_button,7836,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1627134398809,24/07/2021 13:46:38,1627134399285,1,24/07/2021 14:46:39,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x995,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,6,1,1,noTarget,Zone1,response_button_image,1356,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
4,1627134399476,24/07/2021 13:46:39,1627134399954,1,24/07/2021 14:46:39,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,6,1,2,target,Zone2,response_button_image,664,,,redSquare.png,1,0,1,0,,,,,1,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
5,1627134400246,24/07/2021 13:46:40,1627134400697,1,24/07/2021 14:46:40,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,14,1,1,noTarget,Zone1,response_button_image,737,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
6,1627134400857,24/07/2021 13:46:40,1627134401341,1,24/07/2021 14:46:41,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,14,1,2,target,Zone2,response_button_image,639,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
7,1627134401481,24/07/2021 13:46:41,1627134401961,1,24/07/2021 14:46:41,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,15,1,1,noTarget,Zone1,response_button_image,613,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
8,1627134402261,24/07/2021 13:46:42,1627134402726,1,24/07/2021 14:46:42,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,15,1,2,target,Zone2,response_button_image,762,,,redSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
9,1627134402803,24/07/2021 13:46:42,1627134403288,1,24/07/2021 14:46:43,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,3,1,1,noTarget,Zone1,response_button_image,557,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
10,1627134403241,24/07/2021 13:46:43,1627134403714,1,24/07/2021 14:46:43,53563,19,task-p5uw,,14557192,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,3,1,2,target,Zone2,response_button_image,422,,,redSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
