Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1628690873498,11/08/2021 14:07:53,1628690873405,1,11/08/2021 15:07:53,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1628690884544,11/08/2021 14:08:04,1628690884403,1,11/08/2021 15:08:04,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,1,1,1,Screen 1,advancementZone,continue_button,10967.60000000149,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1628690897112,11/08/2021 14:08:17,1628690897049,1,11/08/2021 15:08:17,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,2,1,1,Screen 1,Zone1,screen_calibration,12621.60000000149,,,Pixels per CM: 36.94910801162078,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1628690897210,11/08/2021 14:08:17,1628690897051,1,11/08/2021 15:08:17,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,2,1,1,Screen 1,Zone1,screen_calibration,12645.997000000001,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1628690899732,11/08/2021 14:08:19,1628690899648,1,11/08/2021 15:08:19,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,3,1,1,Screen 2,advancementZone,continue_button,2529.099999997765,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1628690901427,11/08/2021 14:08:21,1628690901344,1,11/08/2021 15:08:21,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,3,1,2,Screen 1,advancementZone,continue_button,1688.1000000014901,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1628690903271,11/08/2021 14:08:23,1628690903217,1,11/08/2021 15:08:23,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,3,1,3,Screen 3,advancementZone,continue_button,1865.4000000022352,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1628690903771,11/08/2021 14:08:23,1628690903710,1,11/08/2021 15:08:23,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,4,1,1,Screen 1,fixation,fixation,500.02700000000186,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1628690903880,11/08/2021 14:08:23,1628690903798,1,11/08/2021 15:08:23,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,15,1,1,start,script,force_advance,83.12900000000081,,,,,0,1,0,,,,,1,task,O,,,0.232368892,0.091258545,0.057586663,0.028780831,O_upper_100.png,0.754596703,0.292003529,0.611327433,0.478273103,0.373208003,0.18331727,0.144406013,0.11537386,0.072006789,0.046059727,0.036458908
10,1628690908410,11/08/2021 14:08:28,1628690908279,1,11/08/2021 15:08:28,53563,19,task-qr76,,15072632,zk4obol5,4475413,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x937,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,15,1,2,Level1,Zone2,response_text_entry,4468.199999999255,,,o,1,1,0,0,,,,,1,task,O,,,0.232368892,0.091258545,0.057586663,0.028780831,O_upper_100.png,0.754596703,0.292003529,0.611327433,0.478273103,0.373208003,0.18331727,0.144406013,0.11537386,0.072006789,0.046059727,0.036458908
