Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627235125570,25/07/2021 17:45:25,1627235125443,-4,25/07/2021 13:45:25,53563,19,task-rnsi,,14570508,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627235127555,25/07/2021 17:45:27,1627235127458,-4,25/07/2021 13:45:27,53563,19,task-rnsi,,14570508,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1996,,,,,0,1,0,,,,,,instructions
3,1627235127712,25/07/2021 17:45:27,1627235127461,-4,25/07/2021 13:45:27,53563,19,task-rnsi,,14570508,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,2018,,,,,0,1,0,,,,,,
1,1627943520210,02/08/2021 22:32:00,1627943517846,1,02/08/2021 23:31:57,53563,19,task-rnsi,,14784850,9gtkjilx,4404605,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x649,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627943547260,02/08/2021 22:32:27,1627943544164,1,02/08/2021 23:32:24,53563,19,task-rnsi,,14784850,9gtkjilx,4404605,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x649,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,26230.399999999907,,,,,0,1,0,,,,,,instructions
3,1627943547963,02/08/2021 22:32:27,1627943544175,1,02/08/2021 23:32:24,53563,19,task-rnsi,,14784850,9gtkjilx,4404605,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x649,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,26329,,,,,0,1,0,,,,,,
1,1628360273589,07/08/2021 18:17:53,1628360272466,1,07/08/2021 19:17:52,53563,19,task-rnsi,,14947696,mizo6hsv,4447916,,live,,,computer,Desktop or Laptop,Windows 7,Chrome 92.0.4515.131,1366x768,1366x657,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628360278233,07/08/2021 18:17:58,1628360277123,1,07/08/2021 19:17:57,53563,19,task-rnsi,,14947696,mizo6hsv,4447916,,live,,,computer,Desktop or Laptop,Windows 7,Chrome 92.0.4515.131,1366x768,1366x657,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4576.5,,,,,0,1,0,,,,,,instructions
3,1628360278330,07/08/2021 18:17:58,1628360277132,1,07/08/2021 19:17:57,53563,19,task-rnsi,,14947696,mizo6hsv,4447916,,live,,,computer,Desktop or Laptop,Windows 7,Chrome 92.0.4515.131,1366x768,1366x657,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,4667,,,,,0,1,0,,,,,,
1,1628362528320,07/08/2021 18:55:28,1628362524997,1,07/08/2021 19:55:24,53563,19,task-rnsi,,14947893,aabkpjmi,4448050,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x587,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628362533206,07/08/2021 18:55:33,1628362529937,1,07/08/2021 19:55:29,53563,19,task-rnsi,,14947893,aabkpjmi,4448050,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x587,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4884,,,,,0,1,0,,,,,,instructions
