Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1628430512668,08/08/2021 13:48:32,1628430523146,1,08/08/2021 14:48:43,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1628430534809,08/08/2021 13:48:54,1628430545265,1,08/08/2021 14:49:05,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,1,1,1,Screen 1,advancementZone,continue_button,22034,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1628430563396,08/08/2021 13:49:23,1628430573825,1,08/08/2021 14:49:33,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,2,1,1,Screen 1,Zone1,screen_calibration,28524.699999809265,,,Pixels per CM: 40.46135553839601,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1628430563505,08/08/2021 13:49:23,1628430573827,1,08/08/2021 14:49:33,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,2,1,1,Screen 1,Zone1,screen_calibration,28566.564000000002,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1628430599290,08/08/2021 13:49:59,1628430609661,1,08/08/2021 14:50:09,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,3,1,1,Screen 2,advancementZone,continue_button,35669.800000190735,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1628430602515,08/08/2021 13:50:02,1628430613066,1,08/08/2021 14:50:13,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,3,1,2,Screen 1,advancementZone,continue_button,3372.800000190735,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1628430604497,08/08/2021 13:50:04,1628430615021,1,08/08/2021 14:50:15,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,3,1,3,Screen 3,advancementZone,continue_button,1937.1999998092651,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1628430604989,08/08/2021 13:50:04,1628430615520,1,08/08/2021 14:50:15,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,4,1,1,Screen 1,fixation,fixation,499.99400000000605,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1628430605114,08/08/2021 13:50:05,1628430615624,1,08/08/2021 14:50:15,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,15,1,1,start,script,force_advance,83.31399999999849,,,,,0,1,0,,,,,1,task,O,,,0.225841676,0.088695103,0.05596906,0.02797238,O_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
10,1628430607440,08/08/2021 13:50:07,1628430617982,1,08/08/2021 14:50:17,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,15,1,2,Level1,Zone2,response_text_entry,2301,,,o,1,1,0,0,,,,,1,task,O,,,0.225841676,0.088695103,0.05596906,0.02797238,O_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
11,1628430607492,08/08/2021 13:50:07,1628430618001,1,08/08/2021 14:50:18,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,15,1,17,end,advancementZone,timelimit_screen,16.671000000002095,,,,,0,1,0,,,1,,1,task,O,,,0.225841676,0.088695103,0.05596906,0.02797238,O_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
12,1628430607940,08/08/2021 13:50:07,1628430618487,1,08/08/2021 14:50:18,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,6,2,1,Screen 1,fixation,fixation,499.9959999999992,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1628430608070,08/08/2021 13:50:08,1628430618612,1,08/08/2021 14:50:18,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,7,2,1,start,script,force_advance,100.00500000000466,,,,,0,1,0,,,,,1,task,D,,,0.225841676,0.088695103,0.05596906,0.02797238,D_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
14,1628430610173,08/08/2021 13:50:10,1628430620642,1,08/08/2021 14:50:20,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,7,2,3,Level2,Zone2,response_text_entry,2003.3000001907349,,,d,1,1,0,0,,,,,1,task,D,,,0.225841676,0.088695103,0.05596906,0.02797238,D_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
15,1628430610236,08/08/2021 13:50:10,1628430620659,1,08/08/2021 14:50:20,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,7,2,17,end,advancementZone,timelimit_screen,16.664000000004307,,,,,0,1,0,,,1,,1,task,D,,,0.225841676,0.088695103,0.05596906,0.02797238,D_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
16,1628430610611,08/08/2021 13:50:10,1628430621154,1,08/08/2021 14:50:21,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,8,3,1,Screen 1,fixation,fixation,499.99199999999837,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
17,1628430610704,08/08/2021 13:50:10,1628430621242,1,08/08/2021 14:50:21,53563,19,task-rnwg,,14953651,uhnwig14,4449574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1366x768,1366x625,,Visual Acuity With Height,9,oneFirst,,,,,173,Right,173,Right,173,173,9,3,1,start,script,force_advance,66.67399999999907,,,,,0,1,0,,,,,1,task,H,,,0.225841676,0.088695103,0.05596906,0.02797238,H_upper_100.png,0.733400167,0.283801183,0.594155314,0.464838465,0.362724632,0.178167908,0.140349665,0.112133021,0.069984126,0.044765915,0.035434781
