Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627147069066,24/07/2021 17:17:49,1627147113900,1,24/07/2021 18:18:33,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627147071131,24/07/2021 17:17:51,1627147116001,1,24/07/2021 18:18:36,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,1,1,1,Screen 1,advancementZone,continue_button,2019.0999999046326,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627147108437,24/07/2021 17:18:28,1627147153300,1,24/07/2021 18:19:13,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,2,1,1,Screen 1,Zone1,screen_calibration,37282.299999952316,,,Pixels per CM: 44.75298916524985,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627147108616,24/07/2021 17:18:28,1627147153302,1,24/07/2021 18:19:13,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,2,1,1,Screen 1,Zone1,screen_calibration,37290.891,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627147112156,24/07/2021 17:18:32,1627147157047,1,24/07/2021 18:19:17,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,3,1,1,Screen 2,advancementZone,continue_button,3569.2999999523163,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627147116516,24/07/2021 17:18:36,1627147161390,1,24/07/2021 18:19:21,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,3,1,2,Screen 1,advancementZone,continue_button,4328.399999856949,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627147118604,24/07/2021 17:18:38,1627147163476,1,24/07/2021 18:19:23,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,3,1,3,Screen 3,advancementZone,continue_button,2071.2000000476837,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627147119072,24/07/2021 17:18:39,1627147163960,1,24/07/2021 18:19:23,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,4,1,1,Screen 1,fixation,fixation,500.4890000000014,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627147119182,24/07/2021 17:18:39,1627147164071,1,24/07/2021 18:19:24,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,5,1,1,start,script,force_advance,83.0679999999993,,,,,0,1,0,,,,,1,task,C,,,0.238896108,0.093821988,0.059204266,0.029589281,C_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
10,1627147130388,24/07/2021 17:18:50,1627147175263,1,24/07/2021 18:19:35,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,5,1,2,Level1,Zone2,response_text_entry,11156.700000047684,,,c,1,1,0,0,,,,,1,task,C,,,0.238896108,0.093821988,0.059204266,0.029589281,C_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
11,1627147130450,24/07/2021 17:18:50,1627147175281,1,24/07/2021 18:19:35,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,5,1,17,end,advancementZone,timelimit_screen,16.64299999999639,,,,,0,1,0,,,1,,1,task,C,,,0.238896108,0.093821988,0.059204266,0.029589281,C_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
12,1627147130860,24/07/2021 17:18:50,1627147175759,1,24/07/2021 18:19:35,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,6,2,1,Screen 1,fixation,fixation,500.6080000000002,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1627147130976,24/07/2021 17:18:50,1627147175852,1,24/07/2021 18:19:35,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,13,2,1,start,script,force_advance,83.37900000000081,,,,,0,1,0,,,,,1,task,N,,,0.238896108,0.093821988,0.059204266,0.029589281,N_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
14,1627147136434,24/07/2021 17:18:56,1627147181323,1,24/07/2021 18:19:41,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,13,2,3,Level2,Zone2,response_text_entry,5454.5,,,n,1,1,0,0,,,,,1,task,N,,,0.238896108,0.093821988,0.059204266,0.029589281,N_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
15,1627147136503,24/07/2021 17:18:56,1627147181335,1,24/07/2021 18:19:41,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,13,2,17,end,advancementZone,timelimit_screen,16.65700000000652,,,,,0,1,0,,,1,,1,task,N,,,0.238896108,0.093821988,0.059204266,0.029589281,N_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
16,1627147136935,24/07/2021 17:18:56,1627147181828,1,24/07/2021 18:19:41,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,8,3,1,Screen 1,fixation,fixation,500.5769999999902,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
17,1627147137029,24/07/2021 17:18:57,1627147181921,1,24/07/2021 18:19:41,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,21,3,1,start,script,force_advance,66.7450000000099,,,,,0,1,0,,,,,1,task,U,,,0.238896108,0.093821988,0.059204266,0.029589281,U_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
18,1627147139895,24/07/2021 17:18:59,1627147184779,1,24/07/2021 18:19:44,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,21,3,4,Level3,Zone2,response_text_entry,2844.0999999046326,,,u,1,1,0,0,,,,,1,task,U,,,0.238896108,0.093821988,0.059204266,0.029589281,U_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
19,1627147139957,24/07/2021 17:18:59,1627147184791,1,24/07/2021 18:19:44,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,21,3,17,end,advancementZone,timelimit_screen,16.15899999999965,,,,,0,1,0,,,1,,1,task,U,,,0.238896108,0.093821988,0.059204266,0.029589281,U_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
20,1627147140408,24/07/2021 17:19:00,1627147185288,1,24/07/2021 18:19:45,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,10,4,1,Screen 1,fixation,fixation,500.53600000000733,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
21,1627147140486,24/07/2021 17:19:00,1627147185382,1,24/07/2021 18:19:45,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,9,4,1,start,script,force_advance,83.43499999999767,,,,,0,1,0,,,,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
22,1627147142756,24/07/2021 17:19:02,1627147187636,1,24/07/2021 18:19:47,53563,19,task-tbvc,,14558869,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Visual Acuity With Height,9,oneFirst,,,,,183,Right,183,Right,183,183,9,4,5,Level4,Zone2,response_text_entry,2240.9000000953674,,,h,1,1,0,0,,,,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
