Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1628866774471,13/08/2021 14:59:34,1628866774331,1,13/08/2021 15:59:34,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1628866777630,13/08/2021 14:59:37,1628866777544,1,13/08/2021 15:59:37,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,1,1,1,Screen 1,advancementZone,continue_button,3005.0999999940395,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1628866788510,13/08/2021 14:59:48,1628866788429,1,13/08/2021 15:59:48,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,2,1,1,Screen 1,Zone1,screen_calibration,10872.29999999702,,,Pixels per CM: 32.35539815715755,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1628866788626,13/08/2021 14:59:48,1628866788432,1,13/08/2021 15:59:48,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,2,1,1,Screen 1,Zone1,screen_calibration,10900.867000000002,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1628866791545,13/08/2021 14:59:51,1628866791477,1,13/08/2021 15:59:51,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,3,1,1,Screen 2,advancementZone,continue_button,2933.7999999970198,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1628866797538,13/08/2021 14:59:57,1628866797470,1,13/08/2021 15:59:57,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,3,1,2,Screen 1,advancementZone,continue_button,5977.5999999940395,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1628866800071,13/08/2021 15:00:00,1628866800005,1,13/08/2021 16:00:00,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,3,1,3,Screen 3,advancementZone,continue_button,2526.199999988079,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1628866800575,13/08/2021 15:00:00,1628866800497,1,13/08/2021 16:00:00,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,4,1,1,Screen 1,fixation,fixation,500.4900000000016,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1628866800685,13/08/2021 15:00:00,1628866800560,1,13/08/2021 16:00:00,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,7,1,1,start,script,force_advance,50.04899999999907,,,,,0,1,0,,,,,1,task,D,,,0.245423324,0.09638543,0.060821869,0.030397731,D_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
10,1628866803324,13/08/2021 15:00:03,1628866803257,1,13/08/2021 16:00:03,53563,19,task-te92,,15129083,0zxkemoo,4488838,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.131,1920x1080,1920x968,,Visual Acuity With Height,9,oneFirst,,,,,188,Right,188,Right,188,188,7,1,2,Level1,Zone2,response_text_entry,2682.4000000059605,,,d,1,1,0,0,,,,,1,task,D,,,0.245423324,0.09638543,0.060821869,0.030397731,D_upper_100.png,0.796989776,0.308408222,0.645671671,0.505142378,0.394174745,0.193615993,0.152518711,0.121855537,0.076052114,0.048647352,0.038507161
