Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627234236534,25/07/2021 17:30:36,1627234236414,-4,25/07/2021 13:30:36,53563,19,task-ttz2,,14570374,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627234242179,25/07/2021 17:30:42,1627234242088,-4,25/07/2021 13:30:42,53563,19,task-ttz2,,14570374,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5662.000000000001,,,,,0,1,0,,,,,,instructions
3,1627234242321,25/07/2021 17:30:42,1627234242091,-4,25/07/2021 13:30:42,53563,19,task-ttz2,,14570374,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,5677,,,,,0,1,0,,,,,,
1,1627942363940,02/08/2021 22:12:43,1627942362058,1,02/08/2021 23:12:42,53563,19,task-ttz2,,14784649,9gtkjilx,4404605,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x649,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627942427122,02/08/2021 22:13:47,1627942423480,1,02/08/2021 23:13:43,53563,19,task-ttz2,,14784649,9gtkjilx,4404605,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x649,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,61250.80000000005,,,,,0,1,0,,,,,,instructions
3,1627942428279,02/08/2021 22:13:48,1627942423487,1,02/08/2021 23:13:43,53563,19,task-ttz2,,14784649,9gtkjilx,4404605,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x649,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,61430,,,,,0,1,0,,,,,,
1,1628358988147,07/08/2021 17:56:28,1628358987032,1,07/08/2021 18:56:27,53563,19,task-ttz2,,14947273,mizo6hsv,4447916,,live,,,computer,Desktop or Laptop,Windows 7,Chrome 92.0.4515.131,1366x768,1366x657,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628358998574,07/08/2021 17:56:38,1628358997494,1,07/08/2021 18:56:37,53563,19,task-ttz2,,14947273,mizo6hsv,4447916,,live,,,computer,Desktop or Laptop,Windows 7,Chrome 92.0.4515.131,1366x768,1366x657,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10347.799999999814,,,,,0,1,0,,,,,,instructions
3,1628358998668,07/08/2021 17:56:38,1628358997499,1,07/08/2021 18:56:37,53563,19,task-ttz2,,14947273,mizo6hsv,4447916,,live,,,computer,Desktop or Laptop,Windows 7,Chrome 92.0.4515.131,1366x768,1366x657,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,10467,,,,,0,1,0,,,,,,
1,1628361473485,07/08/2021 18:37:53,1628361470169,1,07/08/2021 19:37:50,53563,19,task-ttz2,,14947788,aabkpjmi,4448050,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x587,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628361499729,07/08/2021 18:38:19,1628361496471,1,07/08/2021 19:38:16,53563,19,task-ttz2,,14947788,aabkpjmi,4448050,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x587,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,26242,,,,,0,1,0,,,,,,instructions
3,1628361499828,07/08/2021 18:38:19,1628361496479,1,07/08/2021 19:38:16,53563,19,task-ttz2,,14947788,aabkpjmi,4448050,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x587,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,26310,,,,,0,1,0,,,,,,
1,1628432168792,08/08/2021 14:16:08,1628432168570,1,08/08/2021 15:16:08,53563,19,task-ttz2,,14953867,lb18lit4,4449717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x789,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628432184039,08/08/2021 14:16:24,1628432183864,1,08/08/2021 15:16:23,53563,19,task-ttz2,,14953867,lb18lit4,4449717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x789,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15267.90000000596,,,,,0,1,0,,,,,,instructions
3,1628432184118,08/08/2021 14:16:24,1628432183866,1,08/08/2021 15:16:23,53563,19,task-ttz2,,14953867,lb18lit4,4449717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 92.0.4515.107,1440x900,1440x789,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,15296,,,,,0,1,0,,,,,,
1,1628497757199,09/08/2021 08:29:17,1628497756143,1,09/08/2021 09:29:16,53563,19,task-ttz2,,14966695,ot56fgiv,4452039,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x768,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628497774659,09/08/2021 08:29:34,1628497773652,1,09/08/2021 09:29:33,53563,19,task-ttz2,,14966695,ot56fgiv,4452039,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x768,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,17432.199999999953,,,,,0,1,0,,,,,,instructions
3,1628497774784,09/08/2021 08:29:34,1628497773663,1,09/08/2021 09:29:33,53563,19,task-ttz2,,14966695,ot56fgiv,4452039,,complete,,,computer,Desktop or Laptop,Chromium OS 13904.97.0,Chrome 91.0.4472.167,1366x768,1366x768,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,17521,,,,,0,1,0,,,,,,
1,1628516943260,09/08/2021 13:49:03,1628516941526,1,09/08/2021 14:49:01,53563,19,task-ttz2,,14991828,degapau0,4454520,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1536x864,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1628516965739,09/08/2021 13:49:25,1628516964051,1,09/08/2021 14:49:24,53563,19,task-ttz2,,14991828,degapau0,4454520,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1536x864,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,22500.699999999255,,,,,0,1,0,,,,,,instructions
3,1628516965849,09/08/2021 13:49:25,1628516964062,1,09/08/2021 14:49:24,53563,19,task-ttz2,,14991828,degapau0,4454520,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1536x864,1536x864,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,22536,,,,,0,1,0,,,,,,
1,1629044165840,15/08/2021 16:16:05,1629044169835,1,15/08/2021 17:16:09,53563,19,task-ttz2,,15152612,e0oqfhcd,4494914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x1080,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1629044173621,15/08/2021 16:16:13,1629044177659,1,15/08/2021 17:16:17,53563,19,task-ttz2,,15152612,e0oqfhcd,4494914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x1080,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7802,,,,,0,1,0,,,,,,instructions
3,1629044173695,15/08/2021 16:16:13,1629044177662,1,15/08/2021 17:16:17,53563,19,task-ttz2,,15152612,e0oqfhcd,4494914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1920x1080,1920x1080,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,7827,,,,,0,1,0,,,,,,
END OF FILE
