Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1627153114672,24/07/2021 18:58:34,1627153160315,1,24/07/2021 19:59:20,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1536x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1627153118378,24/07/2021 18:58:38,1627153164080,1,24/07/2021 19:59:24,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,1,1,1,Screen 1,advancementZone,continue_button,3735.6999999999534,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1627153173458,24/07/2021 18:59:33,1627153219170,1,24/07/2021 20:00:19,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,2,1,1,Screen 1,Zone1,screen_calibration,55078.90000000002,,,Pixels per CM: 45.17188782276578,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1627153173536,24/07/2021 18:59:33,1627153219171,1,24/07/2021 20:00:19,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,2,1,1,Screen 1,Zone1,screen_calibration,55093.531,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1627153178764,24/07/2021 18:59:38,1627153224462,1,24/07/2021 20:00:24,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,3,1,1,Screen 2,advancementZone,continue_button,5219.599999999977,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1627153181450,24/07/2021 18:59:41,1627153227046,1,24/07/2021 20:00:27,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,3,1,2,Screen 1,advancementZone,continue_button,2573,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1627153184589,24/07/2021 18:59:44,1627153230177,1,24/07/2021 20:00:30,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,3,1,3,Screen 3,advancementZone,continue_button,3122.6999999999534,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1627153184996,24/07/2021 18:59:44,1627153230672,1,24/07/2021 20:00:30,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,4,1,1,Screen 1,fixation,fixation,500.57500000001164,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1627153185089,24/07/2021 18:59:45,1627153230715,1,24/07/2021 20:00:30,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,21,1,1,start,script,force_advance,33.33599999999569,,,,,0,1,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
10,1627153189662,24/07/2021 18:59:49,1627153235379,1,24/07/2021 20:00:35,53563,19,task-v321,,14560581,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,Visual Acuity With Height,9,oneFirst,,,,,152,Right,152,Right,152,152,21,1,2,Level1,Zone2,response_text_entry,4656.099999999977,,,u,1,1,0,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
