Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1627144890796,24/07/2021 16:41:30,1627144935664,1,24/07/2021 17:42:15,53563,19,task-w26e,,14558603,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x754,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627145015623,24/07/2021 16:43:35,1627145060527,1,24/07/2021 17:44:20,53563,19,task-w26e,,14558603,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1519x754,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,124823.79999995232,,,,,0,1,0,,,,,,instructions
3,1627145015743,24/07/2021 16:43:35,1627145060535,1,24/07/2021 17:44:20,53563,19,task-w26e,,14558603,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1519x754,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,124871,,,,,0,1,0,,,,,,
1,1627152812772,24/07/2021 18:53:32,1627152858433,1,24/07/2021 19:54:18,53563,19,task-w26e,,14560508,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1536x754,,One eye,12,oneFirst,,,,,152,Right,152,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627152815944,24/07/2021 18:53:35,1627152861665,1,24/07/2021 19:54:21,53563,19,task-w26e,,14560508,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,One eye,12,oneFirst,,,,,152,Right,152,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3196.9000000000233,,,,,0,1,0,,,,,,instructions
3,1627152816024,24/07/2021 18:53:36,1627152861667,1,24/07/2021 19:54:21,53563,19,task-w26e,,14560508,w9l3iqos,4333590,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 92.0.902.55,1536x864,1519x754,,One eye,12,oneFirst,,,,,152,Right,152,Right,Spreadsheet1,,,END TASK,,,,,3234,,,,,0,1,0,,,,,,
1,1627180313649,25/07/2021 02:31:53,1627180313525,-4,24/07/2021 22:31:53,53563,19,task-w26e,,14563910,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x868,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627180384933,25/07/2021 02:33:04,1627180384881,-4,24/07/2021 22:33:04,53563,19,task-w26e,,14563910,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x868,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,71251.69999980927,,,,,0,1,0,,,,,,instructions
3,1627180385067,25/07/2021 02:33:05,1627180384885,-4,24/07/2021 22:33:04,53563,19,task-w26e,,14563910,oj3u7uk0,4334401,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 91.0.4472.124,1680x1050,1680x868,,One eye,12,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,71360,,,,,0,1,0,,,,,,
1,1627233735467,25/07/2021 17:22:15,1627233735334,-4,25/07/2021 13:22:15,53563,19,task-w26e,,14570289,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1627233744213,25/07/2021 17:22:24,1627233744144,-4,25/07/2021 13:22:24,53563,19,task-w26e,,14570289,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8799,,,,,0,1,0,,,,,,instructions
3,1627233744385,25/07/2021 17:22:24,1627233744147,-4,25/07/2021 13:22:24,53563,19,task-w26e,,14570289,1kvxh7q0,4336342,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1792x1120,1790x960,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,8813,,,,,0,1,0,,,,,,
