Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1633943218996,11/10/2021 09:06:58,1633943219326,1,11/10/2021 10:06:59,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1633943221984,11/10/2021 09:07:01,1633943222242,1,11/10/2021 10:07:02,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,1,1,1,Screen 1,advancementZone,continue_button,2888.5,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1633943239886,11/10/2021 09:07:19,1633943240280,1,11/10/2021 10:07:20,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,2,1,1,Screen 1,Zone1,screen_calibration,18033.30000001192,,,Pixels per CM: 41.24074163847462,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1633943239948,11/10/2021 09:07:19,1633943240282,1,11/10/2021 10:07:20,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,2,1,1,Screen 1,Zone1,screen_calibration,18033.805,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1633943241233,11/10/2021 09:07:21,1633943241638,1,11/10/2021 10:07:21,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,3,1,1,Screen 2,advancementZone,continue_button,1313.9000000059605,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1633943242004,11/10/2021 09:07:22,1633943242393,1,11/10/2021 10:07:22,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,3,1,2,Screen 1,advancementZone,continue_button,749,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1633943242556,11/10/2021 09:07:22,1633943242959,1,11/10/2021 10:07:22,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,3,1,3,Screen 3,advancementZone,continue_button,559.5,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1633943243038,11/10/2021 09:07:23,1633943243453,1,11/10/2021 10:07:23,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,4,1,1,Screen 1,fixation,fixation,499.7479999999996,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1633943243112,11/10/2021 09:07:23,1633943243481,1,11/10/2021 10:07:23,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,13,1,1,start,script,force_advance,16.51299999999901,,,,,0,1,0,,,,,1,task,N,,,0.21931446,0.086131661,0.054351457,0.02716393,N_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
10,1633943244381,11/10/2021 09:07:24,1633943244788,1,11/10/2021 10:07:24,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,13,1,2,Level1,Zone2,response_text_entry,1297.5999999940395,,,N,1,1,0,0,,,,,1,task,N,,,0.21931446,0.086131661,0.054351457,0.02716393,N_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
11,1633943244444,11/10/2021 09:07:24,1633943244792,1,11/10/2021 10:07:24,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,13,1,17,end,advancementZone,timelimit_screen,16.566000000002532,,,,,0,1,0,,,1,,1,task,N,,,0.21931446,0.086131661,0.054351457,0.02716393,N_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
12,1633943244881,11/10/2021 09:07:24,1633943245286,1,11/10/2021 10:07:25,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,6,2,1,Screen 1,fixation,fixation,500.2659999999996,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1633943244944,11/10/2021 09:07:24,1633943245310,1,11/10/2021 10:07:25,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,17,2,1,start,script,force_advance,16.346999999997934,,,,,0,1,0,,,,,1,task,R,,,0.21931446,0.086131661,0.054351457,0.02716393,R_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
14,1633943246055,11/10/2021 09:07:26,1633943246471,1,11/10/2021 10:07:26,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,17,2,3,Level2,Zone2,response_text_entry,1153.9000000059605,,,R,1,1,0,0,,,,,1,task,R,,,0.21931446,0.086131661,0.054351457,0.02716393,R_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
15,1633943246117,11/10/2021 09:07:26,1633943246474,1,11/10/2021 10:07:26,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,17,2,17,end,advancementZone,timelimit_screen,16.44300000000294,,,,,0,1,0,,,1,,1,task,R,,,0.21931446,0.086131661,0.054351457,0.02716393,R_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
16,1633943246555,11/10/2021 09:07:26,1633943246969,1,11/10/2021 10:07:26,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,8,3,1,Screen 1,fixation,fixation,500.23799999999756,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
17,1633943246618,11/10/2021 09:07:26,1633943246991,1,11/10/2021 10:07:26,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,11,3,1,start,script,force_advance,16.345000000001164,,,,,0,1,0,,,,,1,task,K,,,0.21931446,0.086131661,0.054351457,0.02716393,K_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
18,1633943247853,11/10/2021 09:07:27,1633943248257,1,11/10/2021 10:07:28,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,11,3,4,Level3,Zone2,response_text_entry,1260.5999999940395,,,K,1,1,0,0,,,,,1,task,K,,,0.21931446,0.086131661,0.054351457,0.02716393,K_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
19,1633943247925,11/10/2021 09:07:27,1633943248269,1,11/10/2021 10:07:28,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,11,3,17,end,advancementZone,timelimit_screen,16.677999999999884,,,,,0,1,0,,,1,,1,task,K,,,0.21931446,0.086131661,0.054351457,0.02716393,K_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
20,1633943248353,11/10/2021 09:07:28,1633943248769,1,11/10/2021 10:07:28,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,10,4,1,Screen 1,fixation,fixation,499.8809999999976,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
21,1633943248425,11/10/2021 09:07:28,1633943248793,1,11/10/2021 10:07:28,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,9,4,1,start,script,force_advance,16.406000000002678,,,,,0,1,0,,,,,1,task,H,,,0.21931446,0.086131661,0.054351457,0.02716393,H_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
22,1633943249707,11/10/2021 09:07:29,1633943250104,1,11/10/2021 10:07:30,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,9,4,5,Level4,Zone2,response_text_entry,1304.7999999821186,,,H,1,1,0,0,,,,,1,task,H,,,0.21931446,0.086131661,0.054351457,0.02716393,H_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
23,1633943249962,11/10/2021 09:07:29,1633943250112,1,11/10/2021 10:07:30,53563,20,task-1dcg,,16291857,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Visual Acuity With Height,9,oneFirst,,,,,168,Right,168,Right,168,168,9,4,17,end,advancementZone,timelimit_screen,16.498999999999796,,,,,0,1,0,,,1,,1,task,H,,,0.21931446,0.086131661,0.054351457,0.02716393,H_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
