Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1632064883704,19/09/2021 15:21:23,1632064882988,1,19/09/2021 16:21:22,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1632064887814,19/09/2021 15:21:27,1632064887174,1,19/09/2021 16:21:27,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4154.4000000003725,,,,,0,1,0,,,,,,Instructions,,,
3,1632064888283,19/09/2021 15:21:28,1632064887618,1,19/09/2021 16:21:27,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 2,fixation,fixation,449.71500000000015,,,,,0,1,0,,,,,1,Task,Image1.PNG,1,
4,1632064922324,19/09/2021 15:22:02,1632064921679,1,19/09/2021 16:22:01,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,click_painting,34045.800000000745,,,click,1,0,1,0,490,118,,,1,Task,Image1.PNG,1,
5,1632064922590,19/09/2021 15:22:02,1632064921923,1,19/09/2021 16:22:01,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,click_painting,34288.90000000037,,,click limit reached,1,0,1,0,,,,,1,Task,Image1.PNG,1,
6,1632064923013,19/09/2021 15:22:03,1632064922372,1,19/09/2021 16:22:02,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,5,2,1,Screen 2,fixation,fixation,449.8470000000016,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
7,1632064925628,19/09/2021 15:22:05,1632064924982,1,19/09/2021 16:22:04,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,5,2,2,Screen 1,advancementZone,click_painting,2604.300000000745,,,click,1,0,1,0,481,92,,,1,Task,Image4.PNG,1,
8,1632064925893,19/09/2021 15:22:05,1632064925221,1,19/09/2021 16:22:05,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,5,2,2,Screen 1,advancementZone,click_painting,2843.4000000003725,,,click limit reached,1,0,1,0,,,,,1,Task,Image4.PNG,1,
9,1632064926315,19/09/2021 15:22:06,1632064925671,1,19/09/2021 16:22:05,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,3,3,1,Screen 2,fixation,fixation,449.84100000000035,,,,,0,1,0,,,,,1,Task,Image2.PNG,1,
10,1632064945874,19/09/2021 15:22:25,1632064945230,1,19/09/2021 16:22:25,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,3,3,2,Screen 1,advancementZone,click_painting,19553.700000001118,,,click,1,0,1,0,159,210,,,1,Task,Image2.PNG,1,
11,1632064946093,19/09/2021 15:22:26,1632064945464,1,19/09/2021 16:22:25,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,3,3,2,Screen 1,advancementZone,click_painting,19787,,,click limit reached,1,0,1,0,,,,,1,Task,Image2.PNG,1,
12,1632064946549,19/09/2021 15:22:26,1632064945914,1,19/09/2021 16:22:25,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,4,4,1,Screen 2,fixation,fixation,449.8729999999996,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
13,1632064950633,19/09/2021 15:22:30,1632064949982,1,19/09/2021 16:22:29,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,4,4,2,Screen 1,advancementZone,click_painting,4065.300000000745,,,click,1,0,1,0,609,248,,,1,Task,Image3.PNG,1,
14,1632064950874,19/09/2021 15:22:30,1632064950229,1,19/09/2021 16:22:30,53563,20,task-9zzh,,15849245,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,4,4,2,Screen 1,advancementZone,click_painting,4312.4000000003725,,,click limit reached,1,0,1,0,,,,,1,Task,Image3.PNG,1,
