Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1633943457275,11/10/2021 09:10:57,1633943457630,1,11/10/2021 10:10:57,53563,20,task-ccwd,,16292007,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Both eyes,6,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1633943461850,11/10/2021 09:11:01,1633943462227,1,11/10/2021 10:11:02,53563,20,task-ccwd,,16292007,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Both eyes,6,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4577.5,,,,,0,1,0,,,,,,instructions
3,1633943462366,11/10/2021 09:11:02,1633943462230,1,11/10/2021 10:11:02,53563,20,task-ccwd,,16292007,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Both eyes,6,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,4600,,,,,0,1,0,,,,,,
1,1636898560165,14/11/2021 14:02:40,1636898570265,0,14/11/2021 14:02:50,53563,20,task-ccwd,,17143901,BLIND,5063232,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1536x864,1536x754,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1636898563385,14/11/2021 14:02:43,1636898573529,0,14/11/2021 14:02:53,53563,20,task-ccwd,,17143901,BLIND,5063232,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1536x864,1519x754,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3202.3000000002794,,,,,0,1,0,,,,,,instructions
3,1636898563483,14/11/2021 14:02:43,1636898573533,0,14/11/2021 14:02:53,53563,20,task-ccwd,,17143901,BLIND,5063232,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1536x864,1519x754,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,3268,,,,,0,1,0,,,,,,
1,1637574620731,22/11/2021 09:50:20,1637574620716,0,22/11/2021 09:50:20,53563,20,task-ccwd,,17366361,BLIND,5123950,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1600x900,1600x757,,Both eyes,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1637574630860,22/11/2021 09:50:30,1637574630909,0,22/11/2021 09:50:30,53563,20,task-ccwd,,17366361,BLIND,5123950,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1600x900,1600x757,,Both eyes,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10149.899999999441,,,,,0,1,0,,,,,,instructions
3,1637574631000,22/11/2021 09:50:31,1637574630912,0,22/11/2021 09:50:30,53563,20,task-ccwd,,17366361,BLIND,5123950,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1600x900,1600x757,,Both eyes,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,10196,,,,,0,1,0,,,,,,
1,1637601750977,22/11/2021 17:22:30,1637601750816,0,22/11/2021 17:22:30,53563,20,task-ccwd,,17381602,BLIND,5128386,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.29,1536x864,1536x722,,Both eyes,6,oneFirst,,,,,173,Right,173,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1637601763354,22/11/2021 17:22:43,1637601763262,0,22/11/2021 17:22:43,53563,20,task-ccwd,,17381602,BLIND,5128386,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.29,1536x864,1519x722,,Both eyes,6,oneFirst,,,,,173,Right,173,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12403,,,,,0,1,0,,,,,,instructions
3,1637601763524,22/11/2021 17:22:43,1637601763267,0,22/11/2021 17:22:43,53563,20,task-ccwd,,17381602,BLIND,5128386,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.29,1536x864,1519x722,,Both eyes,6,oneFirst,,,,,173,Right,173,Right,Spreadsheet1,,,END TASK,,,,,12451,,,,,0,1,0,,,,,,
END OF FILE
