Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1632063979441,19/09/2021 15:06:19,1632063978732,1,19/09/2021 16:06:18,53563,20,task-cm8w,,15848997,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Eye instructions 2,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1632064049992,19/09/2021 15:07:29,1632064049345,1,19/09/2021 16:07:29,53563,20,task-cm8w,,15848997,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Eye instructions 2,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,70582.60000000149,,,,,0,1,0,,,,,,instructions
3,1632064050068,19/09/2021 15:07:30,1632064049348,1,19/09/2021 16:07:29,53563,20,task-cm8w,,15848997,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Eye instructions 2,6,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,70616,,,,,0,1,0,,,,,,
1,1634209081831,14/10/2021 10:58:01,1634209081716,1,14/10/2021 11:58:01,53563,20,task-cm8w,,16377975,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Eye instructions 2,6,bothFirst,152,Right,152,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1634209097233,14/10/2021 10:58:17,1634209097056,1,14/10/2021 11:58:17,53563,20,task-cm8w,,16377975,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Eye instructions 2,6,bothFirst,152,Right,152,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15312,,,,,0,1,0,,,,,,instructions
3,1634209097389,14/10/2021 10:58:17,1634209097064,1,14/10/2021 11:58:17,53563,20,task-cm8w,,16377975,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Eye instructions 2,6,bothFirst,152,Right,152,Right,,,,,Spreadsheet1,,,END TASK,,,,,15348,,,,,0,1,0,,,,,,
1,1637528984146,21/11/2021 21:09:44,1637528984020,0,21/11/2021 21:09:44,53563,20,task-cm8w,,17360948,BLIND,5122499,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x854,1280x711,,Eye instructions 2,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1637528998108,21/11/2021 21:09:58,1637528998035,0,21/11/2021 21:09:58,53563,20,task-cm8w,,17360948,BLIND,5122499,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x854,1280x711,,Eye instructions 2,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,13982.199999928474,,,,,0,1,0,,,,,,instructions
3,1637528998316,21/11/2021 21:09:58,1637528998038,0,21/11/2021 21:09:58,53563,20,task-cm8w,,17360948,BLIND,5122499,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x854,1280x711,,Eye instructions 2,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,14018,,,,,0,1,0,,,,,,
END OF FILE
