Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1633943202503,11/10/2021 09:06:42,1633943202842,1,11/10/2021 10:06:42,53563,20,task-gnow,,16291844,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Both eyes,6,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1633943217949,11/10/2021 09:06:57,1633943218355,1,11/10/2021 10:06:58,53563,20,task-gnow,,16291844,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Both eyes,6,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15480.90000000596,,,,,0,1,0,,,,,,instructions
3,1633943218027,11/10/2021 09:06:58,1633943218357,1,11/10/2021 10:06:58,53563,20,task-gnow,,16291844,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Both eyes,6,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,15515,,,,,0,1,0,,,,,,
1,1636898136364,14/11/2021 13:55:36,1636898146447,0,14/11/2021 13:55:46,53563,20,task-gnow,,17143784,BLIND,5063232,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1536x864,1536x754,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1636898143033,14/11/2021 13:55:43,1636898153192,0,14/11/2021 13:55:53,53563,20,task-gnow,,17143784,BLIND,5063232,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1536x864,1519x754,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6693.0999999996275,,,,,0,1,0,,,,,,instructions
3,1636898143113,14/11/2021 13:55:43,1636898153195,0,14/11/2021 13:55:53,53563,20,task-gnow,,17143784,BLIND,5063232,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1536x864,1519x754,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,6748,,,,,0,1,0,,,,,,
1,1637574059292,22/11/2021 09:40:59,1637574059297,0,22/11/2021 09:40:59,53563,20,task-gnow,,17366235,BLIND,5123950,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1600x900,1600x757,,Both eyes,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1637574084168,22/11/2021 09:41:24,1637574084172,0,22/11/2021 09:41:24,53563,20,task-gnow,,17366235,BLIND,5123950,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1600x900,1600x757,,Both eyes,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,24845,,,,,0,1,0,,,,,,instructions
3,1637574084299,22/11/2021 09:41:24,1637574084175,0,22/11/2021 09:41:24,53563,20,task-gnow,,17366235,BLIND,5123950,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1600x900,1600x757,,Both eyes,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,24878,,,,,0,1,0,,,,,,
1,1637601407474,22/11/2021 17:16:47,1637601407307,0,22/11/2021 17:16:47,53563,20,task-gnow,,17381460,BLIND,5128386,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.29,1536x864,1536x722,,Both eyes,6,oneFirst,,,,,173,Right,173,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1637601408739,22/11/2021 17:16:48,1637601408610,0,22/11/2021 17:16:48,53563,20,task-gnow,,17381460,BLIND,5128386,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.29,1536x864,1519x722,,Both eyes,6,oneFirst,,,,,173,Right,173,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1249.3000000044703,,,,,0,1,0,,,,,,instructions
3,1637601408871,22/11/2021 17:16:48,1637601408619,0,22/11/2021 17:16:48,53563,20,task-gnow,,17381460,BLIND,5128386,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.29,1536x864,1519x722,,Both eyes,6,oneFirst,,,,,173,Right,173,Right,Spreadsheet1,,,END TASK,,,,,1312,,,,,0,1,0,,,,,,
END OF FILE
