Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1632063333181,19/09/2021 14:55:33,1632063332465,1,19/09/2021 15:55:32,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1632063344237,19/09/2021 14:55:44,1632063343584,1,19/09/2021 15:55:43,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,1,1,1,Screen 1,advancementZone,continue_button,11063,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1632063376127,19/09/2021 14:56:16,1632063375487,1,19/09/2021 15:56:15,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,2,1,1,Screen 1,Zone1,screen_calibration,31896.799999999814,,,Pixels per CM: 38.29843088302002,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1632063376210,19/09/2021 14:56:16,1632063375488,1,19/09/2021 15:56:15,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,2,1,1,Screen 1,Zone1,screen_calibration,31906.146,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1632063383877,19/09/2021 14:56:23,1632063383239,1,19/09/2021 15:56:23,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,3,1,1,Screen 2,advancementZone,continue_button,7716.5999999996275,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1632063393031,19/09/2021 14:56:33,1632063392358,1,19/09/2021 15:56:32,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,3,1,2,Screen 1,advancementZone,continue_button,9114.900000000373,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1632063396994,19/09/2021 14:56:36,1632063396350,1,19/09/2021 15:56:36,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,3,1,3,Screen 3,advancementZone,continue_button,3988.399999999441,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1632063397492,19/09/2021 14:56:37,1632063396840,1,19/09/2021 15:56:36,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,4,1,1,Screen 1,fixation,fixation,499.75099999999657,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1632063397561,19/09/2021 14:56:37,1632063396863,1,19/09/2021 15:56:36,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,11,1,1,start,script,force_advance,16.510000000002037,,,,,0,1,0,,,,,1,task,K,,,0.21931446,0.086131661,0.054351457,0.02716393,K_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
10,1632063401206,19/09/2021 14:56:41,1632063400548,1,19/09/2021 15:56:40,53563,20,task-i4cd,,15848778,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,11,1,2,Level1,Zone2,response_text_entry,3677,,,k,1,1,0,0,,,,,1,task,K,,,0.21931446,0.086131661,0.054351457,0.02716393,K_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
