Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1632064051005,19/09/2021 15:07:31,1632064050314,1,19/09/2021 16:07:30,53563,20,task-igj1,,15849017,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1632064057525,19/09/2021 15:07:37,1632064056863,1,19/09/2021 16:07:36,53563,20,task-igj1,,15849017,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6518.9000000003725,,,,,0,1,0,,,,,,instructions
3,1632064057588,19/09/2021 15:07:37,1632064056866,1,19/09/2021 16:07:36,53563,20,task-igj1,,15849017,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,One eye,12,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,6551,,,,,0,1,0,,,,,,
1,1634209099000,14/10/2021 10:58:19,1634209098867,1,14/10/2021 11:58:18,53563,20,task-igj1,,16377995,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,One eye,12,bothFirst,152,Right,152,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1634209114350,14/10/2021 10:58:34,1634209114248,1,14/10/2021 11:58:34,53563,20,task-igj1,,16377995,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,One eye,12,bothFirst,152,Right,152,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15358.000000000002,,,,,0,1,0,,,,,,instructions
3,1634209114508,14/10/2021 10:58:34,1634209114252,1,14/10/2021 11:58:34,53563,20,task-igj1,,16377995,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,One eye,12,bothFirst,152,Right,152,Right,,,,,Spreadsheet1,,,END TASK,,,,,15385,,,,,0,1,0,,,,,,
1,1637528999887,21/11/2021 21:09:59,1637528999720,0,21/11/2021 21:09:59,53563,20,task-igj1,,17360952,BLIND,5122499,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x854,1280x711,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1637529175122,21/11/2021 21:12:55,1637529174682,0,21/11/2021 21:12:54,53563,20,task-igj1,,17360952,BLIND,5122499,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x854,1280x711,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,174925.69999992847,,,,,0,1,0,,,,,,instructions
3,1637529175200,21/11/2021 21:12:55,1637529174685,0,21/11/2021 21:12:54,53563,20,task-igj1,,17360952,BLIND,5122499,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1280x854,1280x711,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,174965,,,,,0,1,0,,,,,,
END OF FILE
