Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1632062791568,19/09/2021 14:46:31,1632062790870,1,19/09/2021 15:46:30,53563,20,task-ptdz,,15848503,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Eye dominance,4,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1632062796495,19/09/2021 14:46:36,1632062795854,1,19/09/2021 15:46:35,53563,20,task-ptdz,,15848503,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Eye dominance,4,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4940.9000000003725,,,,,0,1,0,,,,,,intro,
3,1632062841569,19/09/2021 14:47:21,1632062840927,1,19/09/2021 15:47:20,53563,20,task-ptdz,,15848503,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Eye dominance,4,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,45064.90000000037,,,,,0,1,0,,,,,,video,
4,1632062880731,19/09/2021 14:48:00,1632062880071,1,19/09/2021 15:48:00,53563,20,task-ptdz,,15848503,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Eye dominance,4,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,39137.39999999944,,,,,0,1,0,,,,,,instructions,
5,1632062882748,19/09/2021 14:48:02,1632062882103,1,19/09/2021 15:48:02,53563,20,task-ptdz,,15848503,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Eye dominance,4,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,2025.0999999996275,,,Right,1,0,1,0,,,,,,response,
6,1632062882838,19/09/2021 14:48:02,1632062882106,1,19/09/2021 15:48:02,53563,20,task-ptdz,,15848503,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x881,,Eye dominance,4,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,END TASK,,,,,91236,,,,,0,1,0,,,,,,,
1,1633942139970,11/10/2021 08:48:59,1633942140257,1,11/10/2021 09:49:00,53563,20,task-ptdz,,16291396,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Eye dominance,4,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1633942144485,11/10/2021 08:49:04,1633942144893,1,11/10/2021 09:49:04,53563,20,task-ptdz,,16291396,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Eye dominance,4,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4586.899999976158,,,,,0,1,0,,,,,,intro,
3,1633942218175,11/10/2021 08:50:18,1633942218571,1,11/10/2021 09:50:18,53563,20,task-ptdz,,16291396,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Eye dominance,4,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,73671.40000000596,,,,,0,1,0,,,,,,video,
4,1633942227886,11/10/2021 08:50:27,1633942228281,1,11/10/2021 09:50:28,53563,20,task-ptdz,,16291396,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Eye dominance,4,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,9687.399999976158,,,,,0,1,0,,,,,,instructions,
5,1633942229730,11/10/2021 08:50:29,1633942230135,1,11/10/2021 09:50:30,53563,20,task-ptdz,,16291396,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Eye dominance,4,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,1843.5,,,Left,1,0,1,0,,,,,,response,
6,1633942229796,11/10/2021 08:50:29,1633942230141,1,11/10/2021 09:50:30,53563,20,task-ptdz,,16291396,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Eye dominance,4,oneFirst,,,,,168,Right,168,Right,Spreadsheet1,,,END TASK,,,,,89884,,,,,0,1,0,,,,,,,
