Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1632063890346,19/09/2021 15:04:50,1632063889656,1,19/09/2021 16:04:49,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1632063897510,19/09/2021 15:04:57,1632063896847,1,19/09/2021 16:04:56,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7161.5999999996275,,,,,0,1,0,,,,,,Instructions,,,
3,1632063897930,19/09/2021 15:04:57,1632063897293,1,19/09/2021 16:04:57,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 2,fixation,fixation,449.7609999999995,,,,,0,1,0,,,,,1,Task,Image1.PNG,1,
4,1632063914490,19/09/2021 15:05:14,1632063913824,1,19/09/2021 16:05:13,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,click_painting,16520.900000000373,,,click,1,0,1,0,489,123,,,1,Task,Image1.PNG,1,
5,1632063914711,19/09/2021 15:05:14,1632063914070,1,19/09/2021 16:05:14,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,2,Screen 1,advancementZone,click_painting,16766.60000000056,,,click limit reached,1,0,1,0,,,,,1,Task,Image1.PNG,1,
6,1632063915209,19/09/2021 15:05:15,1632063914520,1,19/09/2021 16:05:14,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,5,2,1,Screen 2,fixation,fixation,449.83599999999933,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
7,1632063917361,19/09/2021 15:05:17,1632063916655,1,19/09/2021 16:05:16,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,5,2,2,Screen 1,advancementZone,click_painting,2131.199999999255,,,click,1,0,1,0,475,91,,,1,Task,Image4.PNG,1,
8,1632063917564,19/09/2021 15:05:17,1632063916903,1,19/09/2021 16:05:16,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,5,2,2,Screen 1,advancementZone,click_painting,2379.5999999996275,,,click limit reached,1,0,1,0,,,,,1,Task,Image4.PNG,1,
9,1632063918003,19/09/2021 15:05:18,1632063917353,1,19/09/2021 16:05:17,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,3,3,1,Screen 2,fixation,fixation,449.8640000000014,,,,,0,1,0,,,,,1,Task,Image2.PNG,1,
10,1632063924202,19/09/2021 15:05:24,1632063923550,1,19/09/2021 16:05:23,53563,20,task-xa72,,15848980,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Search Click on Location,9,bothFirst,168,Right,168,Right,,,,,Spreadsheet1,Spreadsheet1,3,3,2,Screen 1,advancementZone,click_painting,6191.0999999996275,,,click,1,0,1,0,160,215,,,1,Task,Image2.PNG,1,
