Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1634208291229,14/10/2021 10:44:51,1634208291154,1,14/10/2021 11:44:51,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1634208299945,14/10/2021 10:44:59,1634208299931,1,14/10/2021 11:44:59,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,1,1,1,Screen 1,advancementZone,continue_button,8729,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1634208318145,14/10/2021 10:45:18,1634208318099,1,14/10/2021 11:45:18,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,2,1,1,Screen 1,Zone1,screen_calibration,18153,,,Pixels per CM: 51.05650933367498,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1634208318206,14/10/2021 10:45:18,1634208318104,1,14/10/2021 11:45:18,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,2,1,1,Screen 1,Zone1,screen_calibration,18170,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1634208324657,14/10/2021 10:45:24,1634208324624,1,14/10/2021 11:45:24,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,3,1,1,Screen 2,advancementZone,continue_button,6474.000000000007,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1634208335639,14/10/2021 10:45:35,1634208335623,1,14/10/2021 11:45:35,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,3,1,2,Screen 1,advancementZone,continue_button,10986,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1634208339187,14/10/2021 10:45:39,1634208339042,1,14/10/2021 11:45:39,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,3,1,3,Screen 3,advancementZone,continue_button,3407,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1634208339725,14/10/2021 10:45:39,1634208339524,1,14/10/2021 11:45:39,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,4,1,1,Screen 1,fixation,fixation,492,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1634208339850,14/10/2021 10:45:39,1634208339572,1,14/10/2021 11:45:39,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,15,1,1,start,script,force_advance,3,,,,,0,1,0,,,,,1,task,O,,,0.198427369,0.077928646,0.049175128,0.024576889,O_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
10,1634208340925,14/10/2021 10:45:40,1634208340895,1,14/10/2021 11:45:40,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,15,1,2,Level1,Zone2,response_text_entry,1317,,,o,1,1,0,0,,,,,1,task,O,,,0.198427369,0.077928646,0.049175128,0.024576889,O_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
11,1634208340987,14/10/2021 10:45:40,1634208340905,1,14/10/2021 11:45:40,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,15,1,17,end,advancementZone,timelimit_screen,18,,,,,0,1,0,,,1,,1,task,O,,,0.198427369,0.077928646,0.049175128,0.024576889,O_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
12,1634208341443,14/10/2021 10:45:41,1634208341411,1,14/10/2021 11:45:41,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,6,2,1,Screen 1,fixation,fixation,505,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
13,1634208341533,14/10/2021 10:45:41,1634208341455,1,14/10/2021 11:45:41,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,7,2,1,start,script,force_advance,4,,,,,0,1,0,,,,,1,task,D,,,0.198427369,0.077928646,0.049175128,0.024576889,D_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
14,1634208342505,14/10/2021 10:45:42,1634208342457,1,14/10/2021 11:45:42,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,7,2,3,Level2,Zone2,response_text_entry,995,,,d,1,1,0,0,,,,,1,task,D,,,0.198427369,0.077928646,0.049175128,0.024576889,D_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
15,1634208342565,14/10/2021 10:45:42,1634208342466,1,14/10/2021 11:45:42,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,7,2,17,end,advancementZone,timelimit_screen,22,,,,,0,1,0,,,1,,1,task,D,,,0.198427369,0.077928646,0.049175128,0.024576889,D_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
16,1634208342990,14/10/2021 10:45:42,1634208342966,1,14/10/2021 11:45:42,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,8,3,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
17,1634208343081,14/10/2021 10:45:43,1634208343008,1,14/10/2021 11:45:43,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,21,3,1,start,script,force_advance,42,,,,,0,1,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
18,1634208343971,14/10/2021 10:45:43,1634208343942,1,14/10/2021 11:45:43,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,21,3,4,Level3,Zone2,response_text_entry,927.9999999999927,,,u,1,1,0,0,,,,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
19,1634208344031,14/10/2021 10:45:44,1634208343950,1,14/10/2021 11:45:43,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,21,3,17,end,advancementZone,timelimit_screen,16,,,,,0,1,0,,,1,,1,task,U,,,0.198427369,0.077928646,0.049175128,0.024576889,U_upper_100.png,0.644374713,0.249351329,0.522032415,0.408412987,0.318694474,0.15654059,0.123313,0.098521498,0.061488943,0.039331902,0.031133449
20,1634208344500,14/10/2021 10:45:44,1634208344456,1,14/10/2021 11:45:44,53563,20,task-xddp,,16377693,BLIND,4848619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1440x848,,Visual Acuity With Height,9,bothFirst,152,Right,152,Right,,,,,152,152,10,4,1,Screen 1,fixation,fixation,506,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
