Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1632064058544,19/09/2021 15:07:38,1632064057860,1,19/09/2021 16:07:37,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1632064064593,19/09/2021 15:07:44,1632064063927,1,19/09/2021 16:07:43,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,1,1,1,Screen 1,advancementZone,continue_button,6048.4000000003725,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1632064080085,19/09/2021 15:08:00,1632064079432,1,19/09/2021 16:07:59,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,2,1,1,Screen 1,Zone1,screen_calibration,15498.199999999255,,,Pixels per CM: 39.58934253946599,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1632064080164,19/09/2021 15:08:00,1632064079433,1,19/09/2021 16:07:59,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,2,1,1,Screen 1,Zone1,screen_calibration,15494.953000000001,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1632064090049,19/09/2021 15:08:10,1632064089398,1,19/09/2021 16:08:09,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,3,1,1,Screen 2,advancementZone,continue_button,9922.099999999627,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1632064100669,19/09/2021 15:08:20,1632064099975,1,19/09/2021 16:08:19,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,3,1,2,Screen 1,advancementZone,continue_button,10571.299999998882,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1632064105945,19/09/2021 15:08:25,1632064105302,1,19/09/2021 16:08:25,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,3,1,3,Screen 3,advancementZone,continue_button,5322.699999999255,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1632064106437,19/09/2021 15:08:26,1632064105790,1,19/09/2021 16:08:25,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,4,1,1,Screen 1,fixation,fixation,499.7960000000021,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1632064106510,19/09/2021 15:08:26,1632064105811,1,19/09/2021 16:08:25,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,21,1,1,start,script,force_advance,16.463999999999942,,,,,0,1,0,,,,,1,task,U,,,0.21931446,0.086131661,0.054351457,0.02716393,U_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
10,1632064110607,19/09/2021 15:08:30,1632064109956,1,19/09/2021 16:08:29,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,21,1,2,Level1,Zone2,response_text_entry,4137.800000000745,,,u,1,1,0,0,,,,,1,task,U,,,0.21931446,0.086131661,0.054351457,0.02716393,U_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
11,1632064110685,19/09/2021 15:08:30,1632064109962,1,19/09/2021 16:08:29,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,21,1,17,end,advancementZone,timelimit_screen,16.408000000003085,,,,,0,1,0,,,1,,1,task,U,,,0.21931446,0.086131661,0.054351457,0.02716393,U_upper_100.png,0.71220363,0.275598837,0.576983195,0.451403827,0.352241261,0.173018547,0.136293316,0.108892182,0.067961464,0.043472102,0.034410655
12,1632064111107,19/09/2021 15:08:31,1632064110456,1,19/09/2021 16:08:30,53563,20,task-z7iw,,15849022,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Visual Acuity With Height,9,bothFirst,168,Right,168,Right,,,,,168,168,6,2,1,Screen 1,fixation,fixation,500.0509999999995,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
