Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1641065925512,01/01/2022 19:38:45,1641065984764,0,01/01/2022 19:39:44,53563,21,questionnaire-ht7m,,18257078,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Information sheet and consent ,11,oneFirst,,,,,157,Right,157,Right,No,2949
1,1642798784602,21/01/2022 20:59:44,1642797704723,0,21/01/2022 20:41:44,53563,21,questionnaire-ht7m,,18744372,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Information sheet and consent ,11,bothFirst,157,Right,157,Right,,,,,No,57738
1,1642444593484,17/01/2022 18:36:33,1642444593362,0,17/01/2022 18:36:33,53563,21,questionnaire-ht7m,,18574870,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Information sheet and consent ,11,bothFirst,163,Right,163,Right,,,,,No,39236
1,1642073800280,13/01/2022 11:36:40,1642073799670,0,13/01/2022 11:36:39,53563,21,questionnaire-ht7m,,18488297,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Information sheet and consent ,11,oneFirst,,,,,163,Right,163,Right,No,220653
1,1641142775926,02/01/2022 16:59:35,1641142776021,0,02/01/2022 16:59:36,53563,21,questionnaire-ht7m,,18261386,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,Information sheet and consent ,11,bothFirst,178,Right,178,Right,,,,,No,4499
1,1641121391572,02/01/2022 11:03:11,1641121392834,0,02/01/2022 11:03:12,53563,21,questionnaire-ht7m,,18258916,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Information sheet and consent ,11,bothFirst,163,Right,163,Right,,,,,No,30416
1,1641050359739,01/01/2022 15:19:19,1641050359609,0,01/01/2022 15:19:19,53563,21,questionnaire-ht7m,,18255894,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x601,,Information sheet and consent ,11,bothFirst,178,Right,178,Right,,,,,No,4037
1,1640816186652,29/12/2021 22:16:26,1640816185935,0,29/12/2021 22:16:25,53563,21,questionnaire-ht7m,,18241142,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Information sheet and consent ,11,oneFirst,,,,,183,Right,183,Right,No,5150
1,1640795045895,29/12/2021 16:24:05,1640795045666,0,29/12/2021 16:24:05,53563,21,questionnaire-ht7m,,18238232,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,698x717,,Information sheet and consent ,11,bothFirst,163,Right,163,Right,,,,,No,45918
1,1640781704441,29/12/2021 12:41:44,1640781704255,0,29/12/2021 12:41:44,53563,21,questionnaire-ht7m,,18235496,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1536x746,,Information sheet and consent ,11,bothFirst,157,Right,157,Right,,,,,No,38090
1,1640089518857,21/12/2021 12:25:18,1640089518597,0,21/12/2021 12:25:18,53563,21,questionnaire-ht7m,,18166779,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1780x940,,Information sheet and consent ,11,oneFirst,,,,,183,Right,183,Right,No,29029
1,1638391489467,01/12/2021 20:44:49,1638391489603,0,01/12/2021 20:44:49,53563,21,questionnaire-ht7m,,17640319,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Information sheet and consent ,11,bothFirst,157,Right,157,Right,,,,,No,5085
1,1638300958983,30/11/2021 19:35:58,1638300957738,0,30/11/2021 19:35:57,53563,21,questionnaire-ht7m,,17602123,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,Information sheet and consent ,11,bothFirst,163,Right,163,Right,,,,,No,87896
1,1638276874126,30/11/2021 12:54:34,1638276873856,0,30/11/2021 12:54:33,53563,21,questionnaire-ht7m,,17587300,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Information sheet and consent ,11,oneFirst,,,,,178,Right,178,Right,No,13270
1,1638204104201,29/11/2021 16:41:44,1638204103781,0,29/11/2021 16:41:43,53563,21,questionnaire-ht7m,,17563831,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Information sheet and consent ,11,bothFirst,183,Right,183,Right,,,,,No,22574
1,1638197920567,29/11/2021 14:58:40,1638197918133,0,29/11/2021 14:58:38,53563,21,questionnaire-ht7m,,17560869,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1126x952,,Information sheet and consent ,11,oneFirst,,,,,163,Right,163,Right,No,154346
END OF FILE
