Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1638392794422,01/12/2021 21:06:34,1638392794507,0,01/12/2021 21:06:34,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1638392798133,01/12/2021 21:06:38,1638392797379,0,01/12/2021 21:06:37,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,1,1,1,Screen 1,advancementZone,continue_button,2791.9000000953674,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1638392821112,01/12/2021 21:07:01,1638392819184,0,01/12/2021 21:06:59,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,2,1,1,Screen 1,Zone1,screen_calibration,21779.300000190735,,,Pixels per CM: 42.53165329492058,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1638392821221,01/12/2021 21:07:01,1638392819186,0,01/12/2021 21:06:59,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,2,1,1,Screen 1,Zone1,screen_calibration,21813.605,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1638392821221,01/12/2021 21:07:01,1638392820724,0,01/12/2021 21:07:00,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,3,1,1,Screen 2,advancementZone,continue_button,1396.6999998092651,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1638392822715,01/12/2021 21:07:02,1638392822879,0,01/12/2021 21:07:02,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,3,1,2,Screen 1,advancementZone,continue_button,2139.9000000953674,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1638392823693,01/12/2021 21:07:03,1638392823837,0,01/12/2021 21:07:03,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,3,1,3,Screen 3,advancementZone,continue_button,937,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1638392824177,01/12/2021 21:07:04,1638392824326,0,01/12/2021 21:07:04,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,4,1,1,Screen 1,fixation,fixation,499.8909999999996,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1638392824434,01/12/2021 21:07:04,1638392824417,0,01/12/2021 21:07:04,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,11,1,1,start,script,force_advance,83.2970000000023,,,,,0,1,0,,,,,1,task,K,,,0.204954585,0.080492088,0.050792731,0.025385339,K_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
10,1638392827166,01/12/2021 21:07:07,1638392826550,0,01/12/2021 21:07:06,53563,21,task-28bf,,17640781,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,11,1,2,Level1,Zone2,response_text_entry,2100.5999999046326,,Enter Key,k,1,1,0,0,,,,,1,task,K,,,0.204954585,0.080492088,0.050792731,0.025385339,K_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
