Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1642075818968,13/01/2022 12:10:18,1642075818372,0,13/01/2022 12:10:18,53563,21,task-2eqj,,18489118,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Eye instructions 2,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642075839474,13/01/2022 12:10:39,1642075838903,0,13/01/2022 12:10:38,53563,21,task-2eqj,,18489118,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Eye instructions 2,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,20497.799999999814,,,,,0,1,0,,,,,,instructions
3,1642075839595,13/01/2022 12:10:39,1642075838907,0,13/01/2022 12:10:38,53563,21,task-2eqj,,18489118,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Eye instructions 2,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,20535,,,,,0,1,0,,,,,,
1,1641067154508,01/01/2022 19:59:14,1641067213759,0,01/01/2022 20:00:13,53563,21,task-2eqj,,18257167,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Eye instructions 2,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641067213859,01/01/2022 20:00:13,1641067273039,0,01/01/2022 20:01:13,53563,21,task-2eqj,,18257167,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Eye instructions 2,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,59055.09999990463,,,,,0,1,0,,,,,,instructions
3,1641067213937,01/01/2022 20:00:13,1641067273049,0,01/01/2022 20:01:13,53563,21,task-2eqj,,18257167,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Eye instructions 2,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,59290,,,,,0,1,0,,,,,,
1,1640817393906,29/12/2021 22:36:33,1640817393196,0,29/12/2021 22:36:33,53563,21,task-2eqj,,18241260,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye instructions 2,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640817456197,29/12/2021 22:37:36,1640817455533,0,29/12/2021 22:37:35,53563,21,task-2eqj,,18241260,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye instructions 2,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,62297.40000000014,,,,,0,1,0,,,,,,instructions
3,1640817456408,29/12/2021 22:37:36,1640817455537,0,29/12/2021 22:37:35,53563,21,task-2eqj,,18241260,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Eye instructions 2,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,62341,,,,,0,1,0,,,,,,
1,1640090966373,21/12/2021 12:49:26,1640090966230,0,21/12/2021 12:49:26,53563,21,task-2eqj,,18167014,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,Eye instructions 2,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640090979573,21/12/2021 12:49:39,1640090979439,0,21/12/2021 12:49:39,53563,21,task-2eqj,,18167014,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,Eye instructions 2,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,13196,,,,,0,1,0,,,,,,instructions
3,1640090979646,21/12/2021 12:49:39,1640090979442,0,21/12/2021 12:49:39,53563,21,task-2eqj,,18167014,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,Eye instructions 2,6,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,13212,,,,,0,1,0,,,,,,
1,1638880659029,07/12/2021 12:37:39,1638880656677,0,07/12/2021 12:37:36,53563,21,task-2eqj,,17813431,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Eye instructions 2,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638880688768,07/12/2021 12:38:08,1638880685737,0,07/12/2021 12:38:05,53563,21,task-2eqj,,17813431,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Eye instructions 2,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,29006.5,,,,,0,1,0,,,,,,instructions
3,1638880689008,07/12/2021 12:38:09,1638880685740,0,07/12/2021 12:38:05,53563,21,task-2eqj,,17813431,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Eye instructions 2,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,29063,,,,,0,1,0,,,,,,
1,1638278127850,30/11/2021 13:15:27,1638278127783,0,30/11/2021 13:15:27,53563,21,task-2eqj,,17588352,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Eye instructions 2,6,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638278137985,30/11/2021 13:15:37,1638278137945,0,30/11/2021 13:15:37,53563,21,task-2eqj,,17588352,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Eye instructions 2,6,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10110.300000071526,,,,,0,1,0,,,,,,instructions
3,1638278138059,30/11/2021 13:15:38,1638278137949,0,30/11/2021 13:15:37,53563,21,task-2eqj,,17588352,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Eye instructions 2,6,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,,,END TASK,,,,,10166,,,,,0,1,0,,,,,,
END OF FILE
