Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1638278731667,30/11/2021 13:25:31,1638278731616,0,30/11/2021 13:25:31,53563,21,task-3tit,,17588879,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Both eyes,6,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638278737325,30/11/2021 13:25:37,1638278736891,0,30/11/2021 13:25:36,53563,21,task-3tit,,17588879,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Both eyes,6,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5218.200000047684,,,,,0,1,0,,,,,,instructions
3,1638278737387,30/11/2021 13:25:37,1638278736896,0,30/11/2021 13:25:36,53563,21,task-3tit,,17588879,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Both eyes,6,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,,,END TASK,,,,,5280,,,,,0,1,0,,,,,,
1,1638881183141,07/12/2021 12:46:23,1638881180803,0,07/12/2021 12:46:20,53563,21,task-3tit,,17813832,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638881184766,07/12/2021 12:46:24,1638881182398,0,07/12/2021 12:46:22,53563,21,task-3tit,,17813832,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1556.5,,,,,0,1,0,,,,,,instructions
3,1638881184847,07/12/2021 12:46:24,1638881182402,0,07/12/2021 12:46:22,53563,21,task-3tit,,17813832,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,1599,,,,,0,1,0,,,,,,
1,1642076528614,13/01/2022 12:22:08,1642076527982,0,13/01/2022 12:22:07,53563,21,task-3tit,,18489377,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642076530598,13/01/2022 12:22:10,1642076530031,0,13/01/2022 12:22:10,53563,21,task-3tit,,18489377,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2001.7999999998137,,,,,0,1,0,,,,,,instructions
3,1642076530721,13/01/2022 12:22:10,1642076530036,0,13/01/2022 12:22:10,53563,21,task-3tit,,18489377,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Both eyes,6,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,2053,,,,,0,1,0,,,,,,
1,1641067993634,01/01/2022 20:13:13,1641068052871,0,01/01/2022 20:14:12,53563,21,task-3tit,,18257220,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Both eyes,6,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
