Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1638392105912,01/12/2021 20:55:05,1638392106023,0,01/12/2021 20:55:06,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1638392109305,01/12/2021 20:55:09,1638392109441,0,01/12/2021 20:55:09,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,1,1,1,Screen 1,advancementZone,continue_button,3337.6000003814697,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1638392136337,01/12/2021 20:55:36,1638392136492,0,01/12/2021 20:55:36,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,2,1,1,Screen 1,Zone1,screen_calibration,27018.89999961853,,,Pixels per CM: 41.75226719484198,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1638392136724,01/12/2021 20:55:36,1638392136494,0,01/12/2021 20:55:36,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,2,1,1,Screen 1,Zone1,screen_calibration,27063.311999999998,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1638392139261,01/12/2021 20:55:39,1638392139422,0,01/12/2021 20:55:39,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,3,1,1,Screen 2,advancementZone,continue_button,2774.2999997138977,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1638392147616,01/12/2021 20:55:47,1638392147093,0,01/12/2021 20:55:47,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,3,1,2,Screen 1,advancementZone,continue_button,7646.200000286102,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1638392149696,01/12/2021 20:55:49,1638392149837,0,01/12/2021 20:55:49,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,3,1,3,Screen 3,advancementZone,continue_button,2703.0999999046326,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1638392150208,01/12/2021 20:55:50,1638392150336,0,01/12/2021 20:55:50,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,4,1,1,Screen 1,fixation,fixation,499.8029999999999,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1638392150352,01/12/2021 20:55:50,1638392150448,0,01/12/2021 20:55:50,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,19,1,1,start,script,force_advance,99.96199999999953,,,,,0,1,0,,,,,1,task,S,,,0.204954585,0.080492088,0.050792731,0.025385339,S_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
10,1638392155144,01/12/2021 20:55:55,1638392154694,0,01/12/2021 20:55:54,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,19,1,2,Level1,Zone2,response_text_entry,4185.199999809265,,Enter Key,s,1,1,0,0,,,,,1,task,S,,,0.204954585,0.080492088,0.050792731,0.025385339,S_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
11,1638392155660,01/12/2021 20:55:55,1638392154717,0,01/12/2021 20:55:54,53563,21,task-6v3o,,17640503,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Visual Acuity With Height,9,bothFirst,157,Right,157,Right,,,,,157,157,19,1,17,end,advancementZone,timelimit_screen,16.63300000000163,,,,,0,1,0,,,1,,1,task,S,,,0.204954585,0.080492088,0.050792731,0.025385339,S_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
