Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1638277537928,30/11/2021 13:05:37,1638277537759,0,30/11/2021 13:05:37,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1638277544052,30/11/2021 13:05:44,1638277544004,0,30/11/2021 13:05:44,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,1,1,1,Screen 1,advancementZone,continue_button,6183,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1638277558043,30/11/2021 13:05:58,1638277558017,0,30/11/2021 13:05:58,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,2,1,1,Screen 1,Zone1,screen_calibration,14004,,,Pixels per CM: 60.51178958631269,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1638277558153,30/11/2021 13:05:58,1638277558020,0,30/11/2021 13:05:58,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,2,1,1,Screen 1,Zone1,screen_calibration,14031.609,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1638277562130,30/11/2021 13:06:02,1638277562082,0,30/11/2021 13:06:02,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,3,1,1,Screen 2,advancementZone,continue_button,3970.5,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1638277565013,30/11/2021 13:06:05,1638277564983,0,30/11/2021 13:06:04,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,3,1,2,Screen 1,advancementZone,continue_button,2885.2999999523163,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1638277566194,30/11/2021 13:06:06,1638277566152,0,30/11/2021 13:06:06,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,3,1,3,Screen 3,advancementZone,continue_button,1154,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1638277566669,30/11/2021 13:06:06,1638277566647,0,30/11/2021 13:06:06,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,4,1,1,Screen 1,fixation,fixation,499.9400000000023,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1638277566799,30/11/2021 13:06:06,1638277566701,0,30/11/2021 13:06:06,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,13,1,1,start,script,force_advance,49.983000000000175,,,,,0,1,0,,,,,1,task,N,,,0.232368892,0.091258545,0.057586663,0.028780831,N_upper_100.png,0.754596703,0.292003529,0.611327433,0.478273103,0.373208003,0.18331727,0.144406013,0.11537386,0.072006789,0.046059727,0.036458908
10,1638277569361,30/11/2021 13:06:09,1638277569327,0,30/11/2021 13:06:09,53563,21,task-8lqq,,17587806,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Visual Acuity With Height,9,oneFirst,,,,,178,Right,178,Right,178,178,13,1,2,Level1,Zone2,response_text_entry,2613.7000000476837,,Enter Key,n,1,1,0,0,,,,,1,task,N,,,0.232368892,0.091258545,0.057586663,0.028780831,N_upper_100.png,0.754596703,0.292003529,0.611327433,0.478273103,0.373208003,0.18331727,0.144406013,0.11537386,0.072006789,0.046059727,0.036458908
