Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1638880695863,07/12/2021 12:38:15,1638880693552,0,07/12/2021 12:38:13,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1638880703127,07/12/2021 12:38:23,1638880700755,0,07/12/2021 12:38:20,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,1,1,1,Screen 1,advancementZone,continue_button,7152.100000023842,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1638880720818,07/12/2021 12:38:40,1638880717900,0,07/12/2021 12:38:37,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,2,1,1,Screen 1,Zone1,screen_calibration,17133.79999998212,,,Pixels per CM: 56.48801650317009,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1638880721076,07/12/2021 12:38:41,1638880717903,0,07/12/2021 12:38:37,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,2,1,1,Screen 1,Zone1,screen_calibration,17183.537,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1638880724928,07/12/2021 12:38:44,1638880721214,0,07/12/2021 12:38:41,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,3,1,1,Screen 2,advancementZone,continue_button,3207.699999988079,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1638880725646,07/12/2021 12:38:45,1638880723379,0,07/12/2021 12:38:43,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,3,1,2,Screen 1,advancementZone,continue_button,2157.600000023842,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1638880726960,07/12/2021 12:38:46,1638880724692,0,07/12/2021 12:38:44,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,3,1,3,Screen 3,advancementZone,continue_button,1308.7999999821186,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1638880727523,07/12/2021 12:38:47,1638880725188,0,07/12/2021 12:38:45,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,4,1,1,Screen 1,fixation,fixation,500.27800000000207,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1638880727523,07/12/2021 12:38:47,1638880725239,0,07/12/2021 12:38:45,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,5,1,1,start,script,force_advance,33.10499999999956,,,,,0,1,0,,,,,1,task,C,,,0.212787244,0.083568219,0.052733854,0.02635548,C_upper_100.png,0.691007093,0.26739649,0.559811076,0.43796919,0.34175789,0.167869185,0.132236967,0.105651343,0.065938801,0.042178289,0.033386528
10,1638880728992,07/12/2021 12:38:48,1638880726724,0,07/12/2021 12:38:46,53563,21,task-div7,,17813464,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,Visual Acuity With Height,9,oneFirst,,,,,163,Right,163,Right,163,163,5,1,2,Level1,Zone2,response_text_entry,1476.9000000059605,,Enter Key,C,1,1,0,0,,,,,1,task,C,,,0.212787244,0.083568219,0.052733854,0.02635548,C_upper_100.png,0.691007093,0.26739649,0.559811076,0.43796919,0.34175789,0.167869185,0.132236967,0.105651343,0.065938801,0.042178289,0.033386528
