Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1642445795151,17/01/2022 18:56:35,1642445794983,0,17/01/2022 18:56:34,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1642445811521,17/01/2022 18:56:51,1642445811376,0,17/01/2022 18:56:51,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,1,1,1,Screen 1,advancementZone,continue_button,16346,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1642445826366,17/01/2022 18:57:06,1642445826224,0,17/01/2022 18:57:06,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,2,1,1,Screen 1,Zone1,screen_calibration,14832,,,Pixels per CM: 51.47540799119092,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1642445826446,17/01/2022 18:57:06,1642445826228,0,17/01/2022 18:57:06,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,2,1,1,Screen 1,Zone1,screen_calibration,14850,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1642445829210,17/01/2022 18:57:09,1642445829085,0,17/01/2022 18:57:09,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,3,1,1,Screen 2,advancementZone,continue_button,2792,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1642445830933,17/01/2022 18:57:10,1642445830803,0,17/01/2022 18:57:10,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,3,1,2,Screen 1,advancementZone,continue_button,1701,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1642445831822,17/01/2022 18:57:11,1642445831695,0,17/01/2022 18:57:11,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,3,1,3,Screen 3,advancementZone,continue_button,878,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1642445832294,17/01/2022 18:57:12,1642445832175,0,17/01/2022 18:57:12,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,4,1,1,Screen 1,fixation,fixation,492,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1642445832386,17/01/2022 18:57:12,1642445832245,0,17/01/2022 18:57:12,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,5,1,1,start,script,force_advance,6,,,,,0,1,0,,,,,1,task,C,,,0.212787244,0.083568219,0.052733854,0.02635548,C_upper_100.png,0.691007093,0.26739649,0.559811076,0.43796919,0.34175789,0.167869185,0.132236967,0.105651343,0.065938801,0.042178289,0.033386528
10,1642445833836,17/01/2022 18:57:13,1642445833720,0,17/01/2022 18:57:13,53563,21,task-fwg1,,18575438,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,Visual Acuity With Height,9,bothFirst,163,Right,163,Right,,,,,163,163,5,1,2,Level1,Zone2,response_text_entry,1466.0000000000073,,Enter Key,C,1,1,0,0,,,,,1,task,C,,,0.212787244,0.083568219,0.052733854,0.02635548,C_upper_100.png,0.691007093,0.26739649,0.559811076,0.43796919,0.34175789,0.167869185,0.132236967,0.105651343,0.065938801,0.042178289,0.033386528
