Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1640782334481,29/12/2021 12:52:14,1640782334286,0,29/12/2021 12:52:14,53563,21,task-gmv3,,18235614,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640782343878,29/12/2021 12:52:23,1640782343733,0,29/12/2021 12:52:23,53563,21,task-gmv3,,18235614,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,9393.89999999851,,,,,0,1,0,,,,,,instructions
3,1640782344049,29/12/2021 12:52:24,1640782343738,0,29/12/2021 12:52:23,53563,21,task-gmv3,,18235614,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,9452,,,,,0,1,0,,,,,,
1,1642799642408,21/01/2022 21:14:02,1642798562558,0,21/01/2022 20:56:02,53563,21,task-gmv3,,18744793,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642799651066,21/01/2022 21:14:11,1642798571236,0,21/01/2022 20:56:11,53563,21,task-gmv3,,18744793,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8606.3,,,,,0,1,0,,,,,,instructions
3,1642799651149,21/01/2022 21:14:11,1642798571241,0,21/01/2022 20:56:11,53563,21,task-gmv3,,18744793,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,8683,,,,,0,1,0,,,,,,
1,1638392094545,01/12/2021 20:54:54,1638392094651,0,01/12/2021 20:54:54,53563,21,task-gmv3,,17640499,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638392102090,01/12/2021 20:55:02,1638392102234,0,01/12/2021 20:55:02,53563,21,task-gmv3,,17640499,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7511.699999809265,,,,,0,1,0,,,,,,instructions
3,1638392102351,01/12/2021 20:55:02,1638392102240,0,01/12/2021 20:55:02,53563,21,task-gmv3,,17640499,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,7590,,,,,0,1,0,,,,,,
END OF FILE
