Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,VS_Puzzle,Clicks,Prompt
1,1642075694913,13/01/2022 12:08:14,1642075694331,0,13/01/2022 12:08:14,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1642075699023,13/01/2022 12:08:19,1642075698455,0,13/01/2022 12:08:18,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4093.2999999998137,,,,,0,1,0,,,,,,Instructions,,,
3,1642075699460,13/01/2022 12:08:19,1642075698895,0,13/01/2022 12:08:18,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,4,1,1,Screen 2,fixation,fixation,450.0639999999994,,,,,0,1,0,,,,,1,Task,Image3.PNG,1,
4,1642075709657,13/01/2022 12:08:29,1642075709086,0,13/01/2022 12:08:29,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,4,1,2,Screen 1,advancementZone,click_painting,10180.19999999972,,,click,1,0,1,0,606,249,,,1,Task,Image3.PNG,1,
5,1642075709890,13/01/2022 12:08:29,1642075709325,0,13/01/2022 12:08:29,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,4,1,2,Screen 1,advancementZone,click_painting,10418.799999999814,,,click limit reached,1,0,1,0,,,,,1,Task,Image3.PNG,1,
6,1642075710336,13/01/2022 12:08:30,1642075709774,0,13/01/2022 12:08:29,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,2,2,1,Screen 2,fixation,fixation,449.89400000000023,,,,,0,1,0,,,,,1,Task,Image1.PNG,1,
7,1642075720342,13/01/2022 12:08:40,1642075719775,0,13/01/2022 12:08:39,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,2,2,2,Screen 1,advancementZone,click_painting,9992.900000000373,,,click,1,0,1,0,490,123,,,1,Task,Image1.PNG,1,
8,1642075720587,13/01/2022 12:08:40,1642075720021,0,13/01/2022 12:08:40,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,2,2,2,Screen 1,advancementZone,click_painting,10238,,,click limit reached,1,0,1,0,,,,,1,Task,Image1.PNG,1,
9,1642075721108,13/01/2022 12:08:41,1642075720470,0,13/01/2022 12:08:40,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,5,3,1,Screen 2,fixation,fixation,449.6939999999995,,,,,0,1,0,,,,,1,Task,Image4.PNG,1,
10,1642075735193,13/01/2022 12:08:55,1642075734624,0,13/01/2022 12:08:54,53563,21,task-i37h,,18489064,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,Visual Search Click on Location,9,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,5,3,2,Screen 1,advancementZone,click_painting,14145.5,,,click,1,0,1,0,479,89,,,1,Task,Image4.PNG,1,
