Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1638301786914,30/11/2021 19:49:46,1638301785642,0,30/11/2021 19:49:45,53563,21,task-mlkl,,17602528,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638301790944,30/11/2021 19:49:50,1638301789701,0,30/11/2021 19:49:49,53563,21,task-mlkl,,17602528,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4036.0999999940395,,,,,0,1,0,,,,,,instructions
3,1638301790998,30/11/2021 19:49:50,1638301789706,0,30/11/2021 19:49:49,53563,21,task-mlkl,,17602528,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,4064,,,,,0,1,0,,,,,,
1,1638392526787,01/12/2021 21:02:06,1638392526883,0,01/12/2021 21:02:06,53563,21,task-mlkl,,17640672,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638392533448,01/12/2021 21:02:13,1638392533588,0,01/12/2021 21:02:13,53563,21,task-mlkl,,17640672,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6374.5,,,,,0,1,0,,,,,,instructions
3,1638392533664,01/12/2021 21:02:13,1638392533594,0,01/12/2021 21:02:13,53563,21,task-mlkl,,17640672,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,Both eyes,6,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,6711,,,,,0,1,0,,,,,,
1,1640796065049,29/12/2021 16:41:05,1640796064883,0,29/12/2021 16:41:04,53563,21,task-mlkl,,18238559,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640796068031,29/12/2021 16:41:08,1640796067886,0,29/12/2021 16:41:07,53563,21,task-mlkl,,18238559,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2975,,,,,0,1,0,,,,,,instructions
3,1640796068124,29/12/2021 16:41:08,1640796067890,0,29/12/2021 16:41:07,53563,21,task-mlkl,,18238559,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,3007,,,,,0,1,0,,,,,,
1,1641051270438,01/01/2022 15:34:30,1641051270349,0,01/01/2022 15:34:30,53563,21,task-mlkl,,18255980,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641051272159,01/01/2022 15:34:32,1641051272099,0,01/01/2022 15:34:32,53563,21,task-mlkl,,18255980,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1720,,,,,0,1,0,,,,,,instructions
3,1641051272222,01/01/2022 15:34:32,1641051272102,0,01/01/2022 15:34:32,53563,21,task-mlkl,,18255980,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,Both eyes,6,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,1753,,,,,0,1,0,,,,,,
1,1641122554306,02/01/2022 11:22:34,1641122555579,0,02/01/2022 11:22:35,53563,21,task-mlkl,,18259018,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641122559219,02/01/2022 11:22:39,1641122560517,0,02/01/2022 11:22:40,53563,21,task-mlkl,,18259018,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,Both eyes,6,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4892.599999904633,,,,,0,1,0,,,,,,instructions
