Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1638880573653,07/12/2021 12:36:13,1638880571316,0,07/12/2021 12:36:11,53563,21,task-ne7x,,17813378,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638880577549,07/12/2021 12:36:17,1638880575269,0,07/12/2021 12:36:15,53563,21,task-ne7x,,17813378,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3887.0999999940395,,,,,0,1,0,,,,,,instructions
3,1638880577863,07/12/2021 12:36:17,1638880575272,0,07/12/2021 12:36:15,53563,21,task-ne7x,,17813378,BLIND,5185783,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1920x1080,1920x1080,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,3955,,,,,0,1,0,,,,,,
1,1640090798289,21/12/2021 12:46:38,1640090798002,0,21/12/2021 12:46:38,53563,21,task-ne7x,,18166999,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640090804537,21/12/2021 12:46:44,1640090804261,0,21/12/2021 12:46:44,53563,21,task-ne7x,,18166999,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6249.000000000001,,,,,0,1,0,,,,,,instructions
3,1640090804602,21/12/2021 12:46:44,1640090804264,0,21/12/2021 12:46:44,53563,21,task-ne7x,,18166999,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,6262,,,,,0,1,0,,,,,,
1,1640817274973,29/12/2021 22:34:34,1640817274272,0,29/12/2021 22:34:34,53563,21,task-ne7x,,18241250,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640817281849,29/12/2021 22:34:41,1640817281184,0,29/12/2021 22:34:41,53563,21,task-ne7x,,18241250,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6854.299999999814,,,,,0,1,0,,,,,,instructions
3,1640817282022,29/12/2021 22:34:42,1640817281189,0,29/12/2021 22:34:41,53563,21,task-ne7x,,18241250,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,6917,,,,,0,1,0,,,,,,
1,1642075686869,13/01/2022 12:08:06,1642075686256,0,13/01/2022 12:08:06,53563,21,task-ne7x,,18489059,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642075693316,13/01/2022 12:08:13,1642075692758,0,13/01/2022 12:08:12,53563,21,task-ne7x,,18489059,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6454.100000000093,,,,,0,1,0,,,,,,instructions
3,1642075693520,13/01/2022 12:08:13,1642075692762,0,13/01/2022 12:08:12,53563,21,task-ne7x,,18489059,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,6505,,,,,0,1,0,,,,,,
1,1641066992509,01/01/2022 19:56:32,1641067051728,0,01/01/2022 19:57:31,53563,21,task-ne7x,,18257156,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,One eye,12,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641067014809,01/01/2022 19:56:54,1641067074104,0,01/01/2022 19:57:54,53563,21,task-ne7x,,18257156,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,One eye,12,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,22165.799999713898,,,,,0,1,0,,,,,,instructions
3,1641067014901,01/01/2022 19:56:54,1641067074111,0,01/01/2022 19:57:54,53563,21,task-ne7x,,18257156,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,One eye,12,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,22383,,,,,0,1,0,,,,,,
1,1638278003678,30/11/2021 13:13:23,1638278003612,0,30/11/2021 13:13:23,53563,21,task-ne7x,,17588236,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,One eye,12,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638278013984,30/11/2021 13:13:33,1638278013934,0,30/11/2021 13:13:33,53563,21,task-ne7x,,17588236,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,One eye,12,oneFirst,,,,,178,Right,178,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10265.5,,,,,0,1,0,,,,,,instructions
