Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1638392964226,01/12/2021 21:09:24,1638392964327,0,01/12/2021 21:09:24,53563,21,task-o3jv,,17640832,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638392964726,01/12/2021 21:09:24,1638392964878,0,01/12/2021 21:09:24,53563,21,task-o3jv,,17640832,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,219.2999997138977,,,,,0,1,0,,,,,,instructions
3,1638392964821,01/12/2021 21:09:24,1638392964882,0,01/12/2021 21:09:24,53563,21,task-o3jv,,17640832,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,555,,,,,0,1,0,,,,,,
1,1640782995213,29/12/2021 13:03:15,1640782995014,0,29/12/2021 13:03:15,53563,21,task-o3jv,,18235723,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640782997793,29/12/2021 13:03:17,1640782997666,0,29/12/2021 13:03:17,53563,21,task-o3jv,,18235723,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2592.5999999996275,,,,,0,1,0,,,,,,instructions
3,1640782997979,29/12/2021 13:03:17,1640782997672,0,29/12/2021 13:03:17,53563,21,task-o3jv,,18235723,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,2659,,,,,0,1,0,,,,,,
1,1642800604578,21/01/2022 21:30:04,1642799524708,0,21/01/2022 21:12:04,53563,21,task-o3jv,,18745215,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642800647847,21/01/2022 21:30:47,1642799568015,0,21/01/2022 21:12:48,53563,21,task-o3jv,,18745215,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,43247.700000000004,,,,,0,1,0,,,,,,instructions
3,1642800647910,21/01/2022 21:30:47,1642799568021,0,21/01/2022 21:12:48,53563,21,task-o3jv,,18745215,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,43313,,,,,0,1,0,,,,,,
END OF FILE
