Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1638278440046,30/11/2021 13:20:40,1638278439447,0,30/11/2021 13:20:39,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1638278443936,30/11/2021 13:20:43,1638278443896,0,30/11/2021 13:20:43,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,1,1,1,Screen 1,advancementZone,continue_button,4385.100000023842,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1638278445749,30/11/2021 13:20:45,1638278445615,0,30/11/2021 13:20:45,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,5,1,1,noTarget,Zone1,response_button_image,1703.8999999761581,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
4,1638278446655,30/11/2021 13:20:46,1638278446611,0,30/11/2021 13:20:46,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,5,1,2,target,Zone2,response_button_image,982.1000000238419,,,redSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
5,1638278447687,30/11/2021 13:20:47,1638278447644,0,30/11/2021 13:20:47,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,7,1,1,noTarget,Zone1,response_button_image,1014.3999999761581,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
6,1638278448704,30/11/2021 13:20:48,1638278448659,0,30/11/2021 13:20:48,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,7,1,2,target,Zone2,response_button_image,1000.7000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
7,1638278449587,30/11/2021 13:20:49,1638278449563,0,30/11/2021 13:20:49,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,14,1,1,noTarget,Zone1,response_button_image,880.5999999046326,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
8,1638278450733,30/11/2021 13:20:50,1638278450600,0,30/11/2021 13:20:50,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,14,1,2,target,Zone2,response_button_image,1032.2999999523163,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
9,1638278451577,30/11/2021 13:20:51,1638278451547,0,30/11/2021 13:20:51,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,15,1,1,noTarget,Zone1,response_button_image,926.6000000238419,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
10,1638278453171,30/11/2021 13:20:53,1638278452977,0,30/11/2021 13:20:52,53563,21,task-osyu,,17588606,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,15,1,2,target,Zone2,response_button_image,1422.5,,,redSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
