Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1642075316698,13/01/2022 12:01:56,1642075316093,0,13/01/2022 12:01:56,53563,21,task-pmsb,,18488871,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642075319445,13/01/2022 12:01:59,1642075318856,0,13/01/2022 12:01:58,53563,21,task-pmsb,,18488871,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2728.7000000001863,,,,,0,1,0,,,,,,instructions
3,1642075319531,13/01/2022 12:01:59,1642075318861,0,13/01/2022 12:01:58,53563,21,task-pmsb,,18488871,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x720,,One eye,12,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,END TASK,,,,,2768,,,,,0,1,0,,,,,,
1,1641066694416,01/01/2022 19:51:34,1641066753624,0,01/01/2022 19:52:33,53563,21,task-pmsb,,18257142,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,One eye,12,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641066711059,01/01/2022 19:51:51,1641066770276,0,01/01/2022 19:52:50,53563,21,task-pmsb,,18257142,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,One eye,12,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,16530.89999961853,,,,,0,1,0,,,,,,instructions
3,1641066711150,01/01/2022 19:51:51,1641066770285,0,01/01/2022 19:52:50,53563,21,task-pmsb,,18257142,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,One eye,12,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,16661,,,,,0,1,0,,,,,,
1,1640816888098,29/12/2021 22:28:08,1640816887410,0,29/12/2021 22:28:07,53563,21,task-pmsb,,18241222,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640816891818,29/12/2021 22:28:11,1640816891150,0,29/12/2021 22:28:11,53563,21,task-pmsb,,18241222,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3685,,,,,0,1,0,,,,,,instructions
3,1640816891973,29/12/2021 22:28:11,1640816891154,0,29/12/2021 22:28:11,53563,21,task-pmsb,,18241222,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,END TASK,,,,,3745,,,,,0,1,0,,,,,,
1,1640090539206,21/12/2021 12:42:19,1640090538921,0,21/12/2021 12:42:18,53563,21,task-pmsb,,18166957,BLIND,5361762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1792x1120,1792x1040,,One eye,12,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
