Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1638302103484,30/11/2021 19:55:03,1638302102215,0,30/11/2021 19:55:02,53563,21,task-rhxu,,17602665,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638302105776,30/11/2021 19:55:05,1638302104541,0,30/11/2021 19:55:04,53563,21,task-rhxu,,17602665,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2290.8999999910593,,,,,0,1,0,,,,,,instructions
3,1638302105828,30/11/2021 19:55:05,1638302104544,0,30/11/2021 19:55:04,53563,21,task-rhxu,,17602665,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,2329,,,,,0,1,0,,,,,,
1,1641051692861,01/01/2022 15:41:32,1641051692751,0,01/01/2022 15:41:32,53563,21,task-rhxu,,18256006,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641051694529,01/01/2022 15:41:34,1641051694476,0,01/01/2022 15:41:34,53563,21,task-rhxu,,18256006,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,1697,,,,,0,1,0,,,,,,instructions
3,1641051694586,01/01/2022 15:41:34,1641051694479,0,01/01/2022 15:41:34,53563,21,task-rhxu,,18256006,BLIND,5407126,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1280x800,1280x631,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,1728,,,,,0,1,0,,,,,,
1,1641143839579,02/01/2022 17:17:19,1641143839674,0,02/01/2022 17:17:19,53563,21,task-rhxu,,18261559,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641143840142,02/01/2022 17:17:20,1641143840297,0,02/01/2022 17:17:20,53563,21,task-rhxu,,18261559,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,554.3999999761581,,,,,0,1,0,,,,,,instructions
3,1641143840220,02/01/2022 17:17:20,1641143840306,0,02/01/2022 17:17:20,53563,21,task-rhxu,,18261559,BLIND,5410548,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1123x632,1123x526,,One eye,12,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,632,,,,,0,1,0,,,,,,
1,1641123083787,02/01/2022 11:31:23,1641123085036,0,02/01/2022 11:31:25,53563,21,task-rhxu,,18259043,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641123087989,02/01/2022 11:31:27,1641123089176,0,02/01/2022 11:31:29,53563,21,task-rhxu,,18259043,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4100.800000190735,,,,,0,1,0,,,,,,instructions
3,1641123088063,02/01/2022 11:31:28,1641123089180,0,02/01/2022 11:31:29,53563,21,task-rhxu,,18259043,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,4144,,,,,0,1,0,,,,,,
1,1640862644489,30/12/2021 11:10:44,1640862644371,0,30/12/2021 11:10:44,53563,21,task-rhxu,,18243207,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640862648963,30/12/2021 11:10:48,1640862648870,0,30/12/2021 11:10:48,53563,21,task-rhxu,,18243207,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4450,,,,,0,1,0,,,,,,instructions
3,1640862649064,30/12/2021 11:10:49,1640862648874,0,30/12/2021 11:10:48,53563,21,task-rhxu,,18243207,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,4503,,,,,0,1,0,,,,,,
1,1640783118043,29/12/2021 13:05:18,1640783117858,0,29/12/2021 13:05:17,53563,21,task-rhxu,,18235744,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640783120293,29/12/2021 13:05:20,1640783120174,0,29/12/2021 13:05:20,53563,21,task-rhxu,,18235744,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2255.7000000011176,,,,,0,1,0,,,,,,instructions
3,1640783120390,29/12/2021 13:05:20,1640783120179,0,29/12/2021 13:05:20,53563,21,task-rhxu,,18235744,BLIND,5387474,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,2321,,,,,0,1,0,,,,,,
1,1638393136526,01/12/2021 21:12:16,1638393136643,0,01/12/2021 21:12:16,53563,21,task-rhxu,,17640881,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638393141678,01/12/2021 21:12:21,1638393141804,0,01/12/2021 21:12:21,53563,21,task-rhxu,,17640881,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4796.900000095367,,,,,0,1,0,,,,,,instructions
3,1638393141871,01/12/2021 21:12:21,1638393141809,0,01/12/2021 21:12:21,53563,21,task-rhxu,,17640881,BLIND,5207972,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1280x720,1280x577,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,5166,,,,,0,1,0,,,,,,
1,1638205448728,29/11/2021 17:04:08,1638205448273,0,29/11/2021 17:04:08,53563,21,task-rhxu,,17564649,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,One eye,12,bothFirst,183,Right,183,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638205450804,29/11/2021 17:04:10,1638205450433,0,29/11/2021 17:04:10,53563,21,task-rhxu,,17564649,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,One eye,12,bothFirst,183,Right,183,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2128.5,,,,,0,1,0,,,,,,instructions
3,1638205450869,29/11/2021 17:04:10,1638205450436,0,29/11/2021 17:04:10,53563,21,task-rhxu,,17564649,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,One eye,12,bothFirst,183,Right,183,Right,,,,,Spreadsheet1,,,END TASK,,,,,2163,,,,,0,1,0,,,,,,
1,1642800829590,21/01/2022 21:33:49,1642799749715,0,21/01/2022 21:15:49,53563,21,task-rhxu,,18745303,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642800833767,21/01/2022 21:33:53,1642799753956,0,21/01/2022 21:15:53,53563,21,task-rhxu,,18745303,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4178.299999999999,,,,,0,1,0,,,,,,instructions
3,1642800833847,21/01/2022 21:33:53,1642799753960,0,21/01/2022 21:15:53,53563,21,task-rhxu,,18745303,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x800,,One eye,12,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,4245,,,,,0,1,0,,,,,,
1,1642446099214,17/01/2022 19:01:39,1642446099095,0,17/01/2022 19:01:39,53563,21,task-rhxu,,18575589,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
