Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1641067265660,01/01/2022 20:01:05,1641067324934,0,01/01/2022 20:02:04,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1641067277243,01/01/2022 20:01:17,1641067336444,0,01/01/2022 20:02:16,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,1,1,1,Screen 1,advancementZone,continue_button,11385.300000190735,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1641067310317,01/01/2022 20:01:50,1641067369461,0,01/01/2022 20:02:49,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,2,1,1,Screen 1,Zone1,screen_calibration,32979.300000190735,,,Pixels per CM: 40.10086809583335,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1641067310460,01/01/2022 20:01:50,1641067369469,0,01/01/2022 20:02:49,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,2,1,1,Screen 1,Zone1,screen_calibration,33014.823000000004,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1641067315468,01/01/2022 20:01:55,1641067374673,0,01/01/2022 20:02:54,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,3,1,1,Screen 2,advancementZone,continue_button,4958,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1641067326135,01/01/2022 20:02:06,1641067385448,0,01/01/2022 20:03:05,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,3,1,2,Screen 1,advancementZone,continue_button,10736.400000095367,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1641067328694,01/01/2022 20:02:08,1641067387986,0,01/01/2022 20:03:07,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,3,1,3,Screen 3,advancementZone,continue_button,2510.699999809265,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1641067329174,01/01/2022 20:02:09,1641067388481,0,01/01/2022 20:03:08,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,4,1,1,Screen 1,fixation,fixation,500.0520000000033,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1641067329366,01/01/2022 20:02:09,1641067388667,0,01/01/2022 20:03:08,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,7,1,1,start,script,force_advance,149.91700000000128,,,,,0,1,0,,,,,1,task,D,,,0.204954585,0.080492088,0.050792731,0.025385339,D_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
10,1641067331903,01/01/2022 20:02:11,1641067391110,0,01/01/2022 20:03:11,53563,21,task-sdmv,,18257174,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x768,,Visual Acuity With Height,9,oneFirst,,,,,157,Right,157,Right,157,157,7,1,2,Level1,Zone2,response_text_entry,2384.199999809265,,Enter Key,D,1,1,0,0,,,,,1,task,D,,,0.204954585,0.080492088,0.050792731,0.025385339,D_upper_100.png,0.665571249,0.257553675,0.539204533,0.421847624,0.329177845,0.161689951,0.127369349,0.101762337,0.063511606,0.040625714,0.032157576
