Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1642445939050,17/01/2022 18:58:59,1642445938881,0,17/01/2022 18:58:58,53563,21,task-wenr,,18575486,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1642445942224,17/01/2022 18:59:02,1642445942079,0,17/01/2022 18:59:02,53563,21,task-wenr,,18575486,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3168,,,,,0,1,0,,,,,,instructions
3,1642445942289,17/01/2022 18:59:02,1642445942084,0,17/01/2022 18:59:02,53563,21,task-wenr,,18575486,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x789,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,3204,,,,,0,1,0,,,,,,
1,1641122878513,02/01/2022 11:27:58,1641122879759,0,02/01/2022 11:27:59,53563,21,task-wenr,,18259035,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1641122881838,02/01/2022 11:28:01,1641122883155,0,02/01/2022 11:28:03,53563,21,task-wenr,,18259035,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3350.5,,,,,0,1,0,,,,,,instructions
3,1641122881898,02/01/2022 11:28:01,1641122883159,0,02/01/2022 11:28:03,53563,21,task-wenr,,18259035,BLIND,5409913,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1366x768,1366x624,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,3399,,,,,0,1,0,,,,,,
1,1640862450536,30/12/2021 11:07:30,1640862450423,0,30/12/2021 11:07:30,53563,21,task-wenr,,18243163,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1640862466271,30/12/2021 11:07:46,1640862466194,0,30/12/2021 11:07:46,53563,21,task-wenr,,18243163,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,15746,,,,,0,1,0,,,,,,instructions
3,1640862466349,30/12/2021 11:07:46,1640862466202,0,30/12/2021 11:07:46,53563,21,task-wenr,,18243163,BLIND,5388619,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x820,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,15779,,,,,0,1,0,,,,,,
1,1638301976216,30/11/2021 19:52:56,1638301974950,0,30/11/2021 19:52:54,53563,21,task-wenr,,17602611,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1638301982596,30/11/2021 19:53:02,1638301981353,0,30/11/2021 19:53:01,53563,21,task-wenr,,17602611,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,6376.70000000298,,,,,0,1,0,,,,,,instructions
3,1638301982678,30/11/2021 19:53:02,1638301981357,0,30/11/2021 19:53:01,53563,21,task-wenr,,17602611,BLIND,5198273,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1707x812,,One eye,12,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,6407,,,,,0,1,0,,,,,,
END OF FILE
