Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level6,Level10,Level12,Level15,image,Level1,Level5,Level2,Level3,Level4,Level7,Level8,Level9,Level11,Level13,Level14
1,1638205127329,29/11/2021 16:58:47,1638205126769,0,29/11/2021 16:58:46,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1638205130531,29/11/2021 16:58:50,1638205129682,0,29/11/2021 16:58:49,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,1,1,1,Screen 1,advancementZone,continue_button,2868.5,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,
3,1638205141641,29/11/2021 16:59:01,1638205141276,0,29/11/2021 16:59:01,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,2,1,1,Screen 1,Zone1,screen_calibration,11578.299999982119,,,Pixels per CM: 41.75226719484198,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,
4,1638205141891,29/11/2021 16:59:01,1638205141280,0,29/11/2021 16:59:01,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,2,1,1,Screen 1,Zone1,screen_calibration,11583.723999999998,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,
5,1638205155641,29/11/2021 16:59:15,1638205154730,0,29/11/2021 16:59:14,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,3,1,1,Screen 2,advancementZone,continue_button,13389.300000011921,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
6,1638205157158,29/11/2021 16:59:17,1638205156805,0,29/11/2021 16:59:16,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,3,1,2,Screen 1,advancementZone,continue_button,2068.5999999940395,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
7,1638205159075,29/11/2021 16:59:19,1638205158701,0,29/11/2021 16:59:18,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,3,1,3,Screen 3,advancementZone,continue_button,1882.5999999940395,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,
8,1638205160335,29/11/2021 16:59:20,1638205159197,0,29/11/2021 16:59:19,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,4,1,1,Screen 1,fixation,fixation,499.7959999999948,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,
9,1638205160397,29/11/2021 16:59:20,1638205159240,0,29/11/2021 16:59:19,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,9,1,1,start,script,force_advance,33.30800000000454,,,,,0,1,0,,,,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
10,1638205162257,29/11/2021 16:59:22,1638205161311,0,29/11/2021 16:59:21,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,9,1,2,Level1,Zone2,response_text_entry,2059.199999988079,,Enter Key,h,1,1,0,0,,,,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
11,1638205162362,29/11/2021 16:59:22,1638205161316,0,29/11/2021 16:59:21,53563,21,task-wsb8,,17564496,BLIND,5186811,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Visual Acuity With Height,9,bothFirst,183,Right,183,Right,,,,,183,183,9,1,17,end,advancementZone,timelimit_screen,16.309000000001106,,,,,0,1,0,,,1,,1,task,H,,,0.238896108,0.093821988,0.059204266,0.029589281,H_upper_100.png,0.77579324,0.300205876,0.628499552,0.491707741,0.383691374,0.188466631,0.148462362,0.118614698,0.074029451,0.04735354,0.037483034
