"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"1",4336342,"Mono","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,1172
"2",4336342,"Mono","Fitts's Law","right","1","pos2Size3",20,25,80,25,5,1408
"3",4336342,"Mono","Fitts's Law","right","1","pos1Size3",40,40,60,40,5,1171
"4",4336342,"Mono","Fitts's Law","right","1","pos2Size1",20,25,80,25,20,685
"5",4336342,"Mono","Fitts's Law","right","1","pos4Size1",74,74,26,74,20,1004
"6",4336342,"Mono","Fitts's Law","right","1","pos3Size2",41,71,59,71,10,909
"7",4336342,"Mono","Fitts's Law","right","1","pos5Size3",8,46,92,46,5,1357.00000000001
"8",4336342,"Mono","Fitts's Law","right","1","pos4Size3",74,74,26,74,5,1166.00000000001
"9",4336342,"Mono","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,932
"10",4336342,"Mono","Fitts's Law","right","1","pos1Size2",40,40,60,40,10,806
"11",4336342,"Mono","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,789
"12",4336342,"Mono","Fitts's Law","right","1","pos5Size1",8,46,92,46,20,628
"13",4336342,"Mono","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,739
"14",4336342,"Mono","Fitts's Law","right","1","pos4Size2",74,74,26,74,10,1125
"15",4336342,"Mono","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,1245.00000000001
"16",4336342,"Mono","Fitts's Law","right","2","pos3Size1",41,71,59,71,20,916
"17",4336342,"Mono","Fitts's Law","right","2","pos2Size2",20,25,80,25,10,902
"18",4336342,"Mono","Fitts's Law","right","2","pos1Size2",40,40,60,40,10,883.000000000007
"19",4336342,"Mono","Fitts's Law","right","2","pos3Size3",41,71,59,71,5,995.000000000007
"20",4336342,"Mono","Fitts's Law","right","2","pos4Size1",74,74,26,74,20,957
"21",4336342,"Mono","Fitts's Law","right","2","pos5Size1",8,46,92,46,20,724.999999999993
"22",4336342,"Mono","Fitts's Law","right","2","pos4Size3",74,74,26,74,5,1061.00000000001
"23",4336342,"Mono","Fitts's Law","right","2","pos3Size2",41,71,59,71,10,987
"24",4336342,"Mono","Fitts's Law","right","2","pos5Size2",8,46,92,46,10,1030
"25",4336342,"Mono","Fitts's Law","right","2","pos1Size1",40,40,60,40,20,1228.99999999999
"26",4336342,"Mono","Fitts's Law","right","2","pos2Size3",20,25,80,25,5,1221
"27",4336342,"Mono","Fitts's Law","right","2","pos5Size3",8,46,92,46,5,956
"28",4336342,"Mono","Fitts's Law","right","2","pos4Size2",74,74,26,74,10,1157
"29",4336342,"Mono","Fitts's Law","right","2","pos2Size1",20,25,80,25,20,589
"30",4336342,"Mono","Fitts's Law","right","2","pos1Size3",40,40,60,40,5,891
"31",4336342,"Mono","Fitts's Law","right","3","pos1Size3",40,40,60,40,5,869
"32",4336342,"Mono","Fitts's Law","right","3","pos4Size2",74,74,26,74,10,1294
"33",4336342,"Mono","Fitts's Law","right","3","pos2Size1",20,25,80,25,20,868
"34",4336342,"Mono","Fitts's Law","right","3","pos3Size3",41,71,59,71,5,1311.00000000001
"35",4336342,"Mono","Fitts's Law","right","3","pos3Size2",41,71,59,71,10,1205.99999999999
"36",4336342,"Mono","Fitts's Law","right","3","pos4Size3",74,74,26,74,5,1028.99999999999
"37",4336342,"Mono","Fitts's Law","right","3","pos2Size3",20,25,80,25,5,1068
"38",4336342,"Mono","Fitts's Law","right","3","pos4Size1",74,74,26,74,20,1477
"39",4336342,"Mono","Fitts's Law","right","3","pos5Size1",8,46,92,46,20,813
"40",4336342,"Mono","Fitts's Law","right","3","pos5Size3",8,46,92,46,5,901
"41",4336342,"Mono","Fitts's Law","right","3","pos3Size1",41,71,59,71,20,1117
"42",4336342,"Mono","Fitts's Law","right","3","pos2Size2",20,25,80,25,10,757
"43",4336342,"Mono","Fitts's Law","right","3","pos5Size2",8,46,92,46,10,1274
"44",4336342,"Mono","Fitts's Law","right","3","pos1Size1",40,40,60,40,20,772
"45",4336342,"Mono","Fitts's Law","right","3","pos1Size2",40,40,60,40,10,1116
"46",4336342,"Mono","Fitts's Law","right","4","pos5Size1",8,46,92,46,20,701
"47",4336342,"Mono","Fitts's Law","right","4","pos1Size2",40,40,60,40,10,924
"48",4336342,"Mono","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,765
"49",4336342,"Mono","Fitts's Law","right","4","pos4Size3",74,74,26,74,5,1187
