"","Participant.Private.ID","Eye.Condition","structure","meanRt","hand","size","xR","yR","xL","yL"
"1",4332728,"Binoc","pos1Size1",487,"right",20,40,40,60,40
"2",4332728,"Binoc","pos1Size2",626.25,"right",10,40,40,60,40
"3",4332728,"Binoc","pos1Size3",644.125,"right",5,40,40,60,40
"4",4332728,"Binoc","pos2Size1",436.75,"right",20,20,25,80,25
"5",4332728,"Binoc","pos2Size2",621.125,"right",10,20,25,80,25
"6",4332728,"Binoc","pos2Size3",663.5,"right",5,20,25,80,25
"7",4332728,"Binoc","pos3Size1",613.125,"right",20,41,71,59,71
"8",4332728,"Binoc","pos3Size2",643.25,"right",10,41,71,59,71
"9",4332728,"Binoc","pos3Size3",744.75,"right",5,41,71,59,71
"10",4332728,"Binoc","pos4Size1",595.125,"right",20,74,74,26,74
"11",4332728,"Binoc","pos4Size2",689.5,"right",10,74,74,26,74
"12",4332728,"Binoc","pos4Size3",815,"right",5,74,74,26,74
"13",4332728,"Binoc","pos5Size1",504.125,"right",20,8,46,92,46
"14",4332728,"Binoc","pos5Size2",580.125,"right",10,8,46,92,46
"15",4332728,"Binoc","pos5Size3",650.875,"right",5,8,46,92,46
"16",4332728,"Mono","pos1Size1",485.625,"right",20,40,40,60,40
"17",4332728,"Mono","pos1Size2",562.375,"right",10,40,40,60,40
"18",4332728,"Mono","pos1Size3",719.5,"right",5,40,40,60,40
"19",4332728,"Mono","pos2Size1",452.5,"right",20,20,25,80,25
"20",4332728,"Mono","pos2Size2",517.375,"right",10,20,25,80,25
"21",4332728,"Mono","pos2Size3",671.75,"right",5,20,25,80,25
"22",4332728,"Mono","pos3Size1",748.625,"right",20,41,71,59,71
"23",4332728,"Mono","pos3Size2",675.625,"right",10,41,71,59,71
"24",4332728,"Mono","pos3Size3",733.375,"right",5,41,71,59,71
"25",4332728,"Mono","pos4Size1",655.625,"right",20,74,74,26,74
"26",4332728,"Mono","pos4Size2",695,"right",10,74,74,26,74
"27",4332728,"Mono","pos4Size3",820.25,"right",5,74,74,26,74
"28",4332728,"Mono","pos5Size1",508,"right",20,8,46,92,46
"29",4332728,"Mono","pos5Size2",568.125,"right",10,8,46,92,46
"30",4332728,"Mono","pos5Size3",889.125,"right",5,8,46,92,46
"31",4333147,"Binoc","pos1Size1",1614.21250000596,"right",20,40,40,60,40
"32",4333147,"Binoc","pos1Size2",1711.42500007152,"right",10,40,40,60,40
"33",4333147,"Binoc","pos1Size3",1812.32499995828,"right",5,40,40,60,40
"34",4333147,"Binoc","pos2Size1",1403.07500001788,"right",20,20,25,80,25
"35",4333147,"Binoc","pos2Size2",1451.73750001192,"right",10,20,25,80,25
"36",4333147,"Binoc","pos2Size3",1605.98750001192,"right",5,20,25,80,25
"37",4333147,"Binoc","pos3Size1",1745.08749997616,"right",20,41,71,59,71
"38",4333147,"Binoc","pos3Size2",1819.93749994039,"right",10,41,71,59,71
"39",4333147,"Binoc","pos3Size3",2107.27499997616,"right",5,41,71,59,71
"40",4333147,"Binoc","pos4Size1",2276.13750004768,"right",20,74,74,26,74
"41",4333147,"Binoc","pos4Size2",2365.17499992251,"right",10,74,74,26,74
"42",4333147,"Binoc","pos4Size3",2340.41249999404,"right",5,74,74,26,74
"43",4333147,"Binoc","pos5Size1",1486.93749994039,"right",20,8,46,92,46
"44",4333147,"Binoc","pos5Size2",1562.8749999702,"right",10,8,46,92,46
"45",4333147,"Binoc","pos5Size3",1713.21250000596,"right",5,8,46,92,46
"46",4333147,"Mono","pos1Size1",1628.26250004768,"right",20,40,40,60,40
"47",4333147,"Mono","pos1Size2",1913.82500004768,"right",10,40,40,60,40
"48",4333147,"Mono","pos1Size3",2085.9375000298,"right",5,40,40,60,40
"49",4333147,"Mono","pos2Size1",1566.22499999404,"right",20,20,25,80,25
"50",4333147,"Mono","pos2Size2",1665.47499996424,"right",10,20,25,80,25
