"","Participant.Private.ID","Screen.Name","Attempt","Correct","Incorrect","Dishonest","Eye.Condition","contrast"
"1",4333590,"Level76",1,1,0,0,"Mono",25
"2",4333590,"Level77",1,1,0,0,"Mono",24
"3",4333590,"Level78",1,1,0,0,"Mono",23
"4",4333590,"Level79",1,1,0,0,"Mono",22
"5",4333590,"Level80",1,1,0,0,"Mono",21
"6",4333590,"Level81",1,1,0,0,"Mono",20
"7",4333590,"Level82",1,1,0,0,"Mono",19
"8",4333590,"Level83",1,1,0,0,"Mono",18
"9",4333590,"Level84",1,1,0,0,"Mono",17
"10",4333590,"Level85",1,1,0,0,"Mono",16
"11",4333590,"Level86",1,1,0,0,"Mono",15
"12",4333590,"Level87",1,1,0,0,"Mono",14
"13",4333590,"Level88",1,1,0,0,"Mono",13
"14",4333590,"Level89",1,1,0,0,"Mono",12
"15",4333590,"Level90",1,1,0,0,"Mono",11
"16",4333590,"Level91",1,1,0,0,"Mono",10
"17",4333590,"Level92",1,1,0,0,"Mono",9
"18",4333590,"Level93",1,1,0,0,"Mono",8
"19",4333590,"Level94",1,1,0,0,"Mono",7
"20",4333590,"Level95",1,1,0,0,"Mono",6
"21",4333590,"Level96",1,1,0,0,"Mono",5
"22",4333590,"Level97",1,1,0,0,"Mono",4
"23",4333590,"Level98",1,1,0,0,"Mono",3
"24",4333590,"Level99",1,1,0,0,"Mono",2
"25",4333590,"Level100",1,0,1,0,"Mono",1
"26",4333590,"Level98",1,1,0,0,"Mono",3
"27",4333590,"Level99",1,1,0,0,"Mono",2
"28",4333590,"Level100",1,1,0,0,"Mono",1
"29",4333590,"Level100",1,0,1,0,"Mono",1
"30",4333590,"Level98",1,1,0,0,"Mono",3
"31",4333590,"Level99",1,0,1,0,"Mono",2
"32",4333590,"Level97",1,1,0,0,"Mono",4
"33",4333590,"Level98",1,1,0,0,"Mono",3
"34",4333590,"Level99",1,1,0,0,"Mono",2
"35",4333590,"Level100",1,0,1,0,"Mono",1
"36",4333590,"Level98",1,1,0,0,"Mono",3
"37",4333590,"Level99",1,1,0,0,"Mono",2
"38",4333590,"Level100",1,0,1,0,"Mono",1
"39",4333590,"Level98",1,1,0,0,"Mono",3
"40",4333590,"Level99",1,0,1,0,"Mono",2
"41",4333590,"Level97",1,1,0,0,"Mono",4
"42",4333590,"Level98",1,1,0,0,"Mono",3
"43",4333590,"Level99",1,1,0,0,"Mono",2
"44",4333590,"Level100",1,0,1,0,"Mono",1
"45",4381159,"Level76",1,1,0,0,"Mono",25
"46",4381159,"Level77",1,1,0,0,"Mono",24
"47",4381159,"Level78",1,1,0,0,"Mono",23
"48",4381159,"Level79",1,0,1,0,"Mono",22
"49",4381159,"Level77",1,1,0,0,"Mono",24
"50",4381159,"Level78",1,1,0,0,"Mono",23
"51",4381159,"Level79",1,1,0,0,"Mono",22
"52",4381159,"Level80",1,1,0,0,"Mono",21
"53",4381159,"Level81",1,1,0,0,"Mono",20
"54",4381159,"Level82",1,1,0,0,"Mono",19
"55",4381159,"Level83",1,1,0,0,"Mono",18
"56",4381159,"Level84",1,1,0,0,"Mono",17
"57",4381159,"Level85",1,1,0,0,"Mono",16
"58",4381159,"Level86",1,1,0,0,"Mono",15
"59",4381159,"Level87",1,1,0,0,"Mono",14
"60",4381159,"Level88",1,1,0,0,"Mono",13
"61",4381159,"Level89",1,1,0,0,"Mono",12
"62",4381159,"Level90",1,1,0,0,"Mono",11
"63",4381159,"Level91",1,1,0,0,"Mono",10
"64",4381159,"Level92",1,1,0,0,"Mono",9
"65",4381159,"Level93",1,1,0,0,"Mono",8
"66",4381159,"Level94",1,1,0,0,"Mono",7
"67",4381159,"Level95",1,1,0,0,"Mono",6
"68",4381159,"Level96",1,1,0,0,"Mono",5
"69",4381159,"Level97",1,1,0,0,"Mono",4
"70",4381159,"Level98",1,1,0,0,"Mono",3
"71",4381159,"Level99",1,0,1,0,"Mono",2
"72",4381159,"Level97",1,1,0,0,"Mono",4
"73",4381159,"Level98",1,1,0,0,"Mono",3
"74",4381159,"Level99",1,1,0,0,"Mono",2
"75",4381159,"Level100",1,0,1,0,"Mono",1
"76",4381159,"Level98",1,0,1,0,"Mono",3
"77",4381159,"Level96",1,1,0,0,"Mono",5
"78",4381159,"Level97",1,1,0,0,"Mono",4
"79",4381159,"Level98",1,1,0,0,"Mono",3
"80",4381159,"Level99",1,0,1,0,"Mono",2
"81",4381159,"Level97",1,1,0,0,"Mono",4
"82",4381159,"Level98",1,1,0,0,"Mono",3
"83",4381159,"Level99",1,1,0,0,"Mono",2
"84",4381159,"Level100",1,0,1,0,"Mono",1
"85",4381159,"Level98",1,1,0,0,"Mono",3
"86",4381159,"Level99",1,1,0,0,"Mono",2
"87",4381159,"Level100",1,0,1,0,"Mono",1
"88",4381159,"Level98",1,0,1,0,"Mono",3
"89",4443776,"Level76",1,1,0,0,"Mono",25
"90",4443776,"Level77",1,1,0,0,"Mono",24
"91",4443776,"Level78",1,1,0,0,"Mono",23
"92",4443776,"Level79",1,1,0,0,"Mono",22
"93",4443776,"Level80",1,1,0,0,"Mono",21
"94",4443776,"Level81",1,1,0,0,"Mono",20
"95",4443776,"Level82",1,1,0,0,"Mono",19
"96",4443776,"Level83",1,1,0,0,"Mono",18
"97",4443776,"Level84",1,1,0,0,"Mono",17
"98",4443776,"Level85",1,1,0,0,"Mono",16
"99",4443776,"Level86",1,1,0,0,"Mono",15
"100",4443776,"Level87",1,1,0,0,"Mono",14
"101",4443776,"Level88",1,1,0,0,"Mono",13
"102",4443776,"Level89",1,1,0,0,"Mono",12
"103",4443776,"Level90",1,1,0,0,"Mono",11
"104",4443776,"Level91",1,1,0,0,"Mono",10
"105",4443776,"Level92",1,1,0,0,"Mono",9
"106",4443776,"Level93",1,1,0,0,"Mono",8
"107",4443776,"Level94",1,1,0,0,"Mono",7
"108",4443776,"Level95",1,1,0,0,"Mono",6
"109",4443776,"Level96",1,1,0,0,"Mono",5
"110",4443776,"Level97",1,1,0,0,"Mono",4
"111",4443776,"Level98",1,1,0,0,"Mono",3
"112",4443776,"Level99",1,1,0,0,"Mono",2
"113",4443776,"Level100",1,0,1,0,"Mono",1
"114",4443776,"Level98",1,1,0,0,"Mono",3
"115",4443776,"Level99",1,1,0,0,"Mono",2
"116",4443776,"Level100",1,1,0,0,"Mono",1
"117",4443776,"Level100",1,0,1,0,"Mono",1
"118",4443776,"Level98",1,1,0,0,"Mono",3
"119",4443776,"Level99",1,1,0,0,"Mono",2
"120",4443776,"Level100",1,1,0,0,"Mono",1
"121",4443776,"Level100",1,1,0,0,"Mono",1
"122",4443776,"Level100",1,0,1,0,"Mono",1
"123",4443776,"Level98",1,1,0,0,"Mono",3
"124",4443776,"Level99",1,1,0,0,"Mono",2
"125",4443776,"Level100",1,0,1,0,"Mono",1
"126",4443776,"Level98",1,1,0,0,"Mono",3
"127",4443776,"Level99",1,1,0,0,"Mono",2
"128",4443776,"Level100",1,0,1,0,"Mono",1
"129",4443776,"Level98",1,1,0,0,"Mono",3
"130",4443776,"Level99",1,1,0,0,"Mono",2
"131",4443776,"Level100",1,0,1,0,"Mono",1
"132",4443776,"Level98",1,1,0,0,"Mono",3
"133",4449137,"Level76",1,1,0,0,"Mono",25
"134",4449137,"Level77",1,1,0,0,"Mono",24
"135",4449137,"Level78",1,1,0,0,"Mono",23
"136",4449137,"Level79",1,1,0,0,"Mono",22
"137",4449137,"Level80",1,1,0,0,"Mono",21
"138",4449137,"Level81",1,1,0,0,"Mono",20
"139",4449137,"Level82",1,1,0,0,"Mono",19
"140",4449137,"Level83",1,1,0,0,"Mono",18
"141",4449137,"Level84",1,1,0,0,"Mono",17
"142",4449137,"Level85",1,1,0,0,"Mono",16
"143",4449137,"Level86",1,1,0,0,"Mono",15
"144",4449137,"Level87",1,1,0,0,"Mono",14
"145",4449137,"Level88",1,1,0,0,"Mono",13
"146",4449137,"Level89",1,1,0,0,"Mono",12
"147",4449137,"Level90",1,1,0,0,"Mono",11
"148",4449137,"Level91",1,1,0,0,"Mono",10
"149",4449137,"Level92",1,1,0,0,"Mono",9
"150",4449137,"Level93",1,1,0,0,"Mono",8
"151",4449137,"Level94",1,1,0,0,"Mono",7
"152",4449137,"Level95",1,1,0,0,"Mono",6
"153",4449137,"Level96",1,1,0,0,"Mono",5
"154",4449137,"Level97",1,1,0,0,"Mono",4
"155",4449137,"Level98",1,1,0,0,"Mono",3
"156",4449137,"Level99",1,1,0,0,"Mono",2
"157",4449137,"Level100",1,0,1,0,"Mono",1
"158",4449137,"Level98",1,1,0,0,"Mono",3
"159",4449137,"Level99",1,1,0,0,"Mono",2
"160",4449137,"Level100",1,0,1,0,"Mono",1
"161",4449137,"Level98",1,1,0,0,"Mono",3
"162",4449137,"Level99",1,0,1,0,"Mono",2
"163",4449137,"Level97",1,1,0,0,"Mono",4
"164",4449137,"Level98",1,1,0,0,"Mono",3
"165",4449137,"Level99",1,1,0,0,"Mono",2
"166",4449137,"Level100",1,0,1,0,"Mono",1
"167",4449137,"Level98",1,1,0,0,"Mono",3
"168",4449137,"Level99",1,0,1,0,"Mono",2
"169",4449137,"Level97",1,1,0,0,"Mono",4
"170",4449137,"Level98",1,1,0,0,"Mono",3
"171",4449137,"Level99",1,1,0,0,"Mono",2
"172",4449137,"Level100",1,0,1,0,"Mono",1
"173",4449137,"Level98",1,1,0,0,"Mono",3
"174",4449137,"Level99",1,1,0,0,"Mono",2
"175",4449137,"Level100",1,0,1,0,"Mono",1
"176",4449137,"Level98",1,1,0,0,"Mono",3
"177",4450348,"Level76",1,1,0,0,"Mono",25
"178",4450348,"Level77",1,1,0,0,"Mono",24
"179",4450348,"Level78",1,1,0,0,"Mono",23
"180",4450348,"Level79",1,1,0,0,"Mono",22
"181",4450348,"Level80",1,1,0,0,"Mono",21
"182",4450348,"Level81",1,1,0,0,"Mono",20
"183",4450348,"Level82",1,1,0,0,"Mono",19
"184",4450348,"Level83",1,1,0,0,"Mono",18
"185",4450348,"Level84",1,1,0,0,"Mono",17
"186",4450348,"Level85",1,1,0,0,"Mono",16
"187",4450348,"Level86",1,1,0,0,"Mono",15
"188",4450348,"Level87",1,1,0,0,"Mono",14
"189",4450348,"Level88",1,1,0,0,"Mono",13
"190",4450348,"Level89",1,1,0,0,"Mono",12
"191",4450348,"Level90",1,1,0,0,"Mono",11
"192",4450348,"Level91",1,1,0,0,"Mono",10
"193",4450348,"Level92",1,1,0,0,"Mono",9
"194",4450348,"Level93",1,1,0,0,"Mono",8
"195",4450348,"Level94",1,1,0,0,"Mono",7
"196",4450348,"Level95",1,1,0,0,"Mono",6
"197",4450348,"Level96",1,1,0,0,"Mono",5
"198",4450348,"Level97",1,1,0,0,"Mono",4
"199",4450348,"Level98",1,1,0,0,"Mono",3
"200",4450348,"Level99",1,1,0,0,"Mono",2
"201",4450348,"Level100",1,0,1,0,"Mono",1
"202",4450348,"Level98",1,1,0,0,"Mono",3
"203",4450348,"Level99",1,1,0,0,"Mono",2
"204",4450348,"Level100",1,0,1,0,"Mono",1
"205",4450348,"Level98",1,1,0,0,"Mono",3
"206",4450348,"Level99",1,1,0,0,"Mono",2
"207",4450348,"Level100",1,0,1,0,"Mono",1
"208",4450348,"Level98",1,1,0,0,"Mono",3
"209",4450348,"Level99",1,1,0,0,"Mono",2
"210",4450348,"Level100",1,0,1,0,"Mono",1
"211",4450348,"Level98",1,1,0,0,"Mono",3
"212",4450348,"Level99",1,1,0,0,"Mono",2
"213",4450348,"Level100",1,0,1,0,"Mono",1
"214",4450348,"Level98",1,1,0,0,"Mono",3
"215",4450348,"Level99",1,1,0,0,"Mono",2
"216",4450348,"Level100",1,0,1,0,"Mono",1
"217",4450348,"Level98",1,1,0,0,"Mono",3
"218",4450348,"Level99",1,1,0,0,"Mono",2
"219",4450348,"Level100",1,0,1,0,"Mono",1
"220",4450348,"Level98",1,1,0,0,"Mono",3
"221",5409261,"Level76",1,1,0,0,"Mono",25
"222",5409261,"Level77",1,1,0,0,"Mono",24
"223",5409261,"Level78",1,1,0,0,"Mono",23
"224",5409261,"Level79",1,1,0,0,"Mono",22
"225",5409261,"Level80",1,1,0,0,"Mono",21
"226",5409261,"Level81",1,1,0,0,"Mono",20
"227",5409261,"Level82",1,1,0,0,"Mono",19
"228",5409261,"Level83",1,1,0,0,"Mono",18
"229",5409261,"Level84",1,1,0,0,"Mono",17
"230",5409261,"Level85",1,1,0,0,"Mono",16
"231",5409261,"Level86",1,1,0,0,"Mono",15
"232",5409261,"Level87",1,1,0,0,"Mono",14
"233",5409261,"Level88",1,1,0,0,"Mono",13
"234",5409261,"Level89",1,1,0,0,"Mono",12
"235",5409261,"Level90",1,1,0,0,"Mono",11
"236",5409261,"Level91",1,1,0,0,"Mono",10
"237",5409261,"Level92",1,1,0,0,"Mono",9
"238",5409261,"Level93",1,1,0,0,"Mono",8
"239",5409261,"Level94",1,1,0,0,"Mono",7
"240",5409261,"Level95",1,1,0,0,"Mono",6
"241",5409261,"Level96",1,1,0,0,"Mono",5
"242",5409261,"Level97",1,1,0,0,"Mono",4
"243",5409261,"Level98",1,0,1,0,"Mono",3
"244",5409261,"Level96",1,1,0,0,"Mono",5
"245",5409261,"Level97",1,1,0,0,"Mono",4
"246",5409261,"Level98",1,1,0,0,"Mono",3
"247",5409261,"Level99",1,1,0,0,"Mono",2
"248",5409261,"Level100",1,0,1,0,"Mono",1
"249",5409261,"Level98",1,1,0,0,"Mono",3
"250",5409261,"Level99",1,1,0,0,"Mono",2
