"","ppid","condition","threshold","cs"
"1",1,"Mono",9,1.04575749056068
"2",2,"Mono",3,1.52287874528034
"3",2,"Binoc",2,1.69897000433602
"4",3,"Mono",4,1.39794000867204
"5",3,"Binoc",1,2
"6",4,"Mono",2,1.69897000433602
"7",4,"Binoc",2,1.69897000433602
"8",5,"Mono",3,1.52287874528034
"9",5,"Binoc",3,1.52287874528034
"10",6,"Mono",2,1.69897000433602
"11",6,"Binoc",1,2
"12",7,"Mono",1,2
"13",7,"Binoc",1,2
"14",8,"Mono",1,2
"15",8,"Binoc",1,2
"16",9,"Mono",2,1.69897000433602
"17",9,"Binoc",4,1.39794000867204
"18",10,"Mono",1,2
"19",10,"Binoc",1,2
"20",11,"Mono",4,1.39794000867204
"21",11,"Binoc",4,1.39794000867204
"22",12,"Mono",1,2
"23",12,"Binoc",1,2
"24",13,"Mono",2,1.69897000433602
"25",14,"Mono",2,1.69897000433602
"26",14,"Binoc",2,1.69897000433602
"27",15,"Mono",2,1.69897000433602
"28",15,"Binoc",1,2
"29",16,"Mono",2,1.69897000433602
"30",16,"Binoc",1,2
"31",17,"Mono",1,2
"32",17,"Binoc",2,1.69897000433602
"33",18,"Mono",3,1.52287874528034
"34",18,"Binoc",4,1.39794000867204
"35",19,"Mono",4,1.39794000867204
"36",19,"Binoc",2,1.69897000433602
"37",20,"Mono",2,1.69897000433602
"38",20,"Binoc",1,2
"39",21,"Mono",4,1.39794000867204
"40",21,"Binoc",3,1.52287874528034
"41",22,"Mono",2,1.69897000433602
"42",22,"Binoc",2,1.69897000433602
"43",23,"Mono",3,1.52287874528034
"44",24,"Mono",4,1.39794000867204
"45",24,"Binoc",2,1.69897000433602
"46",25,"Mono",3,1.52287874528034
"47",25,"Binoc",2,1.69897000433602
"48",26,"Mono",2,1.69897000433602
"49",26,"Binoc",1,2
"50",27,"Mono",4,1.39794000867204
"51",27,"Binoc",2,1.69897000433602
"52",28,"Mono",2,1.69897000433602
"53",28,"Binoc",2,1.69897000433602
"54",29,"Mono",1,2
"55",30,"Mono",3,1.52287874528034
"56",30,"Binoc",3,1.52287874528034
"57",31,"Mono",3,1.52287874528034
"58",32,"Mono",2,1.69897000433602
"59",32,"Binoc",2,1.69897000433602
"60",33,"Mono",2,1.69897000433602
"61",33,"Binoc",3,1.52287874528034
"62",34,"Mono",2,1.69897000433602
"63",34,"Binoc",2,1.69897000433602
"64",35,"Mono",5,1.30102999566398
"65",35,"Binoc",2,1.69897000433602
"66",36,"Mono",4,1.39794000867204
"67",37,"Mono",2,1.69897000433602
"68",37,"Binoc",2,1.69897000433602
"69",38,"Mono",6,1.22184874961636
"70",38,"Binoc",3,1.52287874528034
"71",39,"Mono",3,1.52287874528034
"72",39,"Binoc",5,1.30102999566398
"73",40,"Mono",3,1.52287874528034
"74",40,"Binoc",2,1.69897000433602
"75",41,"Mono",3,1.52287874528034
"76",41,"Binoc",5,1.30102999566398
"77",42,"Mono",13,0.886056647693163
"78",42,"Binoc",2,1.69897000433602
"79",43,"Mono",1,2
"80",43,"Binoc",2,1.69897000433602
"81",44,"Mono",15,0.823908740944319
"82",44,"Binoc",14,0.853871964321762
"83",45,"Mono",4,1.39794000867204
"84",45,"Binoc",4,1.39794000867204
"85",46,"Mono",2,1.69897000433602
"86",46,"Binoc",1,2
"87",47,"Mono",3,1.52287874528034
"88",47,"Binoc",2,1.69897000433602
"89",48,"Mono",2,1.69897000433602
"90",49,"Mono",2,1.69897000433602
"91",49,"Binoc",2,1.69897000433602
"92",50,"Mono",2,1.69897000433602
"93",50,"Binoc",2,1.69897000433602
"94",51,"Mono",2,1.69897000433602
"95",51,"Binoc",2,1.69897000433602
"96",52,"Mono",4,1.39794000867204
"97",52,"Binoc",4,1.39794000867204
"98",53,"Mono",2,1.69897000433602
"99",53,"Binoc",2,1.69897000433602
"100",54,"Mono",2,1.69897000433602
"101",54,"Binoc",2,1.69897000433602
"102",55,"Mono",2,1.69897000433602
"103",55,"Binoc",2,1.69897000433602
"104",56,"Mono",2,1.69897000433602
"105",56,"Binoc",2,1.69897000433602
"106",57,"Mono",3,1.52287874528034
"107",57,"Binoc",3,1.52287874528034
"108",58,"Mono",1,2
"109",58,"Binoc",1,2
"110",59,"Mono",4,1.39794000867204
"111",59,"Binoc",4,1.39794000867204
"112",60,"Mono",1,2
"113",61,"Mono",1,2
"114",61,"Binoc",1,2
"115",62,"Mono",2,1.69897000433602
"116",62,"Binoc",1,2
"117",63,"Mono",1,2
"118",64,"Mono",1,2
"119",64,"Binoc",2,1.69897000433602
"120",65,"Mono",2,1.69897000433602
"121",65,"Binoc",1,2
