"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"3",4332728,"Binoc","Fitts's Law","right","1","pos5Size1",8,46,92,46,20,1356
"4",4332728,"Binoc","Fitts's Law","right","1","pos5Size1",8,46,92,46,20,664
"5",4332728,"Binoc","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,737
"6",4332728,"Binoc","Fitts's Law","right","1","pos3Size3",41,71,59,71,5,639
"7",4332728,"Binoc","Fitts's Law","right","1","pos4Size3",74,74,26,74,5,613
"8",4332728,"Binoc","Fitts's Law","right","1","pos4Size3",74,74,26,74,5,762
"9",4332728,"Binoc","Fitts's Law","right","1","pos2Size1",20,25,80,25,20,557
"10",4332728,"Binoc","Fitts's Law","right","1","pos2Size1",20,25,80,25,20,422
"11",4332728,"Binoc","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,675
"12",4332728,"Binoc","Fitts's Law","right","1","pos1Size1",40,40,60,40,20,425
"13",4332728,"Binoc","Fitts's Law","right","1","pos5Size3",8,46,92,46,5,580
"14",4332728,"Binoc","Fitts's Law","right","1","pos5Size3",8,46,92,46,5,721
"15",4332728,"Binoc","Fitts's Law","right","1","pos4Size1",74,74,26,74,20,574
"16",4332728,"Binoc","Fitts's Law","right","1","pos4Size1",74,74,26,74,20,561
"17",4332728,"Binoc","Fitts's Law","right","1","pos4Size2",74,74,26,74,10,773
"18",4332728,"Binoc","Fitts's Law","right","1","pos4Size2",74,74,26,74,10,674
"19",4332728,"Binoc","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,620
"20",4332728,"Binoc","Fitts's Law","right","1","pos2Size2",20,25,80,25,10,590
"21",4332728,"Binoc","Fitts's Law","right","1","pos3Size2",41,71,59,71,10,560
"22",4332728,"Binoc","Fitts's Law","right","1","pos3Size2",41,71,59,71,10,675
"23",4332728,"Binoc","Fitts's Law","right","1","pos2Size3",20,25,80,25,5,612
"24",4332728,"Binoc","Fitts's Law","right","1","pos2Size3",20,25,80,25,5,927
"25",4332728,"Binoc","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,646
"26",4332728,"Binoc","Fitts's Law","right","1","pos5Size2",8,46,92,46,10,682
"27",4332728,"Binoc","Fitts's Law","right","1","pos1Size2",40,40,60,40,10,589
"28",4332728,"Binoc","Fitts's Law","right","1","pos1Size2",40,40,60,40,10,541
"29",4332728,"Binoc","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,606
"30",4332728,"Binoc","Fitts's Law","right","1","pos3Size1",41,71,59,71,20,677
"31",4332728,"Binoc","Fitts's Law","right","1","pos1Size3",40,40,60,40,5,604
"32",4332728,"Binoc","Fitts's Law","right","1","pos1Size3",40,40,60,40,5,749
"33",4332728,"Binoc","Fitts's Law","right","2","pos2Size3",20,25,80,25,5,613
"34",4332728,"Binoc","Fitts's Law","right","2","pos2Size3",20,25,80,25,5,550
"35",4332728,"Binoc","Fitts's Law","right","2","pos3Size1",41,71,59,71,20,543
"36",4332728,"Binoc","Fitts's Law","right","2","pos3Size1",41,71,59,71,20,674
"37",4332728,"Binoc","Fitts's Law","right","2","pos4Size1",74,74,26,74,20,547
"38",4332728,"Binoc","Fitts's Law","right","2","pos4Size1",74,74,26,74,20,576
"39",4332728,"Binoc","Fitts's Law","right","2","pos5Size1",8,46,92,46,20,597
"40",4332728,"Binoc","Fitts's Law","right","2","pos5Size1",8,46,92,46,20,492
"41",4332728,"Binoc","Fitts's Law","right","2","pos1Size3",40,40,60,40,5,592
"42",4332728,"Binoc","Fitts's Law","right","2","pos1Size3",40,40,60,40,5,673
"43",4332728,"Binoc","Fitts's Law","right","2","pos3Size2",41,71,59,71,10,586
"44",4332728,"Binoc","Fitts's Law","right","2","pos3Size2",41,71,59,71,10,726
"45",4332728,"Binoc","Fitts's Law","right","2","pos2Size2",20,25,80,25,10,522
"46",4332728,"Binoc","Fitts's Law","right","2","pos2Size2",20,25,80,25,10,518
"47",4332728,"Binoc","Fitts's Law","right","2","pos4Size3",74,74,26,74,5,413
"48",4332728,"Binoc","Fitts's Law","right","2","pos4Size3",74,74,26,74,5,754
"49",4332728,"Binoc","Fitts's Law","right","2","pos1Size1",40,40,60,40,20,563
"50",4332728,"Binoc","Fitts's Law","right","2","pos1Size1",40,40,60,40,20,475
"51",4332728,"Binoc","Fitts's Law","right","2","pos2Size1",20,25,80,25,20,545
"52",4332728,"Binoc","Fitts's Law","right","2","pos2Size1",20,25,80,25,20,421
"53",4332728,"Binoc","Fitts's Law","right","2","pos1Size2",40,40,60,40,10,409
"54",4332728,"Binoc","Fitts's Law","right","2","pos1Size2",40,40,60,40,10,501
"55",4332728,"Binoc","Fitts's Law","right","2","pos3Size3",41,71,59,71,5,492
"56",4332728,"Binoc","Fitts's Law","right","2","pos3Size3",41,71,59,71,5,710
"57",4332728,"Binoc","Fitts's Law","right","2","pos4Size2",74,74,26,74,10,635
"58",4332728,"Binoc","Fitts's Law","right","2","pos4Size2",74,74,26,74,10,837
"59",4332728,"Binoc","Fitts's Law","right","2","pos5Size2",8,46,92,46,10,662
"60",4332728,"Binoc","Fitts's Law","right","2","pos5Size2",8,46,92,46,10,638
"61",4332728,"Binoc","Fitts's Law","right","2","pos5Size3",8,46,92,46,5,488
"62",4332728,"Binoc","Fitts's Law","right","2","pos5Size3",8,46,92,46,5,563
"63",4332728,"Binoc","Fitts's Law","right","3","pos3Size3",41,71,59,71,5,556
"64",4332728,"Binoc","Fitts's Law","right","3","pos3Size3",41,71,59,71,5,665
"65",4332728,"Binoc","Fitts's Law","right","3","pos2Size3",20,25,80,25,5,600
"66",4332728,"Binoc","Fitts's Law","right","3","pos2Size3",20,25,80,25,5,715
"67",4332728,"Binoc","Fitts's Law","right","3","pos2Size2",20,25,80,25,10,895
"68",4332728,"Binoc","Fitts's Law","right","3","pos2Size2",20,25,80,25,10,585
"69",4332728,"Binoc","Fitts's Law","right","3","pos2Size1",20,25,80,25,20,518
"70",4332728,"Binoc","Fitts's Law","right","3","pos2Size1",20,25,80,25,20,422
"71",4332728,"Binoc","Fitts's Law","right","3","pos4Size2",74,74,26,74,10,550
"72",4332728,"Binoc","Fitts's Law","right","3","pos4Size2",74,74,26,74,10,688
"73",4332728,"Binoc","Fitts's Law","right","3","pos5Size1",8,46,92,46,20,657
"74",4332728,"Binoc","Fitts's Law","right","3","pos5Size1",8,46,92,46,20,534
"75",4332728,"Binoc","Fitts's Law","right","3","pos4Size3",74,74,26,74,5,579
"76",4332728,"Binoc","Fitts's Law","right","3","pos4Size3",74,74,26,74,5,989
"77",4332728,"Binoc","Fitts's Law","right","3","pos5Size2",8,46,92,46,10,631
"78",4332728,"Binoc","Fitts's Law","right","3","pos5Size2",8,46,92,46,10,651
"79",4332728,"Binoc","Fitts's Law","right","3","pos5Size3",8,46,92,46,5,591
"80",4332728,"Binoc","Fitts's Law","right","3","pos5Size3",8,46,92,46,5,603
"81",4332728,"Binoc","Fitts's Law","right","3","pos1Size2",40,40,60,40,10,560
"82",4332728,"Binoc","Fitts's Law","right","3","pos1Size2",40,40,60,40,10,621
"83",4332728,"Binoc","Fitts's Law","right","3","pos3Size1",41,71,59,71,20,524
"84",4332728,"Binoc","Fitts's Law","right","3","pos3Size1",41,71,59,71,20,681
"85",4332728,"Binoc","Fitts's Law","right","3","pos1Size1",40,40,60,40,20,612
"86",4332728,"Binoc","Fitts's Law","right","3","pos1Size1",40,40,60,40,20,669
"87",4332728,"Binoc","Fitts's Law","right","3","pos1Size3",40,40,60,40,5,817
"88",4332728,"Binoc","Fitts's Law","right","3","pos1Size3",40,40,60,40,5,684
"89",4332728,"Binoc","Fitts's Law","right","3","pos4Size1",74,74,26,74,20,610
"90",4332728,"Binoc","Fitts's Law","right","3","pos4Size1",74,74,26,74,20,689
"91",4332728,"Binoc","Fitts's Law","right","3","pos3Size2",41,71,59,71,10,636
"92",4332728,"Binoc","Fitts's Law","right","3","pos3Size2",41,71,59,71,10,666
"93",4332728,"Binoc","Fitts's Law","right","4","pos3Size1",41,71,59,71,20,618
"94",4332728,"Binoc","Fitts's Law","right","4","pos3Size1",41,71,59,71,20,721
"95",4332728,"Binoc","Fitts's Law","right","4","pos2Size2",20,25,80,25,10,598
"96",4332728,"Binoc","Fitts's Law","right","4","pos2Size2",20,25,80,25,10,533
"97",4332728,"Binoc","Fitts's Law","right","4","pos3Size3",41,71,59,71,5,498
"98",4332728,"Binoc","Fitts's Law","right","4","pos3Size3",41,71,59,71,5,891
"99",4332728,"Binoc","Fitts's Law","right","4","pos5Size3",8,46,92,46,5,641
"100",4332728,"Binoc","Fitts's Law","right","4","pos5Size3",8,46,92,46,5,673
"101",4332728,"Binoc","Fitts's Law","right","4","pos1Size2",40,40,60,40,10,1023
"102",4332728,"Binoc","Fitts's Law","right","4","pos1Size2",40,40,60,40,10,669
"103",4332728,"Binoc","Fitts's Law","right","4","pos4Size2",74,74,26,74,10,574
"104",4332728,"Binoc","Fitts's Law","right","4","pos4Size2",74,74,26,74,10,693
"105",4332728,"Binoc","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,678
"106",4332728,"Binoc","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,600
"107",4332728,"Binoc","Fitts's Law","right","4","pos1Size1",40,40,60,40,20,581
"108",4332728,"Binoc","Fitts's Law","right","4","pos1Size1",40,40,60,40,20,507
"109",4332728,"Binoc","Fitts's Law","right","4","pos4Size1",74,74,26,74,20,617
"110",4332728,"Binoc","Fitts's Law","right","4","pos4Size1",74,74,26,74,20,570
"111",4332728,"Binoc","Fitts's Law","right","4","pos1Size3",40,40,60,40,5,611
"112",4332728,"Binoc","Fitts's Law","right","4","pos1Size3",40,40,60,40,5,715
"113",4332728,"Binoc","Fitts's Law","right","4","pos2Size3",20,25,80,25,5,555
"114",4332728,"Binoc","Fitts's Law","right","4","pos2Size3",20,25,80,25,5,659
"115",4332728,"Binoc","Fitts's Law","right","4","pos4Size3",74,74,26,74,5,501
"116",4332728,"Binoc","Fitts's Law","right","4","pos4Size3",74,74,26,74,5,732
"117",4332728,"Binoc","Fitts's Law","right","4","pos2Size1",20,25,80,25,20,776
"118",4332728,"Binoc","Fitts's Law","right","4","pos2Size1",20,25,80,25,20,382
"119",4332728,"Binoc","Fitts's Law","right","4","pos3Size2",41,71,59,71,10,479
"120",4332728,"Binoc","Fitts's Law","right","4","pos3Size2",41,71,59,71,10,607
"121",4332728,"Binoc","Fitts's Law","right","4","pos5Size1",8,46,92,46,20,704
"122",4332728,"Binoc","Fitts's Law","right","4","pos5Size1",8,46,92,46,20,481
"124",4332728,"Binoc","Fitts's Law","right","5","pos1Size2",40,40,60,40,10,1010
"125",4332728,"Binoc","Fitts's Law","right","5","pos1Size2",40,40,60,40,10,473
"126",4332728,"Binoc","Fitts's Law","right","5","pos3Size1",41,71,59,71,20,429
"127",4332728,"Binoc","Fitts's Law","right","5","pos3Size1",41,71,59,71,20,474
"128",4332728,"Binoc","Fitts's Law","right","5","pos4Size2",74,74,26,74,10,597
"129",4332728,"Binoc","Fitts's Law","right","5","pos4Size2",74,74,26,74,10,842
"130",4332728,"Binoc","Fitts's Law","right","5","pos5Size2",8,46,92,46,10,463
"131",4332728,"Binoc","Fitts's Law","right","5","pos5Size2",8,46,92,46,10,521
"132",4332728,"Binoc","Fitts's Law","right","5","pos5Size1",8,46,92,46,20,572
"133",4332728,"Binoc","Fitts's Law","right","5","pos5Size1",8,46,92,46,20,457
"134",4332728,"Binoc","Fitts's Law","right","5","pos4Size3",74,74,26,74,5,566
"135",4332728,"Binoc","Fitts's Law","right","5","pos4Size3",74,74,26,74,5,791
"136",4332728,"Binoc","Fitts's Law","right","5","pos2Size1",20,25,80,25,20,1069
"137",4332728,"Binoc","Fitts's Law","right","5","pos2Size1",20,25,80,25,20,469
"138",4332728,"Binoc","Fitts's Law","right","5","pos5Size3",8,46,92,46,5,500
"139",4332728,"Binoc","Fitts's Law","right","5","pos5Size3",8,46,92,46,5,803
"140",4332728,"Binoc","Fitts's Law","right","5","pos2Size3",20,25,80,25,5,556
"141",4332728,"Binoc","Fitts's Law","right","5","pos2Size3",20,25,80,25,5,685
"142",4332728,"Binoc","Fitts's Law","right","5","pos3Size2",41,71,59,71,10,491
"143",4332728,"Binoc","Fitts's Law","right","5","pos3Size2",41,71,59,71,10,637
"144",4332728,"Binoc","Fitts's Law","right","5","pos2Size2",20,25,80,25,10,654
