"","ppid","condition","threshold","percCorrect","threshLower","threshUpper"
"1",1,"Binoc",0.07,0.519230769230769,-0.0378984503903186,0.151713123286329
"2",1,"Mono",0.04,0.519230769230769,-0.0242232578828113,0.0579253268963879
"3",2,"Binoc",-0.12,0.519230769230769,-0.164010860292004,-0.0775672324263749
"4",2,"Mono",-0.1,0.519230769230769,-0.138677498007173,-0.0418046172434698
"5",3,"Binoc",0.02,0.519230769230769,-0.0351577167734531,0.0671286397641213
"6",3,"Mono",0.02,0.519230769230769,-0.0312334711784409,0.0608438182323728
"7",4,"Binoc",0.01,0.519230769230769,-0.0517565025134515,0.0590443361002088
"8",4,"Mono",-0.03,0.519230769230769,-0.0559068223161487,0.0135987199789245
"9",5,"Mono",0.11,0.519230769230769,0.0549610056678964,0.17900475647473
"10",6,"Binoc",-0.12,0.519230769230769,-0.165027904099385,-0.0929648656977302
"11",6,"Mono",-0.21,0.519230769230769,-0.277992258651906,-0.151047554505852
"12",7,"Binoc",-0.28,0.519230769230769,-0.403598761466743,-0.186322616739567
"13",7,"Mono",-0.33,0.519230769230769,-0.447732033052556,-0.239935137888349
"14",8,"Binoc",-0.33,0.519230769230769,-0.365706718170105,-0.289691753228332
"15",8,"Mono",-0.12,0.519230769230769,-0.197098195988933,-0.0568509379707734
"16",9,"Binoc",0.26,0.519230769230769,0.198365879566918,0.32121685795809
"17",9,"Mono",0.24,0.519230769230769,0.175598145360257,0.293570209042918
"18",10,"Binoc",-0.22,0.519230769230769,-0.261812006711314,-0.13311320727092
"19",10,"Mono",-0.32,0.519230769230769,-0.334957335759718,-0.24876138987803
"20",11,"Binoc",-0.03,0.519230769230769,-0.0575032353856541,0.0177577915169191
"21",11,"Mono",-0.05,0.519230769230769,-0.107423453134498,-0.00217861750568171
"22",12,"Binoc",0.03,0.519230769230769,-0.0323838360221276,0.0933727139836169
"23",12,"Mono",0.1,0.519230769230769,0.0504310447233174,0.175436632045688
"24",13,"Binoc",-0.1,0.519230769230769,-0.136076634604001,-0.0593212039156299
"25",13,"Mono",-0.25,0.519230769230769,-0.392385397228669,-0.170265273256704
"26",14,"Binoc",0.1,0.519230769230769,-0.0361982718109841,0.164037932698237
"27",14,"Mono",0.3,0.519230769230769,0.253517030972746,0.35820745918073
"28",15,"Binoc",0.12,0.519230769230769,0.0570228026014987,0.141345213092143
"29",15,"Mono",0.19,0.519230769230769,0.105097184488945,0.22783586911326
"30",16,"Binoc",0.05,0.519230769230769,0.0136438440716552,0.0644654497905065
"31",16,"Mono",0.05,0.519230769230769,-0.0695158986645796,0.152830061030823
"32",17,"Binoc",-0.06,0.519230769230769,-0.131317975760991,-0.00941483315439293
"33",17,"Mono",-0.08,0.519230769230769,-0.142028006286295,-0.0361709454249056
"34",18,"Binoc",-0.04,0.519230769230769,-0.157383330288231,0.0431277794286635
"35",18,"Mono",0.02,0.519230769230769,-0.0378391154996068,0.0610829302714284
"36",19,"Binoc",-0.04,0.519230769230769,-0.0423096989044626,-0.0296899711292043
"37",19,"Mono",-0.04,0.519230769230769,-0.0444095773940868,-0.0336078952840919
"38",20,"Binoc",-0.23,0.519230769230769,-0.365405227573889,-0.139463132535861
"39",20,"Mono",-0.04,0.519230769230769,-0.0988240148112719,0.00677280832800161
"40",21,"Binoc",0.05,0.519230769230769,-0.00500172420731123,0.097539884395684
"41",21,"Mono",0.07,0.519230769230769,-0.000457397218447883,0.119527802308749
"42",22,"Binoc",-0.03,0.519230769230769,-0.0736627766005975,0.019555350452063
"43",22,"Mono",0.04,0.519230769230769,-0.00585212902978598,0.0739785659959888
"44",23,"Binoc",0.04,0.519230769230769,-0.0161112288127307,0.0959475326743661
"45",23,"Mono",0.06,0.519230769230769,0.0572061909842733,0.0724868512724451
"46",24,"Binoc",0.07,0.519230769230769,0.013257834448337,0.114965054519962
"47",24,"Mono",0.16,0.519230769230769,0.0507180765300905,0.30618702323875
"48",25,"Binoc",-0.01,0.519230769230769,-0.0537211832634384,0.0695183693077689
"49",25,"Mono",0.1,0.519230769230769,0.0432364219213669,0.138029131511294
"50",26,"Binoc",-0.03,0.519230769230769,-0.0466846843813089,0.00753317278278697
"51",26,"Mono",0.03,0.519230769230769,-0.030401621310291,0.0568870910436862
"52",27,"Binoc",0.05,0.519230769230769,-0.0282441278149403,0.12003597881697
